APSIM output file, version = 5.3
Title = site=coonamble; soil=lg1; treatment=w3; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958           1958       5091.484        272.887          5.368          0.000          0.000          0.000          0.000          0.000          0.000       1364.970       9864.557          0.000         642.900         48.409        412.046         86.434
     31/12/1959           1959          0.000          0.000          0.000       2551.038        227.076          3.046          0.000          0.000          0.000       8487.193      10403.421          0.000         685.200         69.768        191.646        169.079
     31/12/1960           1960       1209.620        127.560          2.101          0.000          0.000          0.000          0.000          0.000          0.000       7063.910       9771.712          0.000         399.100          0.055        272.650          0.000
     31/12/1961           1961          0.000          0.000          0.000       1127.159        135.460          1.900          0.000          0.000          0.000       5149.362       7695.304          0.000         445.200          0.848        351.952          0.000
     31/12/1962           1962       2789.541        161.381          2.992          0.000          0.000          0.000          0.000          0.000          0.000       1666.388       5265.179          0.000         641.300          0.000        435.033          0.000
     31/12/1963           1963          0.000          0.000          0.000       2311.010        199.792          3.047          0.000          0.000          0.000       1986.480       4138.105          0.000         555.600          2.837        411.928          0.000
     31/12/1964           1964       1857.605        101.556          1.935          0.000          0.000          0.000          0.000          0.000          0.000       1356.854       3861.013          0.000         449.100          0.264        379.209          0.000
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2728.252       3261.596          0.000         342.700          5.131        241.300          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        618.970       1057.193          0.000         374.800          1.016        366.125          0.000
     31/12/1967           1967       2694.453        180.090          6.159          0.000          0.000          0.000          0.000          0.000          0.000       1289.156       7444.950          0.000         327.800          9.280        247.634          0.000
     31/12/1968           1968          0.000          0.000          0.000       1728.280        155.424          2.577          0.000          0.000          0.000       3769.760       7114.663          0.000         519.800          7.544        339.915          0.000
     31/12/1969           1969       2664.585        144.109          3.302          0.000          0.000          0.000          0.000          0.000          0.000       1600.730       5590.506          0.000         671.000          8.325        465.308          0.000
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1414.516       3851.731          0.000         601.600          3.635        462.362          0.000
     31/12/1971           1971       3661.034        212.579          4.357          0.000          0.000          0.000          0.000          0.000          0.000        562.049       5964.533          0.000         617.500         22.748        427.334         60.015
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2672.573       4610.312          0.000         467.300          0.059        377.604          0.000
     31/12/1973           1973       5276.027        288.945          4.607          0.000          0.000          0.000          0.000          0.000          0.000       1298.693       8703.829          0.000         873.600         37.723        454.653        106.098
     31/12/1974           1974          0.000          0.000          0.000       2611.442        210.936          3.053          0.000          0.000          0.000       4484.757       7746.231          0.000         593.200         43.351        312.886        124.224
     31/12/1975           1975       2165.417        142.907          2.859          0.000          0.000          0.000          0.000          0.000          0.000       2372.187       5190.255          0.000         485.500          0.014        368.036          0.000
     31/12/1976           1976          0.000          0.000          0.000       2407.699        205.747          3.141          0.000          0.000          0.000       2330.172       4630.098          0.000         624.200          6.196        404.406          0.000
     31/12/1977           1977       1010.132        133.140          1.972          0.000          0.000          0.000          0.000          0.000          0.000       1512.886       4861.021          0.000         498.800         27.765        330.135          0.000
     31/12/1978           1978          0.000          0.000          0.000       2344.499        179.014          2.765          0.000          0.000          0.000       1830.482       4491.818          0.000         738.800          8.309        461.377          0.000
     31/12/1979           1979       2349.847        143.837          3.021          0.000          0.000          0.000          0.000          0.000          0.000       1127.406       4781.161          0.000         325.400          0.000        328.326          0.000
     31/12/1980           1980          0.000          0.000          0.000       1160.740        140.381          2.207          0.000          0.000          0.000       2477.217       4479.704          0.000         533.300         29.410        339.791          0.000
     31/12/1981           1981       2518.655        128.045          3.211          0.000          0.000          0.000          0.000          0.000          0.000       1346.604       4080.594          0.000         500.600          7.972        348.590          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1311.565       3202.573          0.000         368.300          2.678        281.439          0.000
     31/12/1983           1983       6309.967        302.474          7.100          0.000          0.000          0.000          0.000          0.000          0.000       1573.327      10254.896          0.000         734.100         16.916        390.998          0.000
     31/12/1984           1984          0.000          0.000          0.000       1983.941        239.840          2.748          0.000          0.000          0.000       4362.276       8260.570          0.000         737.300         10.697        356.817        216.347
     31/12/1985           1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2548.416       5185.574          0.000         490.100          0.000        441.869          0.000
     31/12/1986           1986       1543.777         91.948          1.942          0.000          0.000          0.000          0.000          0.000          0.000        349.666       2990.174          0.000         352.400          0.000        341.413          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        725.646       2506.729          0.000         439.300          0.000        411.605          0.000
     31/12/1988           1988       1154.615         87.045          2.805          0.000          0.000          0.000          0.000          0.000          0.000        404.662       3520.121          0.000         537.400          0.906        437.268          0.000
     31/12/1989           1989          0.000          0.000          0.000       1551.112        142.313          2.126          0.000          0.000          0.000        573.916       2480.051          0.000         513.600          8.869        430.247          0.000
     31/12/1990           1990       2160.337        127.732          3.506          0.000          0.000          0.000          0.000          0.000          0.000        900.182       5070.092          0.000         487.500         26.679        336.353          0.000
     31/12/1991           1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2789.789       4622.970          0.000         469.000         11.096        355.922          0.000
     31/12/1992           1992       2444.349        134.113          3.108          0.000          0.000          0.000          0.000          0.000          0.000        795.126       3972.629          0.000         475.200          0.109        383.922          0.000
     31/12/1993           1993          0.000          0.000          0.000       2015.908        157.157          2.335          0.000          0.000          0.000       1470.809       3237.249          0.000         589.200          0.010        481.216          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        248.208        921.724          0.000         357.300          4.313        290.312          0.000
     31/12/1995           1995       2598.177        146.964          3.884          0.000          0.000          0.000          0.000          0.000          0.000        692.625       5021.728          0.000         584.200         99.560        368.238          0.000
     31/12/1996           1996          0.000          0.000          0.000        769.027         95.803          1.758          0.000          0.000          0.000       1278.465       3313.682          0.000         545.700          0.000        464.809          0.000
     31/12/1997           1997       1511.218         91.774          1.712          0.000          0.000          0.000          0.000          0.000          0.000        557.367       3053.261          0.000         496.600          3.949        379.689          0.000
     31/12/1998           1998          0.000          0.000          0.000       2713.267        217.765          2.972          0.000          0.000          0.000        978.113       3592.829          0.000         812.200         46.943        473.038          0.000
     31/12/1999           1999       2540.294        166.547          3.160          0.000          0.000          0.000          0.000          0.000          0.000        980.090       5084.226          0.000         592.800         17.362        436.945          0.000
     31/12/2000           2000          0.000          0.000          0.000       1872.691        202.416          2.018          0.000          0.000          0.000       1278.733       3418.406          0.000         738.900         35.410        440.574          0.000
     31/12/2001           2001       3305.883        179.115          3.737          0.000          0.000          0.000          0.000          0.000          0.000        772.485       4995.291          0.000         447.500          0.722        382.811          0.000
     31/12/2002           2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2809.214       3876.585          0.000         206.600          0.000        229.932          0.000
