Summary_file = output\goondiwindi_cd2_200_LongFallow1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          0.606        468.079         21.882
     31/12/1958      1958       2672.479        147.519          3.337          0.000          0.000          0.000          0.000          0.000          0.000        467.067       5236.234          0.000         662.400         18.985        511.875         89.817
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000         49.366          2.796        120.184       1100.653          0.000         654.400         29.146        469.023         31.932
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2227.486         69.889          2.833        439.252       2628.701          0.000         450.100          0.000        446.110          0.000
     31/12/1961      1961       1443.567         87.419          1.752          0.000          0.000          0.000          0.000          0.000          0.000        105.142       2296.120          0.000         745.300          7.140        524.209          9.398
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         23.932        375.699          0.000         871.900         97.143        520.413        232.929
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       2616.046        119.748          2.657        672.820       2335.174          0.000         577.700          5.629        442.754         36.640
     31/12/1964      1964       4199.530        196.537          4.191          0.000          0.000          0.000          0.000          0.000          0.000        585.874       6062.351          0.000         650.500          2.514        489.722         64.391
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.407          0.150       1335.833       2535.897          0.000         402.800          1.762        347.981          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000        987.618         67.196          2.124        315.544       1737.231          0.000         572.500          6.260        450.611          5.503
     31/12/1967      1967       1960.277        143.890          5.831          0.000          0.000          0.000          0.000          0.000          0.000        906.503       6084.458          0.000         385.700         10.590        289.344         45.959
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.895          0.286        274.432       3070.842          0.000         561.600          6.663        454.652          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       1451.120         93.457          2.276        440.197       2049.966          0.000         621.900         28.963        441.630         36.617
