Summary_file = output\goondiwindi_cd2_200_s1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=s1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       2648.215        134.791          3.017        706.462       3300.348          0.000         453.500          0.040        446.532          5.707
     31/12/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000         43.977         81.154          2.403         30.772        243.688          0.000         662.400         16.585        534.916          0.000
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       2607.127         93.298          2.796        453.912       2703.666          0.000         654.400         21.432        457.048         46.704
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2589.650         69.908          2.834        335.649       2238.274          0.000         450.100          0.000        446.237          0.000
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000         77.803        115.759          3.149          5.419         31.366          0.000         745.300         17.355        535.691         10.925
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       5301.281         80.131          2.935       3190.826       5136.897          0.000         871.900         57.020        435.410        216.377
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       2581.876        163.170          2.611        962.354       2589.069          0.000         577.700          5.563        431.528         43.162
     31/12/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       2919.825        184.507          2.217        586.906       3022.156          0.000         650.500          0.197        531.395          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       1390.350         26.832          1.423       1049.852       2093.562          0.000         402.800          1.522        345.169          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000        846.978        113.370          2.350        276.081       1486.360          0.000         572.500          6.379        447.786          1.649
     31/12/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       1798.162         52.770          2.378        471.060       2272.946          0.000         385.700          6.679        319.552          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       2899.835        127.512          2.793        649.370       2904.633          0.000         561.600          3.709        425.413          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000        823.292        159.433          3.012        309.193       1528.231          0.000         621.900         29.031        437.330          7.819
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       3193.589        131.385          3.359        989.281       3702.412          0.000         743.300         22.836        440.903         43.146
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       5297.188        152.128          3.333       1940.410       4888.675          0.000         668.800         11.007        449.245         91.667
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       3274.132        162.734          3.144        911.592       3145.298          0.000         501.100          0.372        431.389          0.000
     31/12/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       1469.254        107.597          3.099        203.868       1811.151          0.000         727.500          2.689        543.798         11.132
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       3678.802        119.078          3.154        800.637       3411.437          0.000         509.100         13.479        432.397          0.000
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       1260.013        119.219          2.398        193.371       1640.094          0.000         692.900          6.810        465.777          5.244
     31/12/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       3517.952        173.741          2.268       1137.446       4318.949          0.000         817.500         44.369        533.319        157.681
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       2626.124        134.770          2.379        433.054       2909.308          0.000         614.500          1.855        468.806         22.486
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       2283.585        111.391          2.791        315.374       2368.715          0.000         799.100         16.080        550.917         87.006
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       2543.101        108.594          2.668        645.395       3125.752          0.000         488.600          0.129        441.959          0.000
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       1220.828         13.890          1.122        339.470       1590.747          0.000         387.700          0.000        354.833          0.000
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000          0.000         83.273          2.948          3.888         20.893          0.000         664.100         27.455        479.263          7.648
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       3422.190         83.853          2.891        480.642       3328.631          0.000         518.300          2.287        393.318          9.503
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000       3153.797        228.078          3.138        253.534       2944.692          0.000        1019.100         69.491        606.401        174.762
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4217.549        153.953          3.014        860.270       4512.640          0.000         798.300         23.579        523.498         99.302
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       2080.739        108.117          2.816        534.338       2646.709          0.000         568.000          9.700        475.534          0.000
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       2335.607         73.918          2.559        790.958       2824.081          0.000         531.400          0.186        471.646          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       1392.283         60.312          1.548        284.330       1818.760          0.000         598.600          0.000        498.629          0.000
     31/12/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       2562.266        140.214          2.367        414.541       2673.175          0.000         832.400         12.757        519.900        144.425
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000       2314.824        112.957          2.667        309.304       2272.700          0.000         680.000         44.520        467.782         26.273
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       4103.230        218.253          2.812       1295.584       4744.374          0.000         687.900         15.736        432.180         76.155
     31/12/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000       2472.697         83.690          1.807       1016.976       3811.653          0.000         608.700         30.697        385.730         27.454
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       3017.714        138.728          2.376        997.471       3115.194          0.000         382.800          0.000        365.960          1.348
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         50.694        179.463          0.000         446.500          0.485        407.476          0.000
