APSIM output file, version = 5.4
Title = site=goondiwindi; soil=cd2; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.353          9.728          0.000         737.200         39.394        517.213        160.941
     31/12/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.173          0.737          0.000         668.800         17.355        533.949        142.327
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         87.711          2.461          0.010          0.031          0.000         501.100          1.779        442.583         50.696
     31/12/1973           1973          0.000          0.000          0.000          0.000          0.000          0.000       2954.488         64.028          2.072       2029.548       3137.758          0.000         727.500          0.962        536.551         45.735
     31/12/1974           1974       2901.356        151.928          3.579          0.000          0.000          0.000          0.000          0.000          0.000       1371.131       5753.437          0.000         509.100          7.211        375.123         32.057
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000        120.023         73.329          2.253       3417.394       5071.812          0.000         692.900          4.492        436.509        115.711
     31/12/1976           1976          0.000          0.000          0.000          0.000          0.000          0.000       3688.149         74.341          2.014       2064.536       4185.290          0.000         817.500         44.028        522.428        195.809
     31/12/1977           1977       1667.342        115.945          3.292          0.000          0.000          0.000          0.000          0.000          0.000        677.251       3999.816          0.000         614.500          5.919        480.594        136.947
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000          0.000         78.248          2.554        857.312       2250.577          0.000         799.100         11.295        548.863         88.425
     31/12/1979           1979          0.000          0.000          0.000          0.000          0.000          0.000       2049.966         40.151          2.395       1047.406       3758.464          0.000         488.600          0.015        439.456          0.000
     31/12/1980           1980       1120.907         89.232          3.689          0.000          0.000          0.000          0.000          0.000          0.000        428.612       3219.673          0.000         387.700          0.551        339.585          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000          0.000         83.931          2.474        451.027       1306.863          0.000         664.100         24.275        472.090         32.810
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000       2958.286         66.445          2.369        982.816       3607.239          0.000         518.300          1.522        391.876         20.678
     31/12/1983           1983       3295.389        169.868          4.052          0.000          0.000          0.000          0.000          0.000          0.000       1008.405       6342.634          0.000        1019.100         70.003        532.747        249.738
     31/12/1984           1984          0.000          0.000          0.000          0.000          0.000          0.000         58.550         80.976          2.448       2329.806       4699.758          0.000         798.300         14.142        513.554        255.620
     31/12/1985           1985          0.000          0.000          0.000          0.000          0.000          0.000       1783.784         33.736          2.261       1064.620       3591.140          0.000         568.000          6.926        489.458          0.000
     31/12/1986           1986       2559.202        146.456          2.852          0.000          0.000          0.000          0.000          0.000          0.000        511.060       4434.992          0.000         531.400          1.222        449.762          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000         98.420         97.622          2.657       1732.925       3464.005          0.000         598.600          0.035        486.045          0.000
     31/12/1988           1988          0.000          0.000          0.000          0.000          0.000          0.000       2392.302         44.068          2.375        972.335       4236.873          0.000         832.400          9.866        528.750        182.517
     31/12/1989           1989       1870.667        113.618          3.643          0.000          0.000          0.000          0.000          0.000          0.000        628.091       4626.326          0.000         680.000         54.824        457.249        106.563
     31/12/1990           1990          0.000          0.000          0.000          0.000          0.000          0.000          0.000          8.408          0.652        739.100       2651.626          0.000         687.900         28.433        467.502        136.730
     31/12/1991           1991          0.000          0.000          0.000          0.000          0.000          0.000       4180.554        177.322          2.593       2506.570       4479.066          0.000         608.700         20.174        369.975         16.320
     31/12/1992           1992       1551.785        111.208          2.862          0.000          0.000          0.000          0.000          0.000          0.000       1020.227       3634.956          0.000         382.800          0.000        382.216         11.084
     31/12/1993           1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2309.448       2847.079          0.000         446.500          0.000        403.639          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        449.998       1202.566          0.000         524.300         24.972        371.006         49.961
     31/12/1995           1995       1869.895        112.697          1.525          0.000          0.000          0.000          0.000          0.000          0.000        404.975       3095.313          0.000         608.600         10.839        435.423         86.197
     31/12/1996           1996          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.279          0.342        268.944       1421.192          0.000         961.100        108.887        523.179        292.360
     31/12/1997           1997          0.000          0.000          0.000          0.000          0.000          0.000       3924.521        149.194          2.437       2319.706       3884.269          0.000         747.000         70.124        423.753         99.595
     31/12/1998           1998       2513.780        153.947          3.162          0.000          0.000          0.000          0.000          0.000          0.000       1774.628       6644.727          0.000         891.400         40.120        423.032        283.806
     31/12/1999           1999          0.000          0.000          0.000          0.000          0.000          0.000          0.000         82.608          2.597       2568.005       5411.873          0.000         848.600         14.077        533.397        252.742
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000       3019.335         64.644          2.488       2784.428       4516.518          0.000         481.900          0.544        413.181          0.000
