APSIM output file, version = 5.4
Title = site=goondiwindi; soil=cd2; treatment=w1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          0.606        468.079         21.882
     31/12/1958           1958       2801.284        145.928          3.058          0.000          0.000          0.000          0.000          0.000          0.000        701.411       4915.101          0.000         662.400         18.985        507.060         89.816
     31/12/1959           1959       2501.796        146.949          3.660          0.000          0.000          0.000          0.000          0.000          0.000       4225.260       7675.809          0.000         654.400         21.763        350.777         18.203
     31/12/1960           1960       2031.608        150.105          2.958          0.000          0.000          0.000          0.000          0.000          0.000       5681.704       9112.327          0.000         450.100          0.140        315.701         49.866
     31/12/1961           1961       1964.992        149.124          2.569          0.000          0.000          0.000          0.000          0.000          0.000       5953.294       8113.285          0.000         745.300         12.016        316.590        196.336
     31/12/1962           1962       1520.033        146.785          1.867          0.000          0.000          0.000          0.000          0.000          0.000       3863.047       6231.723          0.000         871.900         36.396        379.814        370.147
     31/12/1963           1963       1679.940        107.918          2.006          0.000          0.000          0.000          0.000          0.000          0.000       3377.945       5790.692          0.000         577.700          2.091        386.516         83.752
     31/12/1964           1964       3003.554        168.630          3.174          0.000          0.000          0.000          0.000          0.000          0.000       2273.824       5286.071          0.000         650.500          0.000        468.557         33.855
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3554.545       4419.784          0.000         402.800          0.154        328.582          0.000
     31/12/1966           1966       3950.705        213.706          4.649          0.000          0.000          0.000          0.000          0.000          0.000       1585.543       7408.281          0.000         572.500          2.018        378.823         33.107
     31/12/1967           1967       2049.455        141.143          2.802          0.000          0.000          0.000          0.000          0.000          0.000       4965.155       6953.256          0.000         385.700          1.309        248.274         32.237
     31/12/1968           1968       1919.895        133.924          2.872          0.000          0.000          0.000          0.000          0.000          0.000       3627.315       6805.731          0.000         561.600          0.378        356.319          6.716
     31/12/1969           1969       1794.615        175.781          2.843          0.000          0.000          0.000          0.000          0.000          0.000       3876.757       7948.550          0.000         621.900          9.188        327.524         72.002
     31/12/1970           1970       2118.114        151.851          2.442          0.000          0.000          0.000          0.000          0.000          0.000       3049.888       6018.856          0.000         743.300          8.316        404.015        140.073
     31/12/1971           1971       2349.603        154.139          2.870          0.000          0.000          0.000          0.000          0.000          0.000       1358.449       4231.993          0.000         668.800          3.271        471.251        164.975
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        967.192       2629.951          0.000         501.100          0.695        446.492          0.000
     31/12/1973           1973       2270.008        128.578          2.868          0.000          0.000          0.000          0.000          0.000          0.000        433.615       3824.402          0.000         727.500         15.685        551.415         87.631
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        471.904       1614.920          0.000         509.100         20.394        437.312          0.000
     31/12/1975           1975       2744.045        138.650          3.711          0.000          0.000          0.000          0.000          0.000          0.000        635.370       4845.870          0.000         692.900         13.548        442.375         82.191
     31/12/1976           1976       2708.512        143.626          3.082          0.000          0.000          0.000          0.000          0.000          0.000       1647.277       4950.137          0.000         817.500         46.772        490.409        203.540
     31/12/1977           1977       1650.995        108.095          2.127          0.000          0.000          0.000          0.000          0.000          0.000       1633.252       3828.437          0.000         614.500          1.142        461.836         78.917
     31/12/1978           1978       2783.931        173.560          3.345          0.000          0.000          0.000          0.000          0.000          0.000       1432.679       7336.908          0.000         799.100          8.323        467.954         28.537
     31/12/1979           1979       1612.225        115.579          2.378          0.000          0.000          0.000          0.000          0.000          0.000       3462.963       5258.661          0.000         488.600          0.000        378.920         37.224
     31/12/1980           1980       1155.390         89.718          2.413          0.000          0.000          0.000          0.000          0.000          0.000       2810.238       4306.519          0.000         387.700          0.000        327.061          0.000
     31/12/1981           1981       1972.782        134.257          3.058          0.000          0.000          0.000          0.000          0.000          0.000       1908.087       5176.138          0.000         664.100         18.354        424.577         50.015
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1314.142       3550.671          0.000         518.300          1.143        394.383         86.477
     31/12/1983           1983       3285.568        168.999          3.950          0.000          0.000          0.000          0.000          0.000          0.000       1018.140       6255.649          0.000        1019.100         66.113        534.196        253.860
     31/12/1984           1984       2241.995        134.165          2.330          0.000          0.000          0.000          0.000          0.000          0.000       1898.293       4889.979          0.000         798.300         19.265        501.576        221.492
     31/12/1985           1985       1647.102        140.121          2.764          0.000          0.000          0.000          0.000          0.000          0.000       2772.183       6362.009          0.000         568.000          3.276        415.017          0.000
     31/12/1986           1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2151.946       4434.785          0.000         531.400          0.160        465.356          5.578
     31/12/1987           1987       2865.931        164.714          4.486          0.000          0.000          0.000          0.000          0.000          0.000       1203.636       6760.796          0.000         598.600          1.411        427.914         35.379
     31/12/1988           1988       2440.369        156.360          2.703          0.000          0.000          0.000          0.000          0.000          0.000       2446.024       6175.197          0.000         832.400          6.735        486.083        249.947
     31/12/1989           1989       1648.809        111.657          2.574          0.000          0.000          0.000          0.000          0.000          0.000       3270.377       5352.000          0.000         680.000         27.768        388.308        100.088
     31/12/1990           1990       2206.684        119.843          3.009          0.000          0.000          0.000          0.000          0.000          0.000       1765.790       4864.205          0.000         687.900         23.670        454.055        159.705
     31/12/1991           1991       1565.692        114.329          3.122          0.000          0.000          0.000          0.000          0.000          0.000       2292.317       4796.251          0.000         608.700         14.946        372.344         24.970
     31/12/1992           1992       1192.906         87.423          1.991          0.000          0.000          0.000          0.000          0.000          0.000       2018.710       4018.631          0.000         382.800          0.000        377.239          0.000
     31/12/1993           1993        695.353         51.932          1.766          0.000          0.000          0.000          0.000          0.000          0.000       1991.026       2658.722          0.000         446.500          0.000        389.495          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        589.504       1661.224          0.000         524.300         13.013        368.622         17.790
     31/12/1995           1995       1869.317        112.671          1.525          0.000          0.000          0.000          0.000          0.000          0.000        345.033       3088.581          0.000         608.600         10.911        436.288         86.193
     31/12/1996           1996       2299.208        130.798          3.317          0.000          0.000          0.000          0.000          0.000          0.000        845.183       4613.349          0.000         961.100        121.276        504.713        247.117
     31/12/1997           1997       1314.636        107.569          1.526          0.000          0.000          0.000          0.000          0.000          0.000       2049.730       3743.137          0.000         747.000         59.226        419.800        126.965
     31/12/1998           1998       2300.813        143.058          2.958          0.000          0.000          0.000          0.000          0.000          0.000       2053.836       6350.665          0.000         891.400         36.565        414.913        258.416
     31/12/1999           1999       1764.172        117.680          2.084          0.000          0.000          0.000          0.000          0.000          0.000       1832.164       4805.262          0.000         848.600          8.155        546.794        197.660
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        689.309       1916.433          0.000         481.900          2.623        428.036         28.938
     31/12/2001           2001       2005.239        137.034          4.272          0.000          0.000          0.000          0.000          0.000          0.000        594.019       4487.352          0.000         584.800         42.770        455.133         67.015
     31/12/2002           2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1832.998       2594.122          0.000         469.700          6.055        379.385          0.000
