ApsimVersion = 6.1
Title = site=goondiwindi; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         6110.7        240.758          2.650         1506.4         4588.3            0.0         737.200         19.864        475.391          9.066
     31/12/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         7013.2        265.959          2.890         2379.5         4942.7            0.0         668.800          8.001        416.658         29.317
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         6278.5        114.918          2.351         1498.0         4467.3            0.0         501.100          0.381        428.446          0.003
     31/12/1973           1973         3912.1        209.536          3.633            0.0          0.000          0.000            0.0          0.000          0.000          483.5         5429.5            0.0         727.500         26.184        534.302         31.239
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000            0.0         32.011          2.154          216.8         1170.7            0.0         509.100         19.612        429.813          0.000
     31/12/1975           1975         3282.9        167.177          4.733            0.0          0.000          0.000         3323.3        119.130          2.550         1261.3         5722.4            0.0         692.900          7.770        402.860          0.000
     31/12/1976           1976            0.0          0.000          0.000         2937.4        217.358          3.163            0.0          0.000          0.000          653.4         4022.7            0.0         817.500         85.599        492.699         48.296
     31/12/1977           1977         3104.9        202.595          6.045            0.0          0.000          0.000            0.0          0.000          0.000          998.7         6871.4            0.0         614.500         11.079        471.648          0.000
     31/12/1978           1978            0.0          0.000          0.000         2546.7        185.502          3.104            0.0          0.000          0.000          500.5         3815.7            0.0         799.100         15.023        523.009          0.000
     31/12/1979           1979         2798.4        149.829          3.001            0.0          0.000          0.000            0.0          0.000          0.000          456.6         4409.3            0.0         488.600          2.182        385.440          0.000
     31/12/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          311.9         1361.6            0.0         387.700          0.261        359.345          0.000
     31/12/1981           1981         3751.6        209.370          7.397            0.0          0.000          0.000            0.0          0.000          0.000         1117.0         8729.4            0.0         664.100         32.995        408.867          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0         39.525          1.367          678.1         3902.8            0.0         518.300          6.093        388.210          0.000
     31/12/1983           1983         6079.5        278.514          6.769            0.0          0.000          0.000         4033.4         91.972          1.367         1807.0         9655.0            0.0        1019.100         77.842        454.693         96.008
     31/12/1984           1984            0.0          0.000          0.000         2167.2        225.875          2.926         7560.3        251.162          2.903         3236.8         6484.0            0.0         798.300         19.052        403.987          3.927
     31/12/1985           1985         2798.4        164.414          5.333            0.0          0.000          0.000            0.0          0.000          0.000         1376.5         6461.6            0.0         568.000         16.521        423.530          0.000
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          285.1         1652.7            0.0         531.400          1.560        478.929          0.000
     31/12/1987           1987         3499.2        192.885          5.166            0.0          0.000          0.000            0.0          0.000          0.000          896.3         7740.4            0.0         598.600          7.306        423.000          0.000
     31/12/1988           1988            0.0          0.000          0.000         2292.5        204.776          3.268            0.0          0.000          0.000          740.5         3850.4            0.0         832.400         31.433        527.274         74.840
     31/12/1989           1989         3069.2        182.652          6.505            0.0          0.000          0.000            0.0          0.000          0.000         1016.2         7742.2            0.0         680.000         54.055        421.822          0.000
     31/12/1990           1990            0.0          0.000          0.000         2124.8        193.592          3.015            0.0          0.000          0.000          810.3         3684.0            0.0         687.900         44.166        465.659         29.674
     31/12/1991           1991         1934.8        146.083          4.577            0.0          0.000          0.000            0.0          0.000          0.000          688.2         5520.6            0.0         608.700         32.630        391.400          0.000
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          205.9         1023.2            0.0         382.800          0.235        380.596          0.000
     31/12/1993           1993         2216.0        137.566          3.720            0.0          0.000          0.000            0.0          0.000          0.000          354.8         4502.9            0.0         446.500          4.800        371.822          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0         37.832          2.020          253.0         1599.2            0.0         524.300         23.444        364.462          0.000
     31/12/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         6651.4        220.406          2.558         2338.6         5196.6            0.0         608.600          6.901        404.711          0.000
     31/12/1996           1996         4260.6        225.963          5.571            0.0          0.000          0.000         8093.2        257.568          2.822         3227.8         8016.4            0.0         961.100        102.002        380.572          0.000
     31/12/1997           1997            0.0          0.000          0.000         2237.2        220.878          2.738            0.0          0.000          0.000         1835.3         4956.3            0.0         747.000         71.372        410.852         43.542
     31/12/1998           1998         5475.6        272.909          5.069            0.0          0.000          0.000            0.0        121.117          2.864         1473.8        10099.9            0.0         891.400         57.692        375.926         32.909
     31/12/1999           1999            0.0          0.000          0.000         1894.4        191.546          2.903         7057.2        150.534          2.864         2037.3         6308.9            0.0         848.600         12.781        496.126          0.000
     31/12/2000           2000         1554.8        127.372          4.264            0.0          0.000          0.000            0.0          0.000          0.000          503.0         4170.2            0.0         481.900         11.686        398.550          0.000
