ApsimVersion = 6.1
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000            3.4            9.7            0.0         737.200         46.031        507.100        109.921
     31/12/1971           1971         3960.4        237.909          4.159            0.0          0.000          0.000            0.0          0.000          0.000          632.4         6183.6            0.0         668.800         17.684        470.775        171.655
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0        116.615          2.694         4613.6         5720.4            0.0         501.100          0.014        398.519          0.000
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4489.6        106.853          2.694         4749.6         6460.0            0.0         727.500          3.369        433.399          2.651
     31/12/1974           1974         2552.3        195.530          3.785            0.0          0.000          0.000            0.0          0.000          0.000         3025.8         8127.1            0.0         509.100         10.415        344.413         54.058
     31/12/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000            0.0         97.296          2.658         3897.6         6533.6            0.0         692.900          8.161        418.424        112.752
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         4912.1         90.288          2.658         1981.8         4598.3            0.0         817.500         71.324        492.651        155.864
     31/12/1977           1977         2914.9        185.457          3.799            0.0          0.000          0.000            0.0          0.000          0.000         1026.2         5885.5            0.0         614.500         11.157        470.861        141.670
     31/12/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000            0.0        102.805          2.868         2220.7         4411.5            0.0         799.100          8.668        492.557         70.899
     31/12/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         4011.3         89.404          2.868         3188.1         5594.1            0.0         488.600          0.000        409.880          0.688
     31/12/1980           1980         1933.3        137.819          3.535            0.0          0.000          0.000            0.0          0.000          0.000         1378.4         4510.6            0.0         387.700          0.225        326.376          0.000
     31/12/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000            0.0        104.507          2.727         1342.2         3076.1            0.0         664.100         21.911        446.648          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         4949.3        128.093          2.727         2376.6         5082.5            0.0         518.300          1.427        370.414          0.000
     31/12/1983           1983         3457.6        209.947          3.646            0.0          0.000          0.000            0.0          0.000          0.000         1345.1         7587.3            0.0        1019.100         86.439        510.582        179.897
     31/12/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000            0.0        112.874          2.751         2070.9         5283.8            0.0         798.300         22.190        502.900        242.879
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         3209.0         81.424          2.751         2156.4         5121.8            0.0         568.000          6.277        474.008          1.187
     31/12/1986           1986         2902.8        179.447          3.386            0.0          0.000          0.000            0.0          0.000          0.000          530.0         4899.3            0.0         531.400          2.927        443.972          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000            0.0        109.183          2.752         1832.3         3981.2            0.0         598.600          0.708        475.428          0.000
     31/12/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         3581.3         64.941          2.752         1579.6         4672.5            0.0         832.400          7.999        505.649         91.120
     31/12/1989           1989         2520.0        188.569          4.004            0.0          0.000          0.000            0.0          0.000          0.000         1173.2         7405.8            0.0         680.000         55.501        427.025        112.935
     31/12/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000            0.0        130.087          2.600         2128.0         4970.8            0.0         687.900         26.559        427.990        123.338
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         4511.6         84.598          2.600         2441.6         4391.5            0.0         608.700         37.353        369.170          0.001
     31/12/1992           1992         2473.2        188.889          3.471            0.0          0.000          0.000            0.0          0.000          0.000         1077.8         6283.3            0.0         382.800          0.000        365.403          0.000
     31/12/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.632          0.135         3527.8         4745.9            0.0         446.500          0.000        392.409          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000         3724.5        115.080          1.862         2361.7         3426.3            0.0         524.300         16.456        316.503          0.000
     31/12/1995           1995         2624.5        161.901          2.249            0.0          0.000          0.000            0.0          0.000          0.000          883.7         4029.2            0.0         608.600          9.975        421.881         28.723
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000            0.0         19.037          1.866          662.4         2301.8            0.0         961.100        110.658        498.590        241.235
     31/12/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         3939.3         93.572          1.866         2185.3         3729.4            0.0         747.000         98.699        421.490        128.214
     31/12/1998           1998         2751.1        161.992          3.372            0.0          0.000          0.000            0.0          0.000          0.000         1529.1         6953.4            0.0         891.400         55.838        415.580        272.163
     31/12/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000            0.0         95.530          2.856         2174.4         5299.6            0.0         848.600         15.778        529.948        261.868
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         4469.0        123.210          2.855         3506.0         5878.7            0.0         481.900          0.743        397.143          2.764
