APSIM output file, version = 5.4
Title = site=goondiwindi; soil=lg1; treatment=w1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957       2652.923        186.671          4.293          0.000          0.000          0.000          0.000          0.000          0.000        779.117       5325.437          0.000         453.500          0.405        429.317         21.347
     31/12/1958           1958       2581.437        229.809          3.298          0.000          0.000          0.000          0.000          0.000          0.000       4441.572      10224.541          0.000         662.400          8.266        371.326          0.000
     31/12/1959           1959       1863.377        188.416          2.976          0.000          0.000          0.000          0.000          0.000          0.000       7090.881      11576.339          0.000         654.400         40.027        231.479         71.697
     31/12/1960           1960       1659.846        183.421          2.932          0.000          0.000          0.000          0.000          0.000          0.000       6472.372      10306.434          0.000         450.100          0.862        275.790         92.373
     31/12/1961           1961       2165.985        186.127          2.946          0.000          0.000          0.000          0.000          0.000          0.000       5316.064       8441.135          0.000         745.300         16.529        340.429         55.776
     31/12/1962           1962       1938.179        192.870          2.316          0.000          0.000          0.000          0.000          0.000          0.000       2995.169       6994.925          0.000         871.900         50.371        392.647        395.934
     31/12/1963           1963       2048.034        159.500          2.337          0.000          0.000          0.000          0.000          0.000          0.000       3185.726       6374.656          0.000         577.700          4.814        374.926         35.459
     31/12/1964           1964       3718.999        197.337          3.343          0.000          0.000          0.000          0.000          0.000          0.000       2713.538       5853.054          0.000         650.500          0.082        445.472          6.954
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2607.338       4149.002          0.000         402.800          0.901        341.278          0.000
     31/12/1966           1966       5658.594        302.564          6.184          0.000          0.000          0.000          0.000          0.000          0.000       1567.896      10178.835          0.000         572.500          5.336        361.324          0.000
     31/12/1967           1967       2075.189        190.190          2.916          0.000          0.000          0.000          0.000          0.000          0.000       5995.460       9233.547          0.000         385.700          3.858        231.507          0.000
     31/12/1968           1968       1734.777        193.412          3.092          0.000          0.000          0.000          0.000          0.000          0.000       5079.100       9086.372          0.000         561.600          4.130        293.095          0.000
     31/12/1969           1969       1784.372        193.443          2.952          0.000          0.000          0.000          0.000          0.000          0.000       5147.425       9080.420          0.000         621.900         14.050        294.614          0.000
     31/12/1970           1970       2264.727        180.679          2.946          0.000          0.000          0.000          0.000          0.000          0.000       3634.122       6791.314          0.000         743.300         11.229        382.299         99.016
     31/12/1971           1971       2451.089        210.270          2.863          0.000          0.000          0.000          0.000          0.000          0.000       2084.934       6180.831          0.000         668.800          7.466        430.554        222.774
