Summary_file = output\warialda_cd2_200_oc2_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3064.380        142.782          2.742        929.523       3202.941          0.000         433.800          1.253        406.500         27.853
     31/12/1958      1958       4078.029        191.707          4.172          0.000          0.000          0.000          0.000          0.000          0.000        943.013       6671.868          0.000         761.600         25.848        477.178          0.000
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       5216.488        270.698          3.464       2762.209       5616.690          0.000         916.800         12.920        520.575         44.528
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       4226.201        199.211          3.486       1044.779       4181.122          0.000         567.000          1.862        478.698          0.049
     31/12/1961      1961        878.678         84.363          4.075          0.000          0.000          0.000       2014.573         38.697          2.075        481.209       3912.615          0.000         650.900          6.171        480.047          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       4553.280        184.822          3.646       1358.140       4419.366          0.000         803.000         28.555        513.854         32.717
     31/12/1963      1963       1122.073         92.151          3.320          0.000          0.000          0.000       2618.863        168.056          2.878        934.871       4126.083          0.000         722.000          1.216        468.516          0.000
     31/12/1964      1964          0.000          0.000          0.000       2519.624        180.503          2.524       3246.543        126.025          2.480        893.428       3227.678          0.000         709.000         12.738        468.120          1.231
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        193.700       1049.977          0.000         355.900          0.677        337.017          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         55.761          2.433          2.472          8.984          0.000         547.400          6.956        459.136          0.000
     31/12/1967      1967       1633.587        118.278          4.480          0.000          0.000          0.000       1939.472         60.009          2.582        958.575       4744.048          0.000         455.200          3.615        334.963          0.000
     31/12/1968      1968          0.000          0.000          0.000       1264.965        120.101          2.121          0.000          0.000          0.000        523.886       4172.180          0.000         638.100         10.783        502.473          0.000
     31/12/1969      1969       1739.587        106.380          1.775          0.000          0.000          0.000          0.000         29.520          1.768        366.817       3634.074          0.000         687.900          6.972        484.752          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2343.017        158.821          3.371        742.949       3006.798          0.000         894.100         56.621        468.758        110.516
     31/12/1971      1971       2420.571        151.579          3.576          0.000          0.000          0.000       4798.057        166.286          3.552       2781.078       5639.031          0.000         894.099         40.581        358.727        314.566
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         23.965          0.896        489.633       3271.102          0.000         552.200          1.053        497.884          0.000
     31/12/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       2965.812        191.811          3.097       1173.825       3646.681          0.000         816.400         43.554        513.056          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4349.555        177.315          3.596       1296.165       4199.809          0.000         610.200         31.048        409.616         63.204
     31/12/1975      1975       3867.210        179.560          3.592          0.000          0.000          0.000       1848.845        112.992          2.846        859.776       5045.831          0.000        1036.400         43.002        468.649        136.490
     31/12/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       5253.332        193.850          3.752       2073.931       5563.609          0.000         817.900        100.905        460.204        171.349
     31/12/1977      1977       1573.273        120.928          2.980          0.000          0.000          0.000          0.000          0.000          0.000        495.398       4717.907          0.000         676.600         55.961        456.165         96.793
     31/12/1978      1978          0.000          0.000          0.000       2096.205        151.923          2.319          0.000          0.000          0.000        348.071       2854.829          0.000         858.400         14.472        582.987         46.863
     31/12/1979      1979       3034.821        152.507          2.856          0.000          0.000          0.000          0.000          0.000          0.000        769.761       4681.255          0.000         620.300         23.377        391.492         49.966
     31/12/1980      1980          0.000          0.000          0.000        816.717        114.518          1.640          0.000          0.000          0.000        884.436       4487.584          0.000         533.200          1.618        394.130          5.903
     31/12/1981      1981       2187.406        127.826          5.108          0.000          0.000          0.000       1710.820         90.038          2.758        838.243       5100.777          0.000         668.200         22.246        457.844          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000         49.189         73.801          2.082        162.582       1689.936          0.000         525.900         14.138        380.464         36.822
     31/12/1983      1983       6628.961        278.037          5.795          0.000          0.000          0.000       2764.091         81.857          1.971       1264.981       8963.514          0.000         957.300         41.398        453.861         46.526
     31/12/1984      1984          0.000          0.000          0.000       1594.858        179.902          2.040       5033.487        201.860          3.794       2446.910       6722.772          0.000         832.400         15.724        428.150         95.704
     31/12/1985      1985       1987.277        122.146          2.853          0.000          0.000          0.000          0.000          1.899          0.113        571.069       4159.879          0.000         651.600          2.503        459.244          0.000
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       2002.527        107.119          2.707        932.996       2712.733          0.000         474.300          0.492        422.084          0.000
     31/12/1987      1987       2950.264        172.878          5.413          0.000          0.000          0.000          0.000          0.000          0.000        674.281       7143.173          0.000         692.700          1.465        516.349          0.000
