Summary_file = output\warialda_cd2_200_w1_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=w1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957       1190.693        107.740          2.320          0.000          0.000          0.000          0.000          0.000          0.000        329.465       3238.309          0.000         433.800          1.250        427.101         34.046
     31/12/1958      1958       4237.177        209.396          4.639          0.000          0.000          0.000          0.000          0.000          0.000       1176.294       7274.442          0.000         761.600         24.417        462.713          0.000
     31/12/1959      1959       2671.211        155.869          4.423          0.000          0.000          0.000          0.000          0.000          0.000       2066.300       6247.364          0.000         916.800         15.127        508.419        165.332
     31/12/1960      1960       2998.092        158.642          2.560          0.000          0.000          0.000          0.000          0.000          0.000        426.970       4245.778          0.000         567.000          0.412        438.988         62.247
     31/12/1961      1961       1859.820        151.891          6.292          0.000          0.000          0.000          0.000          0.000          0.000        669.620       6131.585          0.000         650.900          8.930        457.401          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         40.123        835.602          0.000         803.000         32.005        580.578        116.730
     31/12/1963      1963       1672.656        127.620          4.070          0.000          0.000          0.000          0.000          0.000          0.000        362.122       5014.523          0.000         722.000          4.855        522.030         96.900
     31/12/1964      1964       4024.114        193.517          5.179          0.000          0.000          0.000          0.000          0.000          0.000        690.050       6579.101          0.000         709.000         25.965        457.694        120.222
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        350.940       2075.104          0.000         355.900          1.350        344.017          0.000
     31/12/1966      1966       3701.204        203.327          6.200          0.000          0.000          0.000          0.000          0.000          0.000        616.451       7475.532          0.000         547.400          0.623        352.580          0.000
     31/12/1967      1967       1987.587        139.744          4.818          0.000          0.000          0.000          0.000          0.000          0.000       1793.065       5074.590          0.000         455.200          2.953        330.322         16.377
     31/12/1968      1968       2511.009        168.953          6.481          0.000          0.000          0.000          0.000          0.000          0.000       1107.004       7298.497          0.000         638.100         10.608        448.386          2.780
     31/12/1969      1969       2168.562        127.657          3.082          0.000          0.000          0.000          0.000          0.000          0.000        761.641       4713.750          0.000         687.900          5.111        464.888          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        148.008       1541.095          0.000         894.100         75.252        539.884        219.888
     31/12/1971      1971       1940.206        139.928          3.531          0.000          0.000          0.000          0.000          0.000          0.000        246.289       4180.087          0.000         894.099         69.815        481.506        343.055
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        359.939       2569.046          0.000         552.200          1.047        498.079          0.000
     31/12/1973      1973       3311.422        184.637          2.885          0.000          0.000          0.000          0.000          0.000          0.000        288.603       4637.313          0.000         816.400         30.264        508.696         31.354
     31/12/1974      1974       2649.320        147.563          2.920          0.000          0.000          0.000          0.000          0.000          0.000        441.792       4226.244          0.000         610.200         37.312        410.808        102.122
     31/12/1975      1975       3567.640        178.166          3.837          0.000          0.000          0.000          0.000          0.000          0.000        839.400       5657.436          0.000        1036.400         63.889        509.226        183.070
     31/12/1976      1976       3557.631        175.443          2.953          0.000          0.000          0.000          0.000          0.000          0.000        837.399       5503.989          0.000         817.900         92.172        442.709        250.418
