Summary_file = output\warialda_cd2_50_LongFallow1_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.659          9.812          0.000         433.800          1.250        435.488         34.046
     31/12/1958      1958       3803.478        207.656          4.204          0.000          0.000          0.000          0.000          0.000          0.000       1074.750       7379.285          0.000         761.600         28.231        461.556         78.146
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000        141.965          3.369       5883.532       7153.843          0.000         916.800         13.664        373.902        343.344
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       5038.751        103.594          3.219       6992.155       8511.471          0.000         567.000          0.311        338.788        135.979
     31/12/1961      1961       1895.978        145.066          3.010          0.000          0.000          0.000          0.000          0.000          0.000       4218.848       6283.078          0.000         650.900          2.420        389.388        110.667
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         80.170          2.748       2679.182       5071.309          0.000         803.000          8.011        482.100        224.458
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4037.989        110.377          2.657       2423.917       5234.292          0.000         722.000          2.988        484.164        133.577
     31/12/1964      1964       3063.153        162.705          4.067          0.000          0.000          0.000          0.000          0.000          0.000        874.866       5209.959          0.000         709.000         23.281        465.676        123.267
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.400          0.140       3004.740       4136.303          0.000         355.900          0.095        339.121          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1240.938         74.853          2.170       1073.848       2736.010          0.000         547.400          1.261        454.404          0.000
     31/12/1967      1967       1833.708        133.931          4.173          0.000          0.000          0.000          0.000          0.000          0.000        753.911       4520.755          0.000         455.200          7.946        342.890         54.187
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000         89.785          2.691       1717.129       4284.435          0.000         638.100          7.462        473.277         22.965
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       3573.822         97.828          2.604       1395.854       4158.010          0.000         687.900         10.862        530.381          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         35.821        215.734          0.000         894.100         75.749        540.779        215.331
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         10.412          0.689          0.731          2.995          0.000         894.099         71.026        504.559        347.216
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       3001.310        139.249          3.008        944.452       3191.812          0.000         552.200          0.748        470.310          0.000
     31/12/1973      1973       3433.593        195.338          2.556          0.000          0.000          0.000          0.000          0.000          0.000        392.926       4746.590          0.000         816.400         27.247        502.904         16.914
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         68.998          2.259       1469.709       3274.693          0.000         610.200         33.132        428.850        170.993
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       2394.772         79.560          2.301        399.482       2860.012          0.000        1036.400         52.376        569.289        241.997
     31/12/1976      1976       2775.710        153.548          2.901          0.000          0.000          0.000          0.000          0.000          0.000        435.861       4984.002          0.000         817.900        127.471        455.466        203.926
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2788.499       4525.342          0.000         676.600         23.437        399.781        169.712
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3740.891        154.314          2.888       1780.341       3716.958          0.000         858.400          8.473        527.046        153.149
     31/12/1979      1979       2222.947        126.747          2.002          0.000          0.000          0.000          0.000          0.000          0.000        726.332       3616.550          0.000         620.300         20.460        411.943        122.665
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.092          2.887       1901.342       3603.073          0.000         533.200          0.688        375.428         40.087
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       3701.164        103.214          2.645       1965.387       4561.534          0.000         668.200         10.648        479.258         23.429
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         57.151        282.126          0.000         525.900         16.276        389.687        132.515
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         78.900          2.855          3.967         15.145          0.000         957.300         55.246        665.880        223.137
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       3902.245         89.531          2.791       2699.696       4935.999          0.000         832.400          9.626        485.047        187.413
     31/12/1985      1985       2328.992        142.665          3.046          0.000          0.000          0.000          0.000          0.000          0.000       1275.601       4357.094          0.000         651.600          2.390        456.405         60.011
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         39.004          1.653       2771.401       3633.481          0.000         474.300          0.000        411.709         58.897
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       3392.815        132.013          2.884       1241.655       3996.957          0.000         692.700          0.250        554.334          0.000
     31/12/1988      1988       2551.926        169.553          3.585          0.000          0.000          0.000          0.000          0.000          0.000        989.342       6421.863          0.000         859.700         31.970        488.400        176.191
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000         87.256          2.991       2909.698       5200.353          0.000         745.200          4.565        472.647        196.597
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       2790.978         55.013          2.923       1411.138       3893.630          0.000         533.100          0.898        442.311          4.715
     31/12/1991      1991       1692.342        122.625          3.464          0.000          0.000          0.000          0.000          0.000          0.000        747.430       4495.711          0.000         743.500         35.959        446.563        184.849
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         57.365          3.024       1985.511       3479.787          0.000         575.600          0.000        532.685          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000       1658.610         35.436          2.844        475.465       2709.566          0.000         582.300          1.720        500.586          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          8.664         31.027          0.000         428.100         17.500        366.415         32.646
     31/12/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000        106.378          3.418          0.772          2.858          0.000         802.200         49.225        503.426        153.028
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       5547.886        139.976          3.338       3904.175       6443.345          0.000         785.800         18.272        475.667        104.227
