ApsimVersion = 5.4
Title = site=warialda; soil=cd2; treatment=w3; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000            2.8            9.7            0.0         892.100         76.111        558.207        237.825
     31/12/1971           1971         2185.5        135.920          2.699            0.0          0.000          0.000            0.0          0.000          0.000          229.5         3478.1            0.0         894.099         69.768        487.599        342.495
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         2734.6         3242.4            0.0         552.200          0.016        470.180          0.000
     31/12/1973           1973         2950.4        196.291          2.632            0.0          0.000          0.000            0.0          0.000          0.000         1460.6         5009.3            0.0         816.400         25.487        478.381         71.981
     31/12/1974           1974            0.0          0.000          0.000         1562.9        150.138          1.993            0.0          0.000          0.000         3430.3         4449.9            0.0         610.200         24.516        369.197        144.478
     31/12/1975           1975         2851.4        166.231          2.815            0.0          0.000          0.000            0.0          0.000          0.000         1796.7         4797.5            0.0        1036.400         40.175        492.844        253.052
     31/12/1976           1976            0.0          0.000          0.000         1949.9        178.813          2.681            0.0          0.000          0.000         2515.3         4174.4            0.0         817.900         84.227        427.045        274.445
     31/12/1977           1977         1681.7        104.794          1.809            0.0          0.000          0.000            0.0          0.000          0.000         1123.4         3975.1            0.0         676.600         35.209        453.141         90.677
     31/12/1978           1978            0.0          0.000          0.000         2104.8        153.516          2.326            0.0          0.000          0.000          775.6         2971.8            0.0         858.400          9.850        571.904         74.718
     31/12/1979           1979         2598.2        144.372          2.631            0.0          0.000          0.000            0.0          0.000          0.000          749.9         3996.0            0.0         620.300         22.329        404.803         49.922
     31/12/1980           1980            0.0          0.000          0.000          823.4        115.355          1.650            0.0          0.000          0.000         1994.2         3954.1            0.0         533.200          1.014        384.015          7.504
     31/12/1981           1981         3090.3        160.478          3.946            0.0          0.000          0.000            0.0          0.000          0.000          856.4         4960.1            0.0         668.200         22.666        471.473         29.842
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1363.0         3347.6            0.0         525.900          2.636        365.533         83.293
     31/12/1983           1983         4368.4        220.718          4.465            0.0          0.000          0.000            0.0          0.000          0.000         1069.8         7295.9            0.0         957.300         47.405        477.914        199.657
     31/12/1984           1984            0.0          0.000          0.000         1622.5        185.133          2.135            0.0          0.000          0.000         2897.3         5620.0            0.0         832.400         16.570        450.443        292.816
     31/12/1985           1985         2070.6        119.770          2.745            0.0          0.000          0.000            0.0          0.000          0.000         1496.4         3619.5            0.0         651.600          1.762        463.847          0.000
     31/12/1986           1986            0.0          0.000          0.000         1636.3        154.056          2.171            0.0          0.000          0.000         1601.1         2985.2            0.0         474.300          0.136        406.835          1.819
     31/12/1987           1987         1720.3        102.240          3.190            0.0          0.000          0.000            0.0          0.000          0.000          507.2         3338.7            0.0         692.700          0.025        570.101          0.000
     31/12/1988           1988            0.0          0.000          0.000         1821.5        166.141          2.907            0.0          0.000          0.000          759.6         3054.6            0.0         859.700         15.616        531.925        151.512
     31/12/1989           1989         2172.7        139.033          3.782            0.0          0.000          0.000            0.0          0.000          0.000          628.7         4951.9            0.0         745.200         18.243        491.822          8.830
     31/12/1990           1990            0.0          0.000          0.000         1185.0        118.956          2.051            0.0          0.000          0.000         1532.7         3408.6            0.0         533.100          1.191        438.584         99.906
     31/12/1991           1991         1765.4        121.698          3.516            0.0          0.000          0.000            0.0          0.000          0.000          877.9         4393.9            0.0         743.500         32.550        446.787         80.364
     31/12/1992           1992            0.0          0.000          0.000         1309.0        112.604          1.962            0.0          0.000          0.000         1496.0         3167.3            0.0         575.600          0.000        506.310          0.000
     31/12/1993           1993         1278.8         91.847          2.888            0.0          0.000          0.000            0.0          0.000          0.000          355.3         3318.1            0.0         582.300          0.000        454.054          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1155.9         2525.0            0.0         428.100          6.131        355.716         17.118
     31/12/1995           1995         2099.9        127.452          1.674            0.0          0.000          0.000            0.0          0.000          0.000          529.1         3513.8            0.0         802.200         18.007        487.220        128.110
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          381.4         1714.2            0.0         785.800         18.809        575.006        196.895
     31/12/1997           1997         2666.9        158.301          4.253            0.0          0.000          0.000            0.0          0.000          0.000          627.1         4679.8            0.0         676.200         19.841        455.515         71.622
     31/12/1998           1998            0.0          0.000          0.000         2422.8        179.608          2.684            0.0          0.000          0.000         1700.8         3281.8            0.0         911.900         25.016        526.736        226.656
     31/12/1999           1999         3106.2        168.919          2.327            0.0          0.000          0.000            0.0          0.000          0.000          604.1         4334.9            0.0         872.000         20.638        539.321         55.793
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1034.7         2753.4            0.0         821.000         56.993        493.423        275.872
