Summary_file = output\warialda_lg1_200_LongFallow1_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.659          9.812          0.000         433.800          2.891        425.133         41.881
     31/12/1958      1958       6874.815        298.432          5.482          0.000          0.000          0.000          0.000          0.000          0.000       1501.463      10307.754          0.000         761.600         35.932        429.225         79.393
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000        151.742          3.685       7640.229       9919.298          0.000         916.800         23.035        280.006        356.783
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       6348.613        167.313          3.567       5618.363       7914.875          0.000         567.000          0.381        383.903         10.298
     31/12/1961      1961       3547.079        250.604          8.336          0.000          0.000          0.000          0.000          0.000          0.000       2015.964       8792.885          0.000         650.900          5.392        401.930         95.302
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         99.850          3.423        502.798       4361.588          0.000         803.000         13.330        511.845        100.726
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       5234.109        154.225          3.360       1459.149       6482.362          0.000         722.000         25.095        486.986          3.217
     31/12/1964      1964       6226.302        295.870          7.617          0.000          0.000          0.000          0.000          0.000          0.000        960.336       9512.073          0.000         709.000         41.998        429.522        146.943
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2437.660       5345.431          0.000         355.900          0.444        345.948          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        128.213        424.245          0.000         547.400         10.868        454.476          0.000
     31/12/1967      1967       3615.975        228.220          6.116          0.000          0.000          0.000          0.000          0.000          0.000       1058.591       7161.823          0.000         455.200         15.335        326.555         12.123
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000        104.929          3.197        600.495       6244.341          0.000         638.100         16.082        476.399          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       4216.850        120.038          3.133        904.641       4797.031          0.000         687.900         13.956        524.978          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.795         36.526          0.000         894.100         88.783        531.525         52.458
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         10.414          0.690          0.016          0.144          0.000         894.099         91.182        499.506        385.362
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       4734.233        230.165          3.651       2015.288       4973.354          0.000         552.200          0.365        450.574          0.001
     31/12/1973      1973       4391.613        235.454          3.839          0.000          0.000          0.000          0.000          0.000          0.000        434.963       6012.068          0.000         816.400         37.283        484.029          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000        116.916          3.083        345.490       2424.832          0.000         610.200         44.845        430.731         61.404
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       4069.234        131.128          3.117        799.095       4385.081          0.000        1036.400         53.592        545.576        159.114
     31/12/1976      1976       5534.911        264.586          4.724          0.000          0.000          0.000          0.000          0.000          0.000        718.935       8292.376          0.000         817.900        140.744        417.960        214.918
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000        121.317        119.677          2.900       2003.314       7596.159          0.000         676.600         32.845        386.069         89.253
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       4223.266         82.028          2.723        754.637       4375.405          0.000         858.400         24.014        558.726         46.903
     31/12/1979      1979       4959.471        255.058          5.332          0.000          0.000          0.000          0.000          0.000          0.000        793.780       7579.343          0.000         620.300         37.557        366.908        127.308
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000        116.724          3.463       1797.099       7101.008          0.000         533.200          2.998        359.330          0.000
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       4977.924        127.925          3.351       1462.438       5276.159          0.000         668.200         17.890        478.516          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         13.504         92.547          0.000         525.900         23.080        385.684         52.011
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000        107.986          3.452          0.224          1.560          0.000         957.300         68.702        651.611        224.118
