ApsimVersion = 5.4
Title = site=warialda; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         4613.9        310.496          3.038         1633.0         4589.6            0.0         892.100         46.078        470.279         26.744
     31/12/1971           1971         4310.8        238.348          4.536            0.0          0.000          0.000         5118.2        143.386          2.943         3389.4         6720.9            0.0         894.099         58.654        342.176        339.695
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0         50.014          2.257         2976.6         5948.6            0.0         552.200          0.150        457.150          0.000
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         3558.0        194.062          2.914         1414.8         4733.0            0.0         816.400         60.868        497.833          0.000
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         5009.6        215.100          3.116         1539.5         4890.6            0.0         610.200         38.281        407.247          0.000
     31/12/1975           1975         4672.0        281.820          4.751            0.0          0.000          0.000         2961.3        158.634          2.857         1329.7         8536.1            0.0        1036.400         50.995        428.906         60.053
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         5172.0        181.193          3.087         2007.6         5198.5            0.0         817.900        111.873        456.443         92.319
     31/12/1977           1977         3261.7        213.785          4.755            0.0          0.000          0.000            0.0          0.000          0.000          760.8         7129.9            0.0         676.600         68.622        446.374         95.618
     31/12/1978           1978            0.0          0.000          0.000         2692.5        198.621          2.893            0.0          0.000          0.000          591.9         3761.6            0.0         858.400         18.732        562.474          0.000
     31/12/1979           1979         4244.1        234.862          3.735            0.0          0.000          0.000            0.0          0.000          0.000         1074.1         6708.2            0.0         620.300         33.750        375.559          0.000
     31/12/1980           1980            0.0          0.000          0.000         1171.5        151.690          2.086            0.0          0.000          0.000         1442.1         6296.5            0.0         533.200          2.691        374.535          0.000
     31/12/1981           1981         3998.3        218.680          8.154            0.0          0.000          0.000            0.0          0.000          0.000          845.1         8018.0            0.0         668.200         32.144        441.703          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000          131.1        107.812          2.789          352.2         3210.2            0.0         525.900         15.702        368.452          0.000
     31/12/1983           1983         7002.6        340.446          7.889            0.0          0.000          0.000         4758.4         90.659          2.523         1994.8        11210.5            0.0         957.300         51.336        416.100          0.000
     31/12/1984           1984            0.0          0.000          0.000         2249.3        262.318          3.148         5394.6        203.656          3.114         3577.3         7521.6            0.0         832.400         34.686        362.492         40.943
     31/12/1985           1985         2826.6        155.246          3.519            0.0          0.000          0.000            0.0          0.000          0.000          873.8         4612.7            0.0         651.600          6.254        446.081          0.000
     31/12/1986           1986            0.0          0.000          0.000         1707.5        162.376          2.141            0.0          0.000          0.000          335.3         2644.9            0.0         474.300          2.131        414.926          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          159.1         2055.2            0.0         692.700          0.463        613.157          0.000
     31/12/1988           1988         6062.9        306.748          7.039            0.0          0.000          0.000            0.0          0.000          0.000         1405.8        10342.0            0.0         859.700         43.456        444.017         59.687
     31/12/1989           1989            0.0          0.000          0.000         2168.3        211.443          2.422            0.0          0.000          0.000         1230.2         6098.7            0.0         745.200         16.772        505.329          0.000
     31/12/1990           1990         3875.9        222.879          7.841            0.0          0.000          0.000            0.0          0.000          0.000         1312.8         9153.8            0.0         533.100         12.601        417.249          0.000
     31/12/1991           1991            0.0          0.000          0.000         1837.5        194.272          2.506            0.0          0.000          0.000         2086.4         8287.9            0.0         743.500         16.601        396.508         45.777
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          119.8          736.2            0.0         575.600          2.111        546.588          0.000
     31/12/1993           1993         4207.6        219.510          4.336            0.0          0.000          0.000            0.0          0.000          0.000          782.0         7381.4            0.0         582.300          0.452        399.942          0.000
     31/12/1994           1994            0.0          0.000          0.000         1120.5        152.643          1.993            0.0          0.000          0.000         1834.9         5090.8            0.0         428.100         13.317        331.821          0.000
     31/12/1995           1995         1813.5        117.912          2.286            0.0          0.000          0.000            0.0         20.870          1.629          319.7         3253.1            0.0         802.200         24.476        484.693          0.000
     31/12/1996           1996            0.0          0.000          0.000         2207.9        207.647          2.820         5767.3        228.966          3.112         2204.0         6272.1            0.0         785.800         14.859        449.294          0.000
     31/12/1997           1997         2944.9        173.212          5.273            0.0          0.000          0.000            0.0          0.000          0.000          656.8         5147.5            0.0         676.200         23.786        455.216          0.000
     31/12/1998           1998            0.0          0.000          0.000         2998.7        237.472          3.087            0.0          0.000          0.000          471.8         3883.1            0.0         911.900         54.857        560.436          0.000
     31/12/1999           1999         5141.1        302.561          4.372            0.0          0.000          0.000            0.0         17.560          1.788          858.6         8523.7            0.0         872.000         33.999        456.331          0.000
     31/12/2000           2000            0.0          0.000          0.000         1000.6        103.550          1.398         4263.0        228.972          3.112         1459.2         5361.4            0.0         821.000         59.367        430.702          0.000
