APSIM output file, version = 5.3
Title = site=warialda; soil=lg1; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000       4576.846        210.108          2.800       2952.199       4555.078          0.000         433.800          2.424        395.038         33.796
     31/12/1958           1958       1865.743        166.351          2.520          0.000          0.000          0.000          0.000          0.000          0.000       2666.407       6501.197          0.000         761.600         14.800        456.825          0.000
     31/12/1959           1959          0.000          0.000          0.000       2940.668        247.987          3.125       4984.277        223.473          3.083       4581.918       7468.957          0.000         916.800         20.011        367.399         13.389
     31/12/1960           1960       1085.798        149.669          1.540          0.000          0.000          0.000       4617.357        177.844          3.038       3673.566       5608.136          0.000         567.000          0.209        391.347          0.000
     31/12/1961           1961          0.000          0.000          0.000       1404.257        158.494          2.016          0.000          0.000          0.000       1722.479       4356.283          0.000         650.900          4.703        490.909          0.000
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000       4954.814        195.644          2.999       2113.244       5217.029          0.000         803.000         34.634        518.396          0.000
     31/12/1963           1963       1446.566         89.279          1.619          0.000          0.000          0.000       2989.375        145.276          2.656       1063.777       3393.020          0.000         722.000          2.906        469.290          0.000
     31/12/1964           1964          0.000          0.000          0.000       3048.290        223.461          3.012       3111.258        186.305          2.861       2243.536       5084.948          0.000         709.000          7.539        410.944          0.000
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        447.214       1536.782          0.000         355.900          0.697        336.845          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         69.319          2.540         10.181         29.817          0.000         547.400         10.996        450.692          0.000
     31/12/1967           1967       1797.242        130.241          4.696          0.000          0.000          0.000       1743.798         68.390          2.631       1168.830       4673.747          0.000         455.200          4.862        322.311          0.000
     31/12/1968           1968          0.000          0.000          0.000       1577.766        143.348          2.253          0.000          0.000          0.000       1132.614       4379.808          0.000         638.100         11.981        481.838          0.000
     31/12/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000          0.000         35.566          1.910        128.102       1262.985          0.000         687.900         16.829        542.818          0.000
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000       2705.630        219.704          3.036       1093.438       3995.135          0.000         894.100         54.514        452.887          0.000
     31/12/1971           1971       1615.768        185.759          1.947          0.000          0.000          0.000       5073.748        148.872          2.973       3149.327       6205.894          0.000         894.099         58.018        365.322        273.905
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         59.963          2.425       2662.758       5399.215          0.000         552.200          0.091        462.139          0.000
     31/12/1973           1973       2541.987        177.437          2.549          0.000          0.000          0.000       4003.399        150.436          2.730       2127.191       4875.303          0.000         816.400         28.471        453.596          0.000
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000       3924.646        201.985          2.828       3205.734       4604.293          0.000         610.200         28.602        407.083          0.000
     31/12/1975           1975       3913.552        227.913          3.394          0.000          0.000          0.000          0.000          0.000          0.000       1016.439       6405.494          0.000        1036.400         79.596        498.553        121.359
     31/12/1976           1976          0.000          0.000          0.000       2352.281        220.537          3.100       5044.569        169.669          3.087       3339.604       5390.975          0.000         817.900        119.163        364.593        127.326
     31/12/1977           1977       2476.681        160.901          2.350          0.000          0.000          0.000          0.000          0.000          0.000       1206.856       4542.572          0.000         676.600         48.830        440.575          1.141
