Summary_file = output\warialda_lg1_50_s1_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=s1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       4779.693        222.898          3.274       2760.725       4923.801          0.000         433.800          2.424        391.388         33.743
     31/12/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000          0.000        122.655          3.017       1948.348       3705.937          0.000         761.600         15.464        533.310          0.000
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       4920.033        261.775          3.660       2574.249       5595.024          0.000         916.800         16.251        527.009         14.238
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       6100.755        266.359          3.598       4065.480       6364.589          0.000         567.000          0.228        409.743          4.039
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       4723.228        153.358          3.551       2420.891       5244.129          0.000         650.900          3.614        486.838          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       5742.077        308.839          3.661       2432.334       6725.460          0.000         803.000         13.700        451.307          0.000
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4544.527        171.780          2.953       1384.426       5497.379          0.000         722.000         24.352        489.285          0.000
     31/12/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       4915.280        309.813          3.198       1436.512       4897.705          0.000         709.000         13.631        492.599          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       3336.647         84.410          3.091       1540.079       3759.837          0.000         355.900          0.000        334.441          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         63.072          2.687        119.992        371.391          0.000         547.400          9.266        449.960          0.000
     31/12/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       1917.422         60.316          2.878        307.016       2846.867          0.000         455.200          6.066        358.447          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000        120.027          3.274          2.969         34.688          0.000         638.100         35.090        487.617          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       4826.690        172.017          3.190       1344.733       5149.413          0.000         687.900         14.428        520.457          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2851.967        210.475          3.573        775.892       3140.927          0.000         894.100         55.772        451.816          0.000
