Summary_file = P40N75c_h.sum
Title = P40N75
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.086            482.091             24.217              2.870              2.131              2.022              1.363              1.357              1.340              1.327              1.318              1.306          0.000          0.052          2.330          0.350          0.255         14.956         37.634       1322.665         399.620              0.129              0.213              0.229              0.237              0.246              0.257              0.277              0.291              0.298              0.300        438.532         57.654          0.107          0.107                 0.477                 0.367                 0.441             43       4335.317       9711.681          1.007          7.192       1700.000        141.252              0.976              0.434              0.185              0.068              0.019              0.001              0.001              0.004              0.054              0.587         51.049         42.060              ?              ?              ?
      1953       108     18/04/1953        918.900              48.837            352.223             19.411              2.653              2.096              2.010              1.327              1.274              1.272              1.295              1.323              1.310          0.000          0.191          1.802          0.603          2.666        212.653         61.543       1319.871         402.602              0.230              0.283              0.291              0.296              0.298              0.299              0.300              0.300              0.300              0.301        499.471        111.471          1.055          1.055                 0.363                 0.264                 0.562             49       3949.812       9178.644          1.272          6.548       1700.000        140.341              0.900              0.354              0.193              0.139              0.067              0.030              0.027              0.025              0.022              0.043         65.930          7.134              ?              ?              ?
      1954        97     07/04/1954        668.500              49.535            222.907             20.450              2.724              2.115              2.086              1.404              1.362              1.342              1.326              1.302              1.283          0.000          0.228          2.268          0.645          3.340        257.444         80.320       1318.188         331.600              0.185              0.249              0.261              0.269              0.276              0.282              0.292              0.298              0.300              0.300        472.704         86.246          0.966          0.966                 0.384                 0.286                 1.000             36       4268.862      10232.425          1.314          7.573       1700.000        150.076              1.440              0.320              0.135              0.092              0.058              0.035              0.041              0.031              0.022              0.093         78.054          7.647              ?              ?              ?
      1955        92     02/04/1955       1006.700              85.375            465.730             20.112              2.713              2.114              2.095              1.394              1.366              1.346              1.300              1.271              1.255          0.000          0.282          2.641          0.666          4.232        331.121         92.470       1317.484         377.638              0.201              0.265              0.276              0.284              0.289              0.293              0.298              0.299              0.300              0.300        486.720         98.720          0.773          0.773                 0.386                 0.284                 1.000             32       3862.464       9543.121          1.537          7.141       1700.000        142.052              1.546              0.294              0.136              0.095              0.060              0.039              0.044              0.041              0.046              0.340         89.700         30.522              ?              ?              ?
      1956        97     06/04/1956       1000.800              99.066            365.317             19.485              2.645              2.076              2.087              1.411              1.396              1.365              1.324              1.275              1.254          0.000          0.310          2.578          0.679          3.527        270.070         98.927       1317.155         417.041              0.209              0.268              0.278              0.285              0.290              0.293              0.298              0.299              0.300              0.300        488.668        100.668          0.472          0.472                 0.368                 0.302                 0.994             39       4751.023      10860.285          1.732          8.861       1700.000        154.531              1.757              0.273              0.138              0.115              0.072              0.046              0.047              0.038              0.028              0.064        101.389         14.839              ?              ?              ?
      1957        94     04/04/1957       1059.500              77.801            434.415             23.327              2.677              2.064              2.068              1.374              1.367              1.332              1.288              1.247              1.229          0.000          0.324          2.581          0.738          4.551        328.508        105.279       1317.144         450.150              0.169              0.243              0.256              0.265              0.273              0.280              0.291              0.297              0.299              0.300        467.827         82.959          0.939          0.939                 0.388                 0.324                 0.976             36       4684.662       9796.562          1.374          8.227       1700.000        129.623              1.557              0.344              0.155              0.115              0.078              0.052              0.055              0.051              0.040              0.134        111.626         23.369              ?              ?              ?
      1958       101     11/04/1958        815.700              82.198            319.927             24.237              2.862              2.159              2.143              1.417              1.403              1.363              1.316              1.269              1.247          0.000          0.230          3.459          0.732          3.431        248.483        107.827       1317.594         353.248              0.227              0.223              0.227              0.232              0.241              0.252              0.275              0.290              0.297              0.300        445.102         57.102          1.012          1.012                 0.358                 0.287                 0.980             43       4802.058      11258.751          1.179          9.001       1700.000        159.284              2.312              0.401              0.174              0.125              0.079              0.049              0.049              0.039              0.045              0.184        123.823         17.288              ?              ?              ?
      1959       117     27/04/1959        797.300              33.715            299.917             26.673              2.942              2.202              2.166              1.411              1.378              1.349              1.306              1.269              1.244          0.000          0.367          3.877          0.621          6.009        433.456        123.016       1319.260         408.907              0.114              0.203              0.219              0.225              0.232              0.243              0.267              0.285              0.295              0.299        422.778         43.424          1.773          1.773                 0.362                 0.296                 0.548             57       3643.019       9156.148          0.799          7.718       1700.000        141.041              2.261              0.325              0.172              0.122              0.083              0.059              0.072              0.062              0.090              0.631        135.239         26.443              ?              ?              ?
      1960       106     15/04/1960        663.400              30.832            245.306             26.866              2.777              2.139              2.098              1.372              1.361              1.339              1.299              1.250              1.224          0.000          0.309          3.860          0.962          5.940        372.172        135.631       1321.666         317.267              0.291              0.292              0.256              0.256              0.254              0.258              0.275              0.289              0.297              0.300        469.825         81.825          0.918          0.918                 0.401                 0.360                 0.353             46       4276.222       9564.803          0.938          8.329       1700.000        132.630              2.002              0.784              0.215              0.147              0.100              0.064              0.068              0.056              0.079              0.344        145.549         16.512              ?              ?              ?
      1961        86     27/03/1961        990.100              52.529            345.990             22.312              2.717              2.085              2.104              1.352              1.338              1.292              1.256              1.231              1.198          0.000          0.158          3.414          1.269          2.842        176.661        119.592       1323.918         399.471              0.270              0.287              0.292              0.295              0.296              0.297              0.299              0.300              0.300              0.300        502.158        114.158          0.086          0.086                 0.384                 0.325                 0.435             29       4916.584      12222.773          1.911         10.788       1700.000        171.971              2.187              0.409              0.202              0.154              0.078              0.044              0.037              0.037              0.058              0.209        155.246         23.636              ?              ?              ?
      1962        97     07/04/1962        868.500              43.456            327.865             25.391              2.836              2.135              2.151              1.384              1.350              1.292              1.258              1.227              1.190          0.000          0.257          3.800          1.107          3.766        234.508        124.125       1326.220         413.552              0.261              0.278              0.284              0.284              0.248              0.246              0.265              0.282              0.294              0.299        466.008         78.008          0.562          0.562                 0.369                 0.316                 0.984             39       4669.111      10862.768          1.297          8.958       1700.000        146.636              2.098              0.397              0.213              0.146              0.094              0.071              0.079              0.067              0.116              0.518        164.032         16.151              ?              ?              ?
      1963        95     05/04/1963       1055.400             174.525            449.211             25.757              2.792              2.105              2.127              1.326              1.308              1.275              1.234              1.193              1.170          0.000          0.235          3.501          0.912          3.864        255.395        127.588       1328.485         373.337              0.217              0.272              0.273              0.257              0.259              0.268              0.283              0.294              0.299              0.300        468.432         80.432          0.601          0.601                 0.386                 0.316                 0.841             33       4752.872      10379.158          1.401          8.612       1700.000        136.302              2.316              0.485              0.186              0.141              0.083              0.044              0.046              0.038              0.035              0.128        171.518         26.480              ?              ?              ?
      1964       102     11/04/1964        670.000              44.770            204.103             29.418              2.919              2.164              2.176              1.347              1.308              1.281              1.242              1.194              1.168          0.000          0.358          3.177          0.794          6.162        413.667        145.060       1330.950         333.505              0.100              0.200              0.210              0.215              0.222              0.235              0.264              0.284              0.295              0.299        413.704         35.695          4.155          4.155                 0.352                 0.310                 0.919             47       3199.478       8672.967          0.721          7.728       1700.000        134.713              1.976              0.339              0.172              0.145              0.089              0.056              0.069              0.063              0.058              0.210        179.696          9.371              ?              ?              ?
      1965       106     16/04/1965        903.200              89.834            470.072             29.307              2.868              2.124              2.091              1.252              1.239              1.239              1.221              1.175              1.158          0.000          0.292          5.490          0.862          6.189        346.843        149.992       1333.841         332.800              0.100              0.200              0.200              0.200              0.201              0.204              0.239              0.267              0.287              0.296        388.746         10.746          0.297          0.297                 0.368                 0.299                 0.367             46       3667.664       9186.165          0.851          6.639       1700.000        144.483              2.764              0.380              0.164              0.152              0.103              0.062              0.076              0.056              0.151              1.582        187.637         43.706              ?              ?              ?
