Summary_file = p50N25c_h.sum
Title = p50N25
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            102     11/04/1952       1000.300              73.820            505.531         33.642          3.031          2.187          2.056          1.379          1.362          1.347          1.334          1.323          1.310          0.000          0.048          1.911          0.382          0.201         13.410         37.567       1322.629         402.367          0.146          0.230          0.249          0.261          0.270          0.278          0.289          0.296          0.300          0.300        461.273         78.695          0.113          0.113                 0.477                 0.304                 0.471             43       1749.877       6197.301          0.700          3.789       1700.000        101.991          1.045          0.457          0.182          0.064          0.021          0.001          0.002          0.005          0.018          0.116         54.578         14.863              ?              ?              ?
           1953            108     18/04/1953        918.900              44.846            392.960         31.935          3.054          2.251          2.139          1.382          1.308          1.305          1.324          1.322          1.309          0.000          0.240          1.483          0.459          3.209        275.560         52.901       1318.758         423.833          0.219          0.284          0.292          0.298          0.299          0.300          0.300          0.300          0.301          0.301        499.233        111.233          1.270          1.270                 0.363                 0.216                 1.000             49        862.213       5176.976          0.675          3.027       1700.000         82.777          0.697          0.321          0.170          0.120          0.059          0.027          0.025          0.019          0.016          0.031         75.972          3.752              ?              ?              ?
           1954             97     07/04/1954        668.500              40.418            274.926         32.815          3.040          2.222          2.144          1.418          1.362          1.345          1.315          1.295          1.282          0.000          0.626          1.676          0.461          4.396        355.575         66.905       1315.671         336.994          0.195          0.258          0.269          0.278          0.285          0.290          0.296          0.299          0.300          0.300        481.912         94.379          0.979          0.979                 0.384                 0.233                 1.000             36       1104.451       6008.246          0.792          3.527       1700.000         94.779          1.050          0.283          0.115          0.071          0.041          0.021          0.022          0.011          0.013          0.048         94.628          2.794              ?              ?              ?
           1955             92     02/04/1955       1006.700              81.438            500.361         35.470          3.188          2.278          2.189          1.395          1.321          1.304          1.277          1.263          1.252          0.000          0.830          1.751          0.498          5.229        425.804         77.532       1313.352         396.762          0.198          0.267          0.278          0.286          0.292          0.295          0.299          0.300          0.300          0.300        488.597        100.775          0.775          0.775                 0.386                 0.237                 1.000             32        861.673       5585.586          0.697          3.317       1700.000         85.204          1.068          0.268          0.123          0.078          0.045          0.025          0.025          0.015          0.015          0.090        112.921         10.304              ?              ?              ?
           1956             97     06/04/1956       1000.800              89.584            422.344         34.042          3.080          2.229          2.163          1.403          1.346          1.320          1.280          1.265          1.253          0.000          0.735          1.941          0.512          4.688        368.016         84.573       1311.431         427.676          0.209          0.273          0.283          0.291          0.295          0.297          0.299          0.300          0.300          0.300        492.797        104.797          0.367          0.367                 0.368                 0.236                 1.000             39       1537.352       6416.365          0.933          4.261       1700.000        103.388          1.332          0.245          0.118          0.088          0.051          0.028          0.025          0.013          0.014          0.027        131.665          5.951              ?              ?              ?
           1957             94     04/04/1957       1059.500              74.831            481.780         37.369          2.957          2.158          2.106          1.346          1.304          1.275          1.243          1.239          1.228          0.000          0.857          1.851          0.559          5.359        417.377         88.150       1309.632         456.239          0.176          0.254          0.268          0.277          0.284          0.290          0.296          0.299          0.300          0.300        479.046         93.433          1.153          1.153                 0.388                 0.261                 0.980             36       1459.724       5945.671          0.767          3.882       1700.000         91.611          1.152          0.303          0.129          0.086          0.053          0.031          0.027          0.018          0.015          0.038        148.293          9.827              ?              ?              ?
           1958            101     11/04/1958        815.700              79.771            346.258         34.710          3.034          2.210          2.148          1.387          1.344          1.309          1.275          1.251          1.240          0.000          0.597          2.707          0.689          4.112        326.448         91.919       1308.530         360.440          0.236          0.245          0.251          0.259          0.268          0.276          0.288          0.296          0.299          0.300        470.560         82.560          1.446          1.446                 0.358                 0.231                 1.000             43       1826.427       6747.334          0.924          4.391       1700.000        107.094          1.853          0.386          0.157          0.096          0.053          0.030          0.029          0.016          0.017          0.069        166.344          8.259              ?              ?              ?
           1959            117     27/04/1959        797.300              34.045            310.509         37.302          3.046          2.229          2.151          1.379          1.336          1.309          1.273          1.253          1.242          0.000          0.715          2.852          0.541          5.124        409.587         97.834       1308.099         411.685          0.139          0.219          0.236          0.246          0.255          0.265          0.281          0.292          0.298          0.300        446.812         64.922          1.820          1.820                 0.362                 0.235                 0.984             56       1951.015       6447.079          0.673          4.089       1700.000        100.777          1.828          0.322          0.165          0.106          0.059          0.034          0.036          0.023          0.023          0.255        182.394         13.420              ?              ?              ?
           1960            106     15/04/1960        663.400              29.809            270.385         36.909          2.886          2.164          2.100          1.337          1.309          1.291          1.257          1.232          1.220          0.000          0.624          2.462          0.674          6.080        503.759        103.960       1308.186         325.262          0.292          0.298          0.290          0.275          0.282          0.288          0.295          0.299          0.300          0.300        495.523        107.523          4.251          4.251                 0.401                 0.283                 0.920             45       1920.999       5963.509          0.825          3.819       1700.000         91.351          1.314          0.603          0.194          0.092          0.052          0.033          0.034          0.021          0.020          0.099        196.256          5.517              ?              ?              ?
           1961             85     26/03/1961        989.300              52.265            423.374         37.102          3.157          2.236          2.183          1.335          1.280          1.251          1.216          1.200          1.189          0.000          0.434          2.372          0.920          3.767        312.461         95.003       1307.253         411.023          0.271          0.291          0.296          0.298          0.299          0.300          0.300          0.300          0.300          0.301        505.437        117.437          0.726          0.726                 0.383                 0.259                 1.000             29       1753.948       7195.792          1.065          5.110       1700.000        114.336          1.510          0.355          0.176          0.128          0.063          0.033          0.023          0.016          0.017          0.049        209.463          6.863              ?              ?              ?
