APSIM output file, version = 5.3
Title = p60N100
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            102     11/04/1952       1000.300              76.075            473.043         47.007          3.292          2.216          2.046          1.154          1.130          1.120          1.114          1.113          1.108          0.000          0.053          2.655          0.357          0.272         15.234         37.631       1322.661         395.912          0.122          0.207          0.220          0.226          0.234          0.245          0.271          0.288          0.297          0.299        427.170         46.983          0.103          0.103                 0.477                 0.385                 0.979             43       5111.502      11345.141          1.209          8.890       1700.000        158.730          0.942          0.409          0.181          0.065          0.017          0.001          0.001          0.004          0.090          0.944         45.818         56.402              ?              ?              ?
           1953            108     18/04/1953        918.900              48.359            333.199         36.099          2.991          2.159          1.981          1.077          1.006          1.017          1.059          1.125          1.117          0.000          0.195          1.945          0.652          2.984        222.836         67.356       1320.623         399.812          0.230          0.283          0.290          0.296          0.298          0.299          0.300          0.300          0.300          0.301        498.902        110.902          0.910          0.910                 0.363                 0.285                 0.998             49       4858.745      10770.517          1.930          8.274       1700.000        155.627          0.978          0.368          0.204          0.152          0.074          0.033          0.030          0.029          0.025          0.052         55.041          9.169              ?              ?              ?
           1954             97     07/04/1954        668.500              49.085            204.721         38.689          3.107          2.229          2.162          1.267          1.190          1.170          1.155          1.127          1.110          0.000          0.376          2.563          0.710          3.609        262.884         89.149       1319.810         330.294          0.179          0.244          0.255          0.262          0.269          0.277          0.289          0.296          0.299          0.300        466.422         80.494          0.854          0.854                 0.384                 0.310                 1.000             36       5085.829      12078.045          1.882          9.722       1700.000        165.530          1.600          0.341          0.150          0.103          0.066          0.041          0.049          0.041          0.034          0.137         62.790         11.218              ?              ?              ?
           1955             92     02/04/1955       1006.700              85.876            449.004         38.334          3.142          2.252          2.191          1.292          1.232          1.213          1.165          1.123          1.102          0.000          0.396          3.120          0.751          4.776        353.395        104.468       1320.359         373.433          0.198          0.263          0.273          0.281          0.286          0.291          0.297          0.299          0.300          0.300        484.179         96.339          0.683          0.683                 0.386                 0.306                 1.000             32       4750.989      11218.646          1.974          8.996       1700.000        159.058          1.704          0.308          0.145          0.100          0.064          0.043          0.050          0.050          0.073          0.582         70.751         42.175              ?              ?              ?
           1956             97     06/04/1956       1000.800             102.073            340.328         37.613          3.099          2.214          2.188          1.312          1.265          1.233          1.189          1.134          1.105          0.000          0.407          2.900          0.766          3.756        272.714        111.278       1321.411         411.941          0.209          0.266          0.275          0.282          0.287          0.291          0.297          0.299          0.300          0.300        486.437         98.437          0.400          0.400                 0.368                 0.318                 1.000             39       5399.127      12826.204          2.233         11.199       1700.000        177.528          1.992          0.285          0.147          0.124          0.078          0.051          0.053          0.045          0.037          0.088         79.170         19.381              ?              ?              ?
           1957             94     04/04/1957       1059.500              77.546            417.924         42.926          3.000          2.157          2.143          1.286          1.254          1.218          1.169          1.121          1.098          0.000          0.574          2.926          0.845          5.251        358.598        121.096       1323.045         444.989          0.164          0.238          0.251          0.259          0.266          0.275          0.288          0.296          0.299          0.300        461.886         77.455          0.864          0.864                 0.388                 0.342                 0.981             35       5353.369      11551.713          1.694         10.406       1700.000        142.618          1.728          0.357          0.169          0.130          0.089          0.061          0.065          0.064          0.065          0.199         86.955         29.972              ?              ?              ?
           1958            101     11/04/1958        815.700              80.977            313.207         44.490          3.217          2.258          2.217          1.326          1.293          1.254          1.202          1.150          1.120          0.000          0.327          4.006          0.733          4.056        276.737        125.192       1325.150         351.672          0.220          0.213          0.216          0.219          0.227          0.238          0.268          0.287          0.296          0.299        431.499         43.499          0.946          0.946                 0.358                 0.308                 0.985             43       5554.388      12844.104          1.416         11.222       1700.000        165.420          2.626          0.406          0.181          0.133          0.089          0.061          0.064          0.055          0.077          0.315         96.041         24.985              ?              ?              ?
           1959            117     27/04/1959        797.300              33.733            297.032         48.087          3.260          2.286          2.229          1.322          1.271          1.249          1.204          1.151          1.117          0.000          0.438          4.653          0.707          6.880        466.266        143.035       1328.175         406.700          0.100          0.200          0.209          0.213          0.218          0.228          0.259          0.281          0.293          0.299        409.079         31.071          1.556          1.556                 0.362                 0.323                 0.924             56       4079.602      10339.235          0.885          9.779       1700.000        147.531          2.582          0.345          0.178          0.131          0.087          0.061          0.082          0.084          0.155          0.947        104.586         35.428              ?              ?              ?
           1960            106     15/04/1960        663.400              30.643            241.835         46.487          2.988          2.178          2.087          1.226          1.230          1.228          1.195          1.148          1.109          0.000          0.339          4.697          1.072          6.712        376.286        156.906       1331.963         314.232          0.286          0.272          0.233          0.233          0.228          0.236          0.264          0.283          0.294          0.299        446.412         58.412          0.589          0.589                 0.401                 0.384                 0.929             46       5492.474      11263.295          1.155         10.823       1700.000        139.127          2.335          0.815          0.229          0.185          0.124          0.084          0.096          0.083          0.148          0.599        112.542         27.091              ?              ?              ?
           1961             86     27/03/1961        990.100              51.392            300.045         38.142          3.037          2.188          2.197          1.311          1.270          1.208          1.163          1.137          1.103          0.000          0.165          4.086          1.440          2.979        167.619        134.436       1336.000         398.330          0.268          0.286          0.290          0.293          0.293          0.295          0.299          0.300          0.300          0.300        500.272        112.272          0.052          0.052                 0.384                 0.354                 0.997             29       5780.393      14118.132          2.565         13.872       1700.000        178.897          2.503          0.447          0.224          0.174          0.090          0.053          0.045          0.045          0.094          0.411        120.643         36.219              ?              ?              ?
