Summary_file = p80N50c_h.sum
Title = p80N50
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.913            490.986             51.671              3.084              2.207              2.070              1.381              1.360              1.343              1.330              1.321              1.308          0.000          0.051          1.946          0.369          0.223         14.340         37.578       1322.630         396.743              0.137              0.222              0.239              0.249              0.259              0.268              0.283              0.294              0.299              0.300        450.164         68.455          0.105          0.105                 0.477                 0.334                 0.473             43       3306.570       8420.416          0.974          5.612       1700.000        134.276              0.996              0.444              0.185              0.066              0.019              0.001              0.001              0.002              0.022              0.211         63.519         24.305              ?              ?              ?
      1953       108     18/04/1953        918.900              48.480            376.600             47.283              3.048              2.259              2.127              1.359              1.278              1.277              1.297              1.324              1.309          0.000          0.220          1.663          0.555          2.966        246.063         58.272       1319.356         408.045              0.227              0.284              0.292              0.298              0.299              0.300              0.300              0.300              0.301              0.301        499.958        111.958          1.159          1.159                 0.363                 0.237                 0.882             49       2246.568       7057.529          1.171          4.622       1700.000        114.613              0.814              0.340              0.183              0.132              0.066              0.029              0.024              0.025              0.019              0.031         98.199          4.554              ?              ?              ?
      1954        97     07/04/1954        668.500              47.711            246.237             49.530              3.065              2.241              2.168              1.430              1.367              1.346              1.331              1.298              1.283          0.000          0.545          2.014          0.582          3.641        295.276         74.773       1317.063         333.451              0.190              0.256              0.267              0.276              0.282              0.288              0.295              0.299              0.300              0.300        479.185         92.137          1.148          1.148                 0.384                 0.258                 1.000             36       2667.055       8135.906          1.281          5.519       1700.000        127.112              1.291              0.297              0.124              0.082              0.051              0.030              0.035              0.023              0.016              0.065        128.150          4.493              ?              ?              ?
      1955        92     02/04/1955       1006.700              83.498            484.918             52.519              3.222              2.301              2.222              1.421              1.347              1.330              1.288              1.267              1.253          0.000          0.678          2.248          0.584          4.482        368.401         85.453       1315.564         384.095              0.203              0.267              0.278              0.287              0.292              0.295              0.299              0.300              0.300              0.300        489.241        101.241          0.908          0.908                 0.386                 0.259                 1.000             32       2398.203       7585.468          1.234          5.266       1700.000        118.438              1.394              0.280              0.129              0.087              0.054              0.034              0.037              0.031              0.025              0.177        157.558         19.375              ?              ?              ?
      1956        97     06/04/1956       1000.800              97.221            392.596             50.645              3.144              2.261              2.206              1.436              1.374              1.346              1.306              1.266              1.254          0.000          0.632          2.300          0.591          3.933        316.883         91.440       1314.373         418.837              0.211              0.271              0.281              0.288              0.293              0.296              0.299              0.300              0.300              0.300        491.332        103.332          0.541          0.541                 0.368                 0.266                 1.000             39       3282.036       8828.238          1.537          6.533       1700.000        137.055              1.588              0.258              0.127              0.102              0.062              0.038              0.038              0.026              0.019              0.042        187.434         10.394              ?              ?              ?
      1957        94     04/04/1957       1059.500              79.895            454.132             56.456              3.021              2.192              2.151              1.379              1.334              1.303              1.259              1.241              1.229          0.000          0.772          2.250          0.648          4.878        376.631         96.427       1313.430         449.936              0.174              0.250              0.263              0.273              0.280              0.286              0.294              0.298              0.300              0.300        474.922         89.534          1.141          1.141                 0.388                 0.288                 0.982             35       3198.019       8043.333          1.207          6.011       1700.000        117.172              1.406              0.322              0.140              0.102              0.067              0.043              0.044              0.037              0.024              0.066        213.784         15.195              ?              ?              ?
      1958       101     11/04/1958        815.700              83.267            330.015             53.031              3.131              2.257              2.203              1.428              1.382              1.344              1.303              1.257              1.242          0.000          0.444          3.120          0.735          3.635        283.290        100.126       1313.155         354.969              0.233              0.234              0.239              0.247              0.255              0.265              0.282              0.293              0.298              0.300        458.790         70.790          1.313          1.313                 0.358                 0.260                 1.000             43       3563.017       9193.488          1.325          6.666       1700.000        140.168              2.120              0.395              0.170              0.118              0.069              0.042              0.043              0.032              0.026              0.105        242.509         11.895              ?              ?              ?
      1959       116     26/04/1959        797.300              34.175            299.648             57.635              3.131              2.268              2.201              1.412              1.363              1.332              1.293              1.258              1.241          0.000          0.503          3.302          0.605          5.496        424.888        110.255       1313.813         409.101              0.128              0.209              0.223              0.230              0.238              0.250              0.272              0.289              0.297              0.300        431.078         50.285          1.874          1.874                 0.361                 0.260                 0.970             56       3462.719       8501.518          0.854          5.935       1700.000        128.012              2.033              0.322              0.169              0.118              0.078              0.050              0.054              0.045              0.043              0.392        267.743         18.823              ?              ?              ?
      1960       106     15/04/1960        663.400              31.385            254.742             56.273              2.946              2.196              2.129              1.366              1.339              1.319              1.283              1.235              1.221          0.000          0.459          3.167          0.808          5.581        442.970        119.393       1315.024         319.035              0.292              0.294              0.267              0.261              0.266              0.271              0.281              0.292              0.298              0.300        479.015         91.015          3.780          3.780                 0.400                 0.313                 0.601             46       3595.328       8166.482          1.237          5.797       1700.000        118.549              1.699              0.718              0.206              0.122              0.073              0.048              0.053              0.040              0.038              0.169        290.349          8.555              ?              ?              ?
      1961        86     27/03/1961        990.100              52.903            382.194             55.511              3.237              2.278              2.235              1.377              1.311              1.278              1.240              1.213              1.193          0.000          0.285          2.834          1.085          3.147        249.789        106.402       1315.458         404.146              0.269              0.288              0.294              0.297              0.297              0.298              0.300              0.300              0.300              0.300        503.600        115.600          0.609          0.609                 0.384                 0.290                 1.000             29       3532.752       9718.126          1.699          7.682       1700.000        147.996              1.845              0.367              0.182              0.137              0.072              0.041              0.033              0.027              0.034              0.096        311.722         13.553              ?              ?              ?
