Summary_file = co2.sum
Title = Rising CO2 levels
           Date          yield            co2
             ()        (kg/ha)             ()
     25/10/1940       4505.194        350.000
     31/10/1941       2142.013        357.000
     26/10/1942       2803.691        364.000
     05/11/1943       2410.133        371.000
     30/10/1944       3001.980        378.000
     02/11/1945       1940.880        385.000
     03/11/1946       3620.855        392.000
     05/11/1947       1530.070        399.000
     04/11/1948       1899.761        406.000
     02/11/1949       2481.796        413.000
     30/10/1950       1400.827        420.000
     04/11/1951       2762.028        427.000
     03/11/1952       1583.518        434.000
     04/11/1953       2005.083        441.000
     28/10/1954       1971.084        448.000
     31/10/1955       1593.236        455.000
     12/11/1956       1486.308        462.000
     31/10/1957       2621.018        469.000
     04/11/1958       1570.109        476.000
     03/11/1959       2099.262        483.000
     05/11/1960       1730.976        490.000
     02/11/1961       1982.401        497.000
     01/11/1962       1128.693        504.000
     03/11/1963       2182.024        511.000
     05/11/1964       1254.219        518.000
     29/10/1965       2387.519        525.000
     08/11/1966       1392.776        532.000
     31/10/1967       1683.817        539.000
     06/11/1968       1617.944        546.000
     03/11/1969       2034.067        553.000
     05/11/1970       1367.573        560.000
     04/11/1971       1159.364        567.000
     30/10/1972       1906.203        574.000
     22/10/1973       1017.924        581.000
     06/11/1974       2447.790        588.000
     30/10/1975        830.708        595.000
     06/11/1976        961.468        602.000
     01/11/1977       1767.720        609.000
     10/11/1978       1077.456        616.000
     30/10/1979       1537.568        623.000
     24/10/1980       1514.880        630.000
     02/11/1981       1017.798        637.000
     03/11/1982       1388.757        644.000
     30/10/1983        821.098        651.000
     07/11/1984       1591.487        658.000
     05/11/1985        742.324        665.000
     04/11/1986       1523.192        672.000
     01/11/1987        823.507        679.000
     27/10/1988       1102.016        686.000
     06/11/1989       1196.043        693.000
