Summary_file = std.sum
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)             ()
     25/10/1940       4524.019        350.000
     31/10/1941       2101.349        350.000
     26/10/1942       1484.652        350.000
     05/11/1943       2663.104        350.000
     30/10/1944       3035.363        350.000
     02/11/1945       2633.957        350.000
     03/11/1946       2682.207        350.000
     05/11/1947       2842.398        350.000
     04/11/1948       2354.200        350.000
     02/11/1949       2349.342        350.000
     30/10/1950       2259.059        350.000
     04/11/1951       2226.055        350.000
     03/11/1952       2287.060        350.000
     04/11/1953       1964.176        350.000
     28/10/1954       2292.292        350.000
     31/10/1955       1955.246        350.000
     12/11/1956       1758.139        350.000
     31/10/1957       2188.967        350.000
     04/11/1958       2247.230        350.000
     03/11/1959       1871.500        350.000
     05/11/1960       2102.992        350.000
     02/11/1961       1807.684        350.000
     01/11/1962       1409.559        350.000
     03/11/1963       1553.137        350.000
     05/11/1964       1543.843        350.000
     29/10/1965       1712.561        350.000
     08/11/1966       1770.388        350.000
     31/10/1967       1524.541        350.000
     06/11/1968       1648.500        350.000
     03/11/1969       1713.820        350.000
     05/11/1970       1282.850        350.000
     04/11/1971       1177.774        350.000
     30/10/1972       1245.406        350.000
     22/10/1973       1354.901        350.000
     06/11/1974       1428.801        350.000
     30/10/1975       1087.799        350.000
     06/11/1976       1122.049        350.000
     01/11/1977       1004.326        350.000
     10/11/1978       1183.088        350.000
     30/10/1979        934.802        350.000
     24/10/1980       1194.794        350.000
     02/11/1981       1085.248        350.000
     03/11/1982        955.611        350.000
     30/10/1983        763.034        350.000
     07/11/1984        722.203        350.000
     05/11/1985        865.063        350.000
     04/11/1986        940.021        350.000
     01/11/1987        869.594        350.000
     27/10/1988        624.949        350.000
     06/11/1989        825.678        350.000
