Summary_file = Birchip300.sum
Title = Birchip 300mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/11/1957       317      1957        139.900          139.900          0.001       4936.441       1042.268          0.211          0.529         61.777          3.351          3.493         24.108          0.018            269
     19/11/1958       323      1958        244.700          244.622          0.001      11256.341       3463.300          0.308          0.670        143.419          1.528          5.293         15.046         16.767            276
     10/11/1959       314      1959        162.000          162.000          0.001       5107.091       1771.513          0.347          0.691         73.067          2.724          4.826         24.297          0.918            267
     22/11/1960       327      1960        363.500          359.027          0.001      12014.594       3871.125          0.322          0.691        155.150          1.481          5.735         11.524        103.124            282
     06/11/1961       310      1961        152.800          152.800          0.001       6189.086       1383.232          0.223          0.681         74.800          3.366          4.657         22.543          0.062            269
     14/11/1962       318      1962        241.100          241.082          0.001      10454.093       3306.276          0.316          0.691        135.934          1.614          5.336         17.345          2.822            268
     13/11/1963       317      1963        230.300          229.668          0.001       8905.651       2565.833          0.288          0.724        122.378          2.146          5.506         16.879          2.765            274
     18/11/1964       323      1964        301.000          294.693          0.001      11616.425       3708.124          0.319          0.679        145.846          1.487          5.515         14.895         60.361            274
     15/11/1965       319      1965        203.500          203.500          0.001       9585.594       2353.181          0.245          0.677        126.294          2.224          5.234         15.560          2.050            277
     23/11/1966       327      1966        200.200          200.200          0.001       7574.098       1960.962          0.259          0.715         98.353          2.592          5.083         19.796          0.571            284
     14/11/1967       318      1967         99.000           99.000          0.001       3983.812        739.844          0.186          0.448         45.221          3.745          2.771         28.623          0.000            275
     26/11/1968       331      1968        239.800          239.005          0.001       9825.016       2472.337          0.252          0.681        123.533          2.130          5.265         16.439          1.547            287
     21/11/1969       325      1969        184.400          184.400          0.001       8461.207       1906.421          0.225          0.699        103.183          2.757          5.256         17.304          0.611            283
     25/11/1970       329      1970        210.200          210.200          0.001       6108.395       1398.771          0.229          0.654         72.555          3.211          4.492         21.669         32.282            281
     22/11/1971       326      1971        201.300          201.300          0.001       5559.191       1231.352          0.221          0.649         65.488          3.455          4.254         24.304         23.916            279
     15/11/1972       320      1972        153.800          153.800          0.001       5467.910       1149.046          0.210          0.647         72.848          3.576          4.109         22.753          0.128            273
     19/11/1973       323      1973        394.300          374.509          0.001      12364.718       3529.793          0.285          0.666        181.671          1.548          5.463         12.620         78.507            279
     24/11/1974       328      1974        272.200          271.826          0.001      12010.041       3775.420          0.314          0.676        149.692          1.448          5.466         15.563         36.771            280
     12/11/1975       316      1975        383.700          357.672          0.001       9987.349       3445.733          0.345          0.732        130.578          1.712          5.898         16.335        136.220            265
     19/11/1976       324      1976        157.800          157.800          0.001       4948.271       1131.885          0.229          0.559         59.541          3.207          3.630         24.750          0.002            276
     18/11/1977       322      1977        152.600          152.356          0.001       4997.896       1039.190          0.208          0.517         67.318          3.201          3.326         25.179          0.087            277
     20/11/1978       324      1978        350.200          303.625          0.001      10707.021       3677.673          0.343          0.699        147.140          1.475          5.425         13.931         40.672            278
     15/11/1979       319      1979        260.200          260.200          0.001      11041.545       3677.752          0.333          0.688        136.344          1.499          5.514         16.783         31.685            275
     13/11/1980       318      1980        211.000          211.000          0.001       6916.945       2214.600          0.320          0.744         95.019          2.286          5.061         21.758          8.879            272
     14/11/1981       318      1981        386.600          360.330          0.001      11082.391       3482.320          0.314          0.687        152.720          1.557          5.421         13.954         89.072            272
     13/11/1982       317      1982         42.200           42.200          0.001       1877.161        299.091          0.159          0.376         25.126          3.731          1.116         78.924          0.000            272
