Summary_file = Emerald1500early.sum
Title = Emerald 1500mm wet soil Early sowing
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     14/09/1957       257      1957        178.000          178.000          0.001       9626.804       2990.771          0.311          0.725        192.107          2.054          6.143         32.855         19.618            215
     04/09/1958       247      1958         66.700           66.679          0.001       6296.211       1610.012          0.256          0.639        136.405          2.741          4.413         41.188          9.323            209
     12/09/1959       255      1959         91.600           85.446          0.001       7194.659       1802.326          0.251          0.697        130.759          2.829          5.099         39.556         21.537            212
     19/09/1960       263      1960         48.400           48.400          0.001       5713.767       1358.063          0.238          0.668        109.081          2.829          3.842         48.806          7.246            221
     18/09/1961       261      1961         53.000           53.000          0.001       5600.816       1299.065          0.232          0.639        114.190          2.776          3.606         48.249          7.413            218
     11/09/1962       254      1962         69.100           68.802          0.001       6466.588       1565.432          0.242          0.704        124.174          2.976          4.658         41.296         15.312            211
     17/09/1963       260      1963         69.100           69.100          0.001       6084.846       2523.493          0.415          0.822        130.890          2.329          5.878         53.926         11.944            219
     10/09/1964       254      1964         65.400           65.400          0.001       6442.252       1620.345          0.252          0.639        131.687          2.728          4.420         39.265          7.411            211
     15/09/1965       258      1965         16.300           16.300          0.001       5030.350       1156.369          0.230          0.685        105.825          2.710          3.134         72.303          9.575            219
     17/09/1966       260      1966        178.600          177.314          0.001       7266.161       2780.607          0.383          0.776        137.077          2.139          5.947         31.551         67.339            218
     17/09/1967       260      1967        172.200          158.729          0.001       9557.485       2794.506          0.292          0.715        174.507          2.100          5.868         30.377         24.413            214
     19/09/1968       263      1968        219.000          130.708          0.001       7015.916       1771.563          0.253          0.720        125.971          2.735          4.844         35.559         30.241            222
     04/09/1969       247      1969         49.500           49.500          0.001       5883.168       1446.931          0.246          0.672        116.881          2.883          4.172         50.506          8.183            208
     13/09/1970       256      1970         18.500           18.500          0.001       4304.238       1102.793          0.256          0.673        102.647          2.160          2.382         85.962          9.102            215
     14/09/1971       257      1971        133.000          132.721          0.001       6166.731       2329.924          0.378          0.821        125.132          2.955          6.886         36.185         44.409            219
     11/09/1972       255      1972         32.900           32.900          0.001       4892.113       1147.405          0.235          0.705        109.790          3.054          3.505         62.786          8.592            214
     30/08/1973       242      1973        179.900          178.709          0.001       8839.078       3480.698          0.394          0.794        182.038          2.077          7.229         32.460         24.900            203
     17/09/1974       260      1974         85.300           85.294          0.001       5491.624       1457.470          0.265          0.649        121.688          2.521          3.675         48.160         11.875            218
     07/09/1975       250      1975        114.500          114.500          0.001       6014.477       1766.679          0.294          0.693        131.604          2.726          4.816         43.330         25.073            210
     13/09/1976       257      1976         73.500           73.426          0.001       5454.489       1299.000          0.238          0.640        115.063          2.844          3.694         49.562         17.203            213
     11/09/1977       254      1977        206.100           73.293          0.001       5463.155       1339.143          0.245          0.654        114.155          2.660          3.562         42.209         21.648            214
     13/09/1978       256      1978        256.600          252.306          0.001      10064.962       3082.482          0.306          0.727        189.990          2.083          6.421         30.892         74.428            214
     07/09/1979       250      1979         33.200           33.200          0.001       5081.547       1339.879          0.264          0.710        113.003          2.950          3.953         59.720          7.986            209
     06/09/1980       250      1980        179.200          139.774          0.001       7491.767       2740.267          0.366          0.763        159.015          2.048          5.611         36.869         27.330            210
     12/09/1981       255      1981        178.700          125.434          0.001       7226.520       1851.663          0.256          0.702        145.163          2.721          5.038         36.593         22.335            213
     15/09/1982       258      1982         44.600           44.552          0.001       4935.358       1155.692          0.234          0.684        109.229          2.916          3.370         61.200         15.580            219
     09/09/1983       252      1983        322.300          125.275          0.001       7205.146       1967.607          0.273          0.721        129.568          2.364          4.652         35.579         24.063            212
     09/09/1984       253      1984        187.600          183.007          0.001       7030.330       2855.782          0.406          0.762        146.604          2.341          6.687         37.918         84.407            211
     11/09/1985       254      1985        173.200          130.506          0.001       7739.660       1931.920          0.250          0.719        148.797          2.755          5.323         36.105         22.530            214
     08/09/1986       251      1986        173.100          132.193          0.001       7630.082       2116.528          0.277          0.721        145.952          2.537          5.370         35.883         22.744            208
     07/09/1987       250      1987         92.500           92.500          0.001       6924.003       1900.135          0.274          0.740        129.271          2.926          5.559         37.208          9.571            209
     04/09/1988       248      1988        243.300          225.412          0.001       8597.524       2551.282          0.297          0.736        170.537          2.342          5.975         37.270         83.947            207
     14/09/1989       257      1989        234.900          125.604          0.001       7874.479       2104.715          0.267          0.724        134.398          2.468          5.193         35.654         23.259            214
     13/09/1990       256      1990        138.200           84.562          0.001       6743.994       1685.594          0.250          0.726        127.210          2.907          4.900         39.876         21.283            212
     05/09/1991       248      1991         79.700           79.429          0.001       5713.123       1377.538          0.241          0.650        130.540          3.021          4.161         45.444         13.790            208
     05/09/1992       249      1992         80.000           79.341          0.001       5367.521       1365.299          0.254          0.675        111.578          2.761          3.770         59.875         21.458            209
     01/09/1993       244      1993        100.900          100.900          0.001       5064.816       1701.823          0.336          0.758        107.896          2.478          4.217         66.425         58.914            204
     11/09/1994       254      1994         21.800           21.698          0.001       4754.252       1160.153          0.244          0.699        108.481          2.758          3.200         68.263         17.599            213
     06/09/1995       249      1995         67.500           67.500          0.001       5199.678       1539.878          0.296          0.719        110.424          2.784          4.286         60.057          8.164            208
     06/09/1996       250      1996         85.800           69.177          0.001       5402.300       1588.524          0.294          0.669        115.974          2.637          4.188         46.339         21.830            208
     08/09/1997       251      1997         66.300           66.300          0.001       5323.982       1298.448          0.244          0.692        109.927          2.839          3.687         59.593          7.606            211
     03/09/1998       246      1998        222.400          205.866          0.001       7240.229       2330.608          0.322          0.771        146.354          2.539          5.918         37.916        102.899            207
     04/09/1999       247      1999         29.800           29.800          0.001       4732.277       1318.785          0.279          0.677        100.556          1.927          2.541         85.956         10.902            207
     08/09/2000       252      2000        127.600          127.001          0.001       7158.270       2284.479          0.319          0.769        145.458          2.514          5.744         37.750         18.787            213
     06/09/2001       249      2001         29.500           29.500          0.001       4725.109       1319.332          0.279          0.697        106.619          2.596          3.425         71.698          8.205            207
     06/09/2002       249      2002         80.500           80.500          0.001       6218.000       1538.923          0.247          0.709        129.608          3.003          4.621         39.558          7.729            209
