ApsimVersion = 6.0
Title = Emerald 600mm wet soil Late sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     01/10/1957            274           1957        182.800          179.125          0.000         6983.9         2221.1          0.318          0.725        153.943          2.047           4.55           33.4          4.349            237         11.687          0.837
     25/09/1958            268           1958         66.100           64.879          0.000         3464.7          871.3          0.251          0.641         92.386          2.890           2.52           55.0          1.635            229         16.502          0.837
     30/09/1959            273           1959         37.200           37.200          0.000         3097.7          732.4          0.236          0.571         64.404          2.875           2.11           59.5          0.300            237         16.416          0.837
     06/10/1960            280           1960         40.000           40.000          0.000         2938.0          549.4          0.187          0.468         56.835          2.872           1.58           56.3          0.206            244         16.399          0.837
     06/10/1961            279           1961         33.400           33.400          0.000         2888.6          561.1          0.194          0.503         61.614          2.869           1.61           60.2          0.234            243         16.382          0.837
     27/09/1962            270           1962         43.100           43.100          0.000         2712.4          621.5          0.229          0.647         54.366          2.433           1.51           75.4          0.370            234         13.894          0.837
     05/10/1963            278           1963         69.100           69.100          0.000         3936.4         1253.2          0.318          0.764         90.076          2.479           3.11           58.4          0.815            240         14.153          0.837
     29/09/1964            273           1964         97.900           97.692          0.000         3717.3          724.1          0.195          0.479         87.529          2.874           2.08           44.1          3.370            238         16.409          0.837
     02/10/1965            275           1965         10.200           10.200          0.000         2408.9          562.9          0.234          0.655         53.439          2.569           1.45           80.8          0.360            240         14.669          0.837
     03/10/1966            276           1966        182.000          180.876          0.000         7744.0         2599.3          0.336          0.695        152.077          1.584           4.12           38.1          4.120            240          9.044          0.837
     05/10/1967            278           1967        150.600          140.968          0.000         6072.5         1695.3          0.279          0.715        121.894          2.324           3.94           36.2         10.485            240         13.267          0.837
     07/10/1968            281           1968         75.100           75.100          0.000         3377.5          738.7          0.219          0.508         66.672          2.881           2.13           45.0          0.274            243         16.451          0.837
     28/09/1969            271           1969          6.100            6.100          0.000         2368.3          563.1          0.238          0.674         53.913          2.524           1.42           84.8          0.303            233         14.410          0.837
