ApsimVersion = 5.4
Title = Gunnedah 1500mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     03/11/1957            307           1957         85.200           85.200          0.000        10888.8         3113.1          0.286          0.685        190.884          2.890           9.00           36.9         27.170            267         16.503          0.962
     03/11/1958            307           1958        283.500          266.629          0.000        16158.4         5779.1          0.358          0.760        266.683          1.968          11.37           30.6         98.071            260         11.238          0.962
     03/11/1959            307           1959        178.900          178.900          0.000        12574.6         4851.5          0.386          0.794        215.665          2.251          10.92           34.5         57.054            259         12.853          0.962
     06/11/1960            311           1960        211.300          211.300          0.000        13524.2         4675.8          0.346          0.781        228.706          2.416          11.30           31.5         66.469            268         13.794          0.962
     29/10/1961            302           1961        187.800          187.800          0.000        12671.8         4007.6          0.316          0.786        215.047          2.839          11.38           31.8         54.806            264         16.210          0.962
     04/11/1962            308           1962        265.300          265.048          0.000        12737.1         5319.9          0.418          0.811        237.126          2.226          11.84           38.3        103.537            262         12.709          0.962
     04/11/1963            308           1963        215.300          215.057          0.000        12726.5         4769.0          0.375          0.794        220.368          2.288          10.91           37.3         64.639            266         13.066          0.962
     08/11/1964            313           1964        276.400          271.570          0.000        15239.7         5478.6          0.359          0.756        264.247          2.019          11.06           31.3         79.346            265         11.527          0.962
     21/10/1965            294           1965        140.800          140.800          0.000         7424.0         2801.2          0.377          0.805        141.061          2.826           7.92          109.5         97.132            256         16.138          0.962
     01/11/1966            305           1966        269.000          265.808          0.000        14539.6         5584.7          0.384          0.776        218.149          2.044          11.42           35.1        127.275            261         11.673          0.962
     23/10/1967            296           1967        198.500          198.094          0.000        12072.1         4097.2          0.339          0.796        189.094          2.665          10.92           37.7         88.389            258         15.215          0.962
     05/11/1968            310           1968        217.600          217.600          0.000        17038.0         6152.3          0.361          0.749        251.574          1.857          11.42           27.5         60.448            268         10.602          0.962
     29/10/1969            302           1969        367.300          358.519          0.000        16156.7         5545.6          0.343          0.739        242.144          1.941          10.76           28.3        193.595            255         11.083          0.962
     29/10/1970            302           1970        206.200          205.970          0.000        10890.6         4273.9          0.392          0.778        186.384          2.876          12.29           40.6        102.717            260         16.423          0.962
     26/10/1971            299           1971        178.800          178.305          0.000        12975.7         4859.2          0.374          0.795        212.666          2.443          11.87           37.8         83.505            258         13.950          0.962
     17/10/1972            291           1972         80.700           80.700          0.000         7036.3         1711.1          0.243          0.563        136.818          1.348           2.31          166.2         66.993            251          7.699          0.962
     17/10/1973            290           1973        266.000          265.308          0.000        11778.3         4169.6          0.354          0.767        182.639          2.878          12.00           41.5        159.231            246         16.431          0.962
     31/10/1974            304           1974        163.200          162.695          0.000        13488.4         5271.0          0.391          0.794        199.829          2.132          11.24           33.4         60.648            259         12.175          0.962
     21/10/1975            294           1975        207.200          204.415          0.000        14296.8         5382.7          0.377          0.782        215.959          2.099          11.30           31.4         97.443            252         11.985          0.962
     30/10/1976            304           1976        246.800          246.800          0.000        16666.4         5919.6          0.355          0.752        241.170          1.941          11.49           26.6        102.486            256         11.082          0.962
     26/10/1977            299           1977        199.400          192.670          0.000        12954.3         4261.8          0.329          0.760        212.266          2.350          10.02           35.3         70.002            260         13.420          0.962
     31/10/1978            304           1978        306.600          298.343          0.000        15459.4         5560.3          0.360          0.761        221.661          1.952          10.85           30.4        142.376            261         11.146          0.962
     23/10/1979            296           1979        185.600          185.500          0.000        13235.8         5455.6          0.412          0.812        208.193          2.219          12.11           37.7         75.180            254         12.671          0.962
     18/10/1980            292           1980        128.600          128.226          0.000        11487.1         3778.2          0.329          0.795        195.950          2.841          10.73           37.9         38.926            253         16.222          0.962
     26/10/1981            299           1981        291.200          272.352          0.000        13481.3         5376.2          0.399          0.796        210.778          2.103          11.31           32.4        130.091            258         12.009          0.962
     23/10/1982            296           1982         75.400           75.400          0.000         9816.2         3298.8          0.336          0.776        176.806          2.494           8.23           75.1         30.721            251         14.241          0.962
     25/10/1983            298           1983        302.400          297.590          0.000        16183.0         5667.1          0.350          0.752        249.600          1.984          11.24           28.3        131.917            256         11.327          0.962
     25/10/1984            299           1984        180.000          176.521          0.000        12530.2         4347.2          0.347          0.780        197.378          2.603          11.32           42.4         96.278            252         14.863          0.962
     26/10/1985            299           1985        254.200          253.550          0.000        10194.7         3910.2          0.384          0.770        170.639          2.875          11.24           51.2        155.140            257         16.418          0.962
     29/10/1986            302           1986        322.000          296.465          0.000        16312.9         5920.4          0.363          0.760        245.185          1.936          11.46           27.6        153.498            256         11.052          0.962
     24/10/1987            297           1987        211.600          211.600          0.000        10867.8         4023.6          0.370          0.786        183.610          2.597          10.45           60.0        118.784            255         14.828          0.962
