Summary_file = Naracoorte.sum
Title = Naracoorte
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     26/11/1958       330      1958        512.000          394.803          0.001      14937.626       6441.951          0.431          0.821        168.033          2.034         13.104         24.037        160.480            279
     16/11/1960       321      1960        536.100          375.348          0.001      14326.744       5699.967          0.398          0.816        164.375          2.173         12.388         24.005        141.173            266
     30/11/1961       334      1961        231.100          223.817          0.001       7210.123       2031.665          0.282          0.478         92.085          2.586          5.254        136.585         66.931            290
     22/11/1962       326      1962        512.300          419.941          0.001      13644.338       5526.327          0.405          0.747        183.439          2.331         12.879         33.085        154.514            273
     14/11/1963       318      1963        441.900          334.801          0.001      11540.971       4814.402          0.417          0.837        172.343          2.458         11.833         40.128        105.279            272
     01/11/1964       306      1964        640.600          408.956          0.001      13280.955       5029.909          0.379          0.814        152.320          2.330         11.720         19.696        191.472            247
     21/11/1965       325      1965        382.800          361.872          0.001      13171.198       5490.865          0.417          0.748        183.625          2.421         13.292         46.164        113.615            277
     21/11/1966       325      1966        421.800          416.753          0.001      14078.907       5654.733          0.402          0.677        198.615          2.295         12.979         47.627        130.048            273
     04/11/1968       309      1968        594.700          430.244          0.001      10670.922       4262.760          0.399          0.682        130.478          2.313          9.860         32.363        199.755            253
     12/11/1970       316      1970        481.700          378.077          0.001      13510.381       5368.428          0.397          0.774        180.130          2.307         12.386         31.355        131.517            260
     08/11/1971       312      1971        503.000          382.201          0.001      12618.989       5057.150          0.401          0.682        153.676          2.358         11.925         32.240        197.283            257
     01/11/1972       306      1972        345.800          330.296          0.001      11467.469       4270.072          0.372          0.606        160.566          2.331          9.954         74.036        121.423            250
     26/10/1973       299      1973        452.100          391.882          0.001      11707.832       4545.501          0.388          0.620        153.651          2.343         10.648         50.231        168.274            245
     07/11/1974       311      1974        513.100          405.008          0.001      13074.345       5022.189          0.384          0.661        157.246          2.308         11.589         29.929        195.272            252
     20/11/1975       324      1975        447.000          404.040          0.001      14360.265       6130.199          0.427          0.698        191.319          2.308         14.146         34.459        184.299            278
     05/12/1978       339      1978        317.900          312.610          0.001       9360.849       3120.989          0.333          0.582        125.110          2.512          7.841        112.741        110.717            295
     25/10/1979       298      1979        419.400          375.273          0.001       8950.358       3710.318          0.415          0.616        104.887          2.274          8.437         95.966        195.551            242
     16/10/1980       290      1980        393.300          393.257          0.001      10128.211       4078.119          0.403          0.612        126.782          2.299          9.377         93.259        183.400            234
     09/11/1982       313      1982        253.000          251.884          0.001       8047.412       2471.594          0.307          0.557        103.562          2.563          6.334        133.005         70.512            260
     24/11/1983       328      1983        409.700          322.149          0.001      14397.215       5987.049          0.416          0.815        193.877          2.326         13.928         37.893        120.549            275
     04/11/1984       309      1984        418.200          355.155          0.001      12574.411       4715.922          0.375          0.631        159.245          2.327         10.976         48.309        164.101            253
     21/10/1985       294      1985        323.800          323.800          0.001      10439.472       4013.989          0.385          0.617        133.717          2.309          9.270        105.308        125.568            237
     23/10/1986       296      1986        411.000          409.810          0.001       9947.491       3913.163          0.393          0.617        117.965          2.319          9.073         96.636        200.656            238
     27/11/1987       331      1987        295.500          286.582          0.001      11566.591       3694.396          0.319          0.561        149.750          2.514          9.288         60.187         94.050            284
     15/11/1988       320      1988        416.800          343.294          0.001      14171.720       5968.848          0.421          0.808        194.350          2.360         14.086         39.267        115.149            273
     08/12/1989       342      1989        424.100          381.139          0.001      14652.739       4942.210          0.337          0.775        201.321          2.629         12.994         36.697        114.416            298
     22/10/1991       295      1991        468.400          340.200          0.001       8337.288       3437.376          0.412          0.621         92.706          2.343          8.054         61.147        174.399            245
     20/11/1992       325      1992        452.600          397.471          0.001      15798.241       6764.488          0.428          0.841        198.124          2.360         15.963         29.426        164.098            277
     28/11/1993       332      1993        318.600          314.499          0.001       9824.092       3968.010          0.404          0.694        130.942          2.360          9.363        111.334         78.121            283
     04/11/1995       308      1995        377.000          301.943          0.001      10828.638       4765.450          0.440          0.744        137.974          2.329         11.101         59.314         97.264            256
     28/11/1996       333      1996        402.400          363.199          0.001      14786.412       6383.839          0.432          0.833        194.279          2.247         14.344         34.486        101.848            285
     09/11/1997       313      1997        370.200          356.829          0.001      11284.217       4566.394          0.405          0.715        143.043          2.449         11.184         81.658        135.526            263
     26/10/1998       299      1998        379.000          374.588          0.001      11030.850       4451.522          0.404          0.616        140.657          2.373         10.562         73.255        164.788            245
     18/11/2000       323      2000        417.600          390.363          0.001      14007.604       5946.224          0.424          0.766        185.360          2.392         14.223         37.314        143.696            277
     21/11/2001       325      2001        371.800          368.620          0.001      13725.025       5360.186          0.391          0.732        175.653          2.411         12.925         77.153        104.417            271
