Summary_file = RoseworthyMidTopDress.sum
Title = Roseworthy Mid Sowing TopDress
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957       316      1957        170.100          168.010          0.001       6083.552       1583.165          0.260          0.506         71.151          2.844          4.502         97.524          7.744            270
     25/11/1958       329      1958        285.800          283.393          0.001      14989.040       5877.568          0.392          0.782        177.310          1.889         11.103         34.223         22.444            284
     11/11/1959       315      1959        124.800          124.800          0.001       4728.655       1386.788          0.293          0.426         59.912          2.558          3.547        101.167          0.614            269
     25/11/1960       330      1960        278.600          278.532          0.001      13406.253       4189.357          0.312          0.775        158.576          2.613         10.945         34.939         16.553            286
     11/11/1961       315      1961        164.500          164.500          0.001       6537.015       1470.889          0.225          0.517         81.086          3.516          5.171         76.908          0.315            272
     14/11/1962       318      1962        226.000          226.000          0.001       7587.993       3128.098          0.412          0.591         96.786          2.528          7.908         56.348         28.201            269
     11/11/1963       315      1963        286.600          285.309          0.001      10988.213       4158.027          0.378          0.801        162.035          2.614         10.868         46.849         28.208            272
     17/11/1964       322      1964        269.900          269.900          0.001      12100.869       5084.658          0.420          0.810        147.886          2.021         10.278         56.717         15.941            275
     12/11/1965       316      1965        192.800          192.185          0.001       8380.353       2109.429          0.252          0.583        111.541          3.246          6.848         54.844          5.265            275
     23/11/1966       327      1966        239.900          238.522          0.001       9641.298       2812.995          0.292          0.676        120.261          2.793          7.855         60.070          1.517            284
     10/11/1967       314      1967        148.800          148.800          0.001       7269.306       1684.706          0.232          0.526         84.310          3.247          5.470         71.324          0.388            273
     20/11/1968       325      1968        377.500          373.898          0.001      14516.301       5900.634          0.406          0.804        200.206          2.022         11.933         31.520         55.967            283
     14/11/1969       318      1969        223.300          220.611          0.001      10410.612       2941.860          0.283          0.654        136.017          2.792          8.213         48.543          4.605            276
     19/11/1970       323      1970        243.300          243.293          0.001      10693.801       3529.054          0.330          0.731        127.921          2.581          9.107         52.365         18.192            277
     19/11/1971       323      1971        311.900          311.260          0.001      13463.406       4918.999          0.365          0.790        171.310          2.206         10.852         37.111         30.190            278
