Summary_file = Warra1500HighN.sum
Title = Warra 1500mm wet soil High N
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     13/10/1957       286      1957        122.700          116.816          0.000      11746.326       3418.353          0.291          0.659        201.410          2.500          8.547         21.564         70.009
     07/10/1958       280      1958        253.000          168.239          0.001      11390.059       4981.941          0.437          0.817        189.975          1.979          9.857         33.100         89.758
     11/10/1959       284      1959        142.500          118.143          0.000      10334.451       3045.125          0.295          0.648        178.955          2.478          7.545         29.705         77.620
     16/10/1960       290      1960        106.000          106.000          0.000      11210.180       2948.452          0.263          0.614        196.302          2.650          7.812         21.650         66.538
     13/10/1961       286      1961        187.000          186.560          0.001      12848.789       3618.113          0.282          0.689        224.217          2.549          9.224         20.757        104.555
     11/10/1962       284      1962        146.900          146.665          0.001      12162.933       3860.248          0.317          0.653        214.883          2.195          8.474         23.088         69.398
     12/10/1963       285      1963        137.700          136.422          0.001      11371.384       3322.965          0.292          0.636        208.024          2.451          8.143         24.194         67.650
     11/10/1964       285      1964        345.100          292.801          0.001      12517.482       4215.193          0.337          0.766        219.631          2.298          9.688         23.132        186.159
     13/10/1965       286      1965        180.000          178.669          0.001      14010.260       4572.630          0.326          0.744        234.452          2.223         10.164         20.745         75.156
     17/10/1966       290      1966        197.900          189.740          0.001      14044.165       4288.329          0.305          0.735        236.944          2.268          9.725         20.688         81.862
     12/10/1967       285      1967        246.400          160.831          0.000      12239.910       3726.745          0.304          0.749        208.276          2.405          8.962         22.022         75.719
     19/10/1968       293      1968        146.800          144.245          0.001      13996.838       4329.595          0.309          0.719        225.436          2.187          9.469         19.147         73.086
     11/10/1969       284      1969        146.300          133.568          0.000      10941.545       3975.564          0.363          0.743        189.733          2.253          8.956         28.292         67.890
     13/10/1970       286      1970         91.600           91.600          0.000       9025.971       2559.349          0.284          0.649        170.264          2.775          7.103         33.392         74.559
     12/10/1971       285      1971        231.200          213.523          0.001      15109.991       5372.459          0.356          0.739        245.993          1.850          9.941         20.134        107.084
     10/10/1972       284      1972         67.400           67.400          0.000       9076.370       2186.489          0.241          0.541        166.580          2.690          5.882         31.846         66.221
     02/10/1973       275      1973        352.500          257.271          0.001      10808.242       4449.098          0.412          0.742        165.586          2.163          9.624         21.700        225.825
     18/10/1974       291      1974        260.000          209.037          0.001      12986.256       4367.001          0.336          0.747        212.453          2.132          9.309         25.311        106.996
     11/10/1975       284      1975        224.000          203.802          0.000      14310.449       5279.039          0.369          0.767        227.449          1.977         10.436         20.203        123.032
     14/10/1976       288      1976        163.400          163.400          0.001      11827.230       3968.683          0.336          0.771        202.453          2.472          9.812         25.180         90.799
     13/10/1977       286      1977        141.400           63.071          0.000       9107.729       2137.149          0.235          0.578        166.791          2.777          5.935         29.403         64.278
     18/10/1978       291      1978        352.000          296.092          0.001      14446.211       5965.158          0.413          0.767        209.149          1.677         10.001         17.498        189.027
     10/10/1979       283      1979        138.000          132.473          0.000      10993.156       3054.069          0.278          0.593        190.572          2.415          7.376         23.073         84.634
     04/10/1980       278      1980         99.000           81.568          0.000      10181.670       2648.956          0.260          0.540        180.028          2.574          6.818         25.503         67.144
     11/10/1981       284      1981        240.000          185.081          0.001      13571.402       3967.759          0.292          0.733        220.702          2.330          9.243         20.417         74.877
     15/10/1982       288      1982        174.800          161.434          0.001      10991.878       3396.273          0.309          0.676        197.664          2.409          8.182         24.683         99.405
     07/10/1983       280      1983        267.900          165.640          0.001      12163.129       4140.056          0.340          0.741        190.711          2.167          8.972         22.972         94.873
     14/10/1984       288      1984        351.000          212.878          0.000      13505.533       5520.030          0.409          0.777        203.326          1.758          9.703         17.985        139.023
     14/10/1985       287      1985        312.600          252.789          0.001      13586.682       4498.445          0.331          0.757        228.184          2.178          9.796         20.977        146.623
     08/10/1986       281      1986        115.000          115.000          0.001      11705.902       3590.129          0.307          0.651        192.821          2.332          8.373         23.501         70.454
     08/10/1987       281      1987        105.400           81.774          0.000      10711.625       3104.380          0.290          0.622        179.214          2.487          7.721         25.406         67.491
     03/10/1988       277      1988        226.200          191.755          0.001      13572.715       5042.782          0.372          0.765        213.086          1.988         10.025         21.202        107.004
     13/10/1989       286      1989        135.600          133.107          0.000      11608.713       3611.811          0.311          0.687        191.650          2.388          8.626         25.714         69.970
     12/10/1990       285      1990        179.200          138.122          0.000      11808.604       3386.150          0.287          0.676        186.754          2.501          8.468         24.002         69.212
     03/10/1991       276      1991         29.500           29.500          0.000       8725.191       2471.115          0.283          0.564        162.063          2.536          6.267         45.061         65.937
     12/10/1992       286      1992        121.300          107.431          0.000      10310.918       3214.422          0.312          0.675        194.135          2.417          7.770         26.218         66.060
     02/10/1993       275      1993        105.100          105.100          0.001       9926.185       3562.289          0.359          0.751        178.474          2.461          8.765         37.903         73.984
     15/10/1994       288      1994         60.600           60.600          0.000       8610.611       1990.728          0.231          0.475        165.484          2.612          5.199         30.769         63.613
     07/10/1995       280      1995        122.100          109.697          0.000       9629.708       2835.783          0.294          0.588        176.429          2.427          6.883         29.178         71.978
     07/10/1996       281      1996        172.600          163.797          0.001      10735.902       3779.695          0.352          0.725        187.096          2.391          9.036         25.695        127.138
     06/10/1997       279      1997        112.800          102.684          0.001       9457.731       2913.894          0.308          0.800        170.292          3.213          9.361         28.254        101.621
     04/10/1998       277      1998        210.100          198.937          0.000      12135.527       5064.729          0.417          0.809        174.457          2.142         10.846         23.053        170.516
     05/10/1999       278      1999        113.300          113.300          0.001      10945.472       3826.471          0.350          0.743        189.331          2.323          8.888         32.509         73.368
