Summary_file = Warra600LowN.sum
Title = Warra 600mm wet soil Low N
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     13/10/1957       286      1957        122.700          117.751          0.000       6562.118       1700.224          0.259          0.558        121.074          1.246          2.119         22.249         14.372
     07/10/1958       280      1958        253.000          213.048          0.000       7369.664       2078.335          0.282          0.610        125.447          1.244          2.586         23.861         67.969
     11/10/1959       284      1959        142.500          140.813          0.000       6437.364       1717.608          0.267          0.568        120.581          1.203          2.066         24.146         25.788
     16/10/1960       290      1960        106.000          106.000          0.000       6005.348       1460.877          0.243          0.538        115.877          1.347          1.968         22.150          9.956
     13/10/1961       286      1961        187.000          185.987          0.000       6728.088       1788.703          0.266          0.548        126.867          1.152          2.060         24.022         58.384
     11/10/1962       284      1962        146.900          146.500          0.000       6421.988       1694.156          0.264          0.572        123.691          1.267          2.147         24.116         12.708
     12/10/1963       285      1963        137.700          137.552          0.000       5966.711       1603.565          0.269          0.590        111.696          1.359          2.180         25.054         26.509
     11/10/1964       285      1964        345.100          316.181          0.000       6896.416       1753.493          0.254          0.573        130.322          1.273          2.232         25.740        153.699
     13/10/1965       286      1965        180.000          177.911          0.000       7004.621       1806.284          0.258          0.586        123.909          1.282          2.316         25.457         35.974
     17/10/1966       290      1966        197.900          189.195          0.000       6590.450       1718.422          0.261          0.569        112.899          1.266          2.176         25.158         55.095
     12/10/1967       285      1967        246.400          223.555          0.000       7694.966       2009.596          0.261          0.559        130.325          1.085          2.179         25.619         78.842
     19/10/1968       293      1968        146.800          146.598          0.000       6522.479       1640.127          0.251          0.569        106.426          1.312          2.152         24.010         43.589
     11/10/1969       284      1969        146.300          143.078          0.000       5769.354       1619.805          0.281          0.603        107.707          1.350          2.187         25.892         24.769
     13/10/1970       286      1970         91.600           91.600          0.000       4448.402       1141.571          0.257          0.626         91.310          1.812          2.069         25.056         18.836
     12/10/1971       285      1971        231.200          224.487          0.000       6494.157       1739.292          0.268          0.593        111.480          1.382          2.403         27.794        104.670
     10/10/1972       284      1972         67.400           67.400          0.000       4601.848       1110.124          0.241          0.630         90.878          1.971          2.188         22.470         10.185
     02/10/1973       275      1973        352.500          331.954          0.000       6775.083       2157.449          0.318          0.661        106.000          1.442          3.110         20.057        223.811
     18/10/1974       291      1974        260.000          238.284          0.000       6728.211       1745.071          0.259          0.587        115.525          1.326          2.314         25.669         76.720
     11/10/1975       284      1975        224.000          212.597          0.000       6675.044       1708.355          0.256          0.587        108.499          1.359          2.322         27.991        103.658
     14/10/1976       288      1976        163.400          163.400          0.000       5934.211       1576.925          0.266          0.577        107.764          1.328          2.094         25.228         45.495
     13/10/1977       286      1977        141.400           98.851          0.000       5640.573       1421.385          0.252          0.561        117.271          1.452          2.063         21.611         17.062
     18/10/1978       291      1978        352.000          339.287          0.000       6834.840       1827.052          0.267          0.605         98.949          1.387          2.534         24.816        192.577
     10/10/1979       283      1979        138.000          135.214          0.000       5918.194       1583.606          0.268          0.590        111.424          1.366          2.164         22.453         26.716
     04/10/1980       278      1980         99.000           90.736          0.000       5861.692       1484.986          0.253          0.592        111.974          1.501          2.229         24.407         12.456
     11/10/1981       284      1981        240.000          219.514          0.000       7412.906       1913.538          0.258          0.557        120.330          1.161          2.221         24.726         66.745
     15/10/1982       288      1982        174.800          170.094          0.000       5460.264       1495.499          0.274          0.612        111.292          1.513          2.263         24.442         53.530
     07/10/1983       280      1983        267.900          223.336          0.000       6746.077       1778.289          0.264          0.587        102.297          1.297          2.307         26.657        104.995
     14/10/1984       288      1984        351.000          313.377          0.000       7890.073       2190.451          0.278          0.589        122.161          1.201          2.630         23.708        177.406
     14/10/1985       287      1985        312.600          275.200          0.000       7150.935       1885.586          0.264          0.582        125.912          1.285          2.422         24.160        128.001
     08/10/1986       281      1986        115.000          115.000          0.000       6554.340       1701.045          0.260          0.545        113.594          1.192          2.028         23.139         10.512
     08/10/1987       281      1987        105.400          100.686          0.000       6599.379       1748.723          0.265          0.566        118.553          1.270          2.220         22.539         13.907
     03/10/1988       277      1988        226.200          205.719          0.000       6624.722       1755.378          0.265          0.598        113.734          1.382          2.426         26.183         72.291
     13/10/1989       286      1989        135.600          134.532          0.000       6982.961       1789.272          0.256          0.548        117.702          1.133          2.027         24.801         12.250
     12/10/1990       285      1990        179.200          159.641          0.000       7135.718       1911.305          0.268          0.529        121.221          1.044          1.995         23.246         17.653
     03/10/1991       276      1991         29.500           29.500          0.001       4661.902       1088.290          0.233          0.622         92.828          2.002          2.179         26.410          6.586
     12/10/1992       286      1992        121.300          119.236          0.000       5554.675       1554.972          0.280          0.613        112.048          1.447          2.250         24.460         19.547
     02/10/1993       275      1993        105.100          105.100          0.000       5246.027       1412.738          0.269          0.618         98.535          1.545          2.183         25.148         17.915
     15/10/1994       288      1994         60.600           60.600          0.001       4180.090        923.223          0.221          0.628         89.654          2.302          2.126         22.721          6.968
     07/10/1995       280      1995        122.100          117.895          0.000       5257.502       1417.778          0.270          0.581        106.480          1.448          2.052         24.937         17.648
     07/10/1996       281      1996        172.600          172.143          0.000       5751.470       1657.870          0.288          0.614        106.971          1.383          2.293         25.086         76.656
     06/10/1997       279      1997        112.800          112.033          0.000       4856.979       1305.366          0.269          0.635         99.754          1.709          2.231         25.230         44.736
