ApsimVersion = 6.1
Title = Warra 600mm wet soil Medium N
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     13/10/1957            286           1957        122.700          118.247          0.000         7298.9         1754.7          0.240          0.652        138.188          2.330           4.09           23.9          7.924            243         13.303          0.695
     07/10/1958            280           1958        253.000          212.892          0.000         9068.4         2902.6          0.320          0.696        172.872          1.642           4.77           26.3         22.174            232          9.378          0.695
     11/10/1959            284           1959        142.500          140.777          0.000         6894.1         1702.4          0.247          0.683        130.599          2.388           4.06           26.8         18.939            242         13.633          0.695
     16/10/1960            290           1960        106.000          106.000          0.000         6977.2         1580.0          0.226          0.644        128.041          2.492           3.94           23.7          6.885            250         14.232          0.695
     13/10/1961            286           1961        187.000          186.759          0.000         7859.6         1993.1          0.254          0.664        152.919          2.127           4.24           25.0         40.683            245         12.145          0.695
     11/10/1962            284           1962        146.900          146.900          0.000         7469.3         1850.8          0.248          0.671        145.077          2.258           4.18           25.6          5.856            242         12.893          0.695
     12/10/1963            285           1963        137.700          137.542          0.000         6971.5         2141.4          0.307          0.702        133.391          2.011           4.31           26.4          9.833            242         11.481          0.695
     11/10/1964            285           1964        345.100          321.717          0.000         8301.0         2513.6          0.303          0.670        165.175          1.712           4.30           24.8        134.637            244          9.777          0.695
     13/10/1965            286           1965        180.000          179.644          0.000         9024.9         2650.9          0.294          0.653        168.772          1.631           4.32           25.3          7.967            246          9.315          0.695
     17/10/1966            290           1966        197.900          193.360          0.000         9239.2         2778.9          0.301          0.645        168.667          1.517           4.22           24.3         15.445            246          8.661          0.695
     12/10/1967            285           1967        246.400          223.522          0.000        10296.7         2868.3          0.279          0.615        187.612          1.395           4.00           27.1         32.486            244          7.966          0.695
     19/10/1968            293           1968        146.800          146.758          0.000         9259.2         2653.5          0.287          0.637        161.035          1.573           4.18           23.7          9.789            251          8.985          0.695
     11/10/1969            284           1969        146.300          143.031          0.000         6600.5         1970.7          0.299          0.712        123.029          2.158           4.25           27.7         12.946            238         12.321          0.695
     13/10/1970            286           1970         91.600           91.600          0.000         4669.7         1035.6          0.222          0.572         96.818          2.896           3.00           30.3         16.419            245         16.539          0.695
     12/10/1971            285           1971        231.200          225.912          0.000        10674.9         2698.3          0.253          0.594        206.347          1.508           4.07           25.5         24.608            246          8.613          0.695
     10/10/1972            284           1972         67.400           67.400          0.000         4804.9          950.0          0.198          0.512         95.918          2.879           2.73           28.6          6.522            244         16.439          0.695
