Summary_file = wagga600.sum
Title = wagga 600mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     23/11/1957       327      1957        217.000          215.828          0.001      10535.150       2483.819          0.236          0.642        151.932          3.255          8.084         76.315         12.405            284
     25/11/1958       329      1958        353.700          345.309          0.001      14604.185       6108.718          0.418          0.808        193.141          1.976         12.069         59.972        103.069            285
     21/11/1959       325      1959        237.900          237.339          0.001      12581.701       3906.898          0.311          0.776        178.589          2.658         10.385         78.699          2.583            283
     01/12/1960       336      1960        393.700          387.416          0.001      16038.566       6965.167          0.434          0.793        230.943          1.682         11.714         58.708         83.747            290
     19/11/1961       323      1961        309.500          301.910          0.001      12589.994       3605.785          0.286          0.769        198.243          2.894         10.436         69.955         40.278            283
     27/11/1962       331      1962        285.200          282.857          0.001      14157.585       5485.371          0.387          0.795        200.885          1.998         10.958         68.899         20.842            285
     21/11/1963       325      1963        388.600          385.361          0.001      14376.623       5807.854          0.404          0.798        227.309          1.946         11.303         67.490         75.113            283
     30/11/1964       335      1964        356.000          354.725          0.001      15362.003       6683.241          0.435          0.806        218.153          1.786         11.935         61.968         59.857            291
     16/11/1965       320      1965        280.600          279.156          0.001      12568.222       4429.769          0.352          0.791        192.087          2.356         10.438         75.629         16.350            280
     27/11/1966       331      1966        307.500          307.115          0.001      15488.756       5767.890          0.372          0.774        212.162          1.973         11.381         66.442         16.792            289
     12/11/1967       316      1967        166.700          166.533          0.001       9743.386       2621.348          0.269          0.598        124.632          2.845          7.457         83.476          1.574            276
     30/11/1968       335      1968        307.400          305.883          0.001      14728.346       5135.414          0.349          0.774        208.356          2.124         10.905         66.311         19.870            292
     22/11/1969       326      1969        373.200          356.584          0.001      14428.005       5375.562          0.373          0.797        224.098          2.161         11.619         66.837         59.309            284
     25/11/1970       329      1970        467.600          450.720          0.001      15304.181       6164.573          0.403          0.804        214.101          2.033         12.533         60.675        162.343            283
     24/11/1971       328      1971        321.300          318.977          0.001      13265.949       4625.406          0.349          0.790        180.922          2.364         10.934         72.518         69.584            283
     13/11/1972       318      1972        200.600          200.042          0.001      11272.107       3114.241          0.276          0.703        166.774          2.998          9.338         70.923          0.844            275
     17/11/1973       321      1973        408.100          402.800          0.001      13663.649       6131.392          0.449          0.843        185.426          2.164         13.266         61.764        149.616            276
     28/11/1974       332      1974        523.800          479.199          0.001      15856.666       6898.692          0.435          0.803        204.987          1.754         12.101         61.126        217.399            285
     17/11/1975       321      1975        427.000          401.876          0.001      14540.258       5903.083          0.406          0.819        184.440          2.196         12.960         59.541        172.067            271
     22/11/1976       327      1976        300.800          299.422          0.001      14570.628       6059.797          0.416          0.799        196.881          1.922         11.645         64.448         53.963            278
     20/11/1977       324      1977        197.600          194.691          0.001      10018.781       2157.320          0.215          0.632        136.692          3.609          7.787         73.019          7.686            283
     26/11/1978       330      1978        507.400          473.404          0.001      15192.013       6123.767          0.403          0.795        207.811          1.875         11.485         69.951        172.820            283
     20/11/1979       324      1979        316.000          310.187          0.001      15268.912       6541.385          0.428          0.799        213.610          1.790         11.710         65.854         31.322            282
     20/11/1980       325      1980        261.400          260.746          0.001      12890.917       3743.548          0.290          0.787        186.619          2.934         10.983         68.613          9.483            281
     19/11/1981       323      1981        346.400          344.687          0.001      13620.234       5876.065          0.431          0.820        211.217          1.934         11.365         74.595         71.440            278
     16/11/1982       320      1982        113.600          113.461          0.001       6160.536       1192.904          0.194          0.658         91.285          3.627          4.327        144.343          1.724            279
     19/11/1983       323      1983        451.600          440.259          0.001      14296.524       5926.623          0.415          0.812        195.749          1.993         11.812         68.495        162.420            278
     18/11/1984       323      1984        321.500          314.498          0.001      15408.372       6627.563          0.430          0.799        202.509          1.769         11.723         58.038         81.502            279
     21/11/1985       325      1985        364.100          358.884          0.001      15507.473       6540.969          0.422          0.795        216.453          1.799         11.769         59.497         71.363            282
     29/11/1986       333      1986        429.800          421.916          0.001      16701.154       7023.731          0.421          0.791        217.792          1.734         12.181         55.610        133.820            285
     20/11/1987       324      1987        331.600          324.980          0.001      14789.882       5179.111          0.350          0.773        217.427          2.097         10.861         64.568         37.348            282
     14/11/1988       319      1988        399.000          362.211          0.001      15250.338       6384.713          0.419          0.792        210.497          1.781         11.370         66.266         94.039            275
     26/11/1989       330      1989        369.500          361.405          0.001      14837.405       5670.325          0.382          0.788        203.592          1.988         11.272         69.049         68.467            287
     21/11/1990       325      1990        352.700          338.554          0.001      15516.768       6241.562          0.402          0.792        215.339          1.834         11.447         60.039         60.476            282
     19/11/1991       323      1991        340.100          327.889          0.001      13980.584       5885.973          0.421          0.823        206.367          2.047         12.051         68.750         64.896            277
     03/12/1992       338      1992        493.500          484.384          0.001      16984.232       7121.823          0.419          0.792        217.572          1.753         12.481         54.882        184.569            291
     21/11/1993       325      1993        546.700          514.152          0.001      16492.020       7210.460          0.437          0.798        216.544          1.731         12.481         54.657        224.317            277
