Summary_file = walpeup200.sum
Title = walpeup 200mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     05/11/1957       309      1957        126.100          125.868          0.001       4600.273        941.932          0.205          0.448         58.479          3.375          3.179         54.953          0.054            264
     12/11/1958       316      1958        244.400          243.669          0.001      10458.888       3623.452          0.346          0.740        137.534          1.877          6.800         37.179         24.816            270
     04/11/1959       308      1959        138.100          138.100          0.001       1739.390        430.038          0.247          0.308         23.401          2.861          1.230        103.174         28.427            260
     15/11/1960       320      1960        240.000          239.945          0.001       8272.360       2076.301          0.251          0.735        107.515          2.881          5.982         46.841         32.672            276
     02/11/1961       306      1961        163.400          163.400          0.001       5342.372       1377.598          0.258          0.672         78.767          3.072          4.232         67.900          0.195            265
     07/11/1962       311      1962        169.100          169.100          0.001       5805.868       1536.515          0.265          0.709         72.006          2.793          4.292         66.858          0.000            262
     07/11/1963       311      1963        235.600          235.240          0.001       7566.221       2053.948          0.271          0.674        110.603          2.831          5.815         37.841          7.516            269
     12/11/1964       317      1964        304.100          295.254          0.001      10329.751       3996.866          0.387          0.785        148.973          1.969          7.869         30.722         40.551            267
     06/11/1965       310      1965        184.900          184.900          0.001       8233.460       1889.250          0.229          0.691        108.595          3.143          5.938         40.133          0.166            269
     13/11/1966       317      1966        170.300          170.300          0.001       5078.908       1431.487          0.282          0.731         66.438          2.670          3.822         79.081          4.524            273
     04/11/1967       308      1967         83.600           83.600          0.001       2189.064        372.045          0.170          0.421         24.815          4.041          1.503         99.845          0.000            266
     14/11/1968       319      1968        199.900          199.734          0.001       6663.275       1471.306          0.221          0.657         81.876          3.238          4.764         46.033          1.513            277
     10/11/1969       314      1969        141.600          141.600          0.001       4437.961        830.712          0.187          0.474         51.317          3.693          3.067         61.075          0.967            272
     15/11/1970       319      1970        194.000          191.871          0.001       1087.088        302.850          0.279          0.348         14.306          4.089          1.238        113.136         71.009            275
     11/11/1971       315      1971        123.800          123.800          0.001       2300.790        403.061          0.175          0.457         25.431          4.563          1.839         95.043          0.000            269
     01/11/1972       306      1972        106.900          106.900          0.001       1970.179        416.367          0.211          0.448         25.750          3.284          1.367        107.886          0.000            260
     07/11/1973       311      1973        361.100          350.593          0.001      10577.275       3284.655          0.311          0.738        146.757          2.116          6.950         34.839         87.327            267
     16/11/1974       320      1974        263.200          260.744          0.001      11467.950       3860.149          0.337          0.710        148.572          1.649          6.365         40.206         10.952            273
     01/11/1975       305      1975        260.700          259.714          0.001       3841.003       1390.331          0.362          0.528         48.751          2.747          3.819         63.216        105.980            257
     11/11/1976       316      1976        194.400          194.292          0.001       1915.074        436.718          0.228          0.316         22.832          2.769          1.209        101.744         52.451            268
     05/11/1977       309      1977        107.800          107.800          0.001       1981.442        351.009          0.177          0.386         23.714          4.993          1.753         91.298          0.000            265
     10/11/1978       314      1978        258.700          258.640          0.001       9684.658       2887.984          0.298          0.755        130.342          2.443          7.054         33.407         17.463            270
     06/11/1979       310      1979        174.500          174.500          0.001       4927.650       2049.678          0.416          0.763         69.779          2.372          4.862         74.500          4.632            266
     03/11/1980       308      1980        208.000          208.000          0.001       5214.124       1451.495          0.278          0.516         74.756          2.360          3.425         66.171         31.405            263
     05/11/1981       309      1981        291.800          288.820          0.001      10525.688       3201.217          0.304          0.733        151.722          2.127          6.809         29.468         29.006            264
     05/11/1982       309      1982         53.800           53.800          0.001       1080.555        159.427          0.148          0.458         12.665          9.309          1.484        107.817          0.000            262
     07/11/1983       311      1983        230.700          230.700          0.001       8632.814       2616.981          0.303          0.748        115.800          2.347          6.142         51.848         24.513            266
     06/11/1984       311      1984        169.300          169.300          0.001       6323.297       2025.506          0.320          0.724         84.021          2.561          5.187         60.058          3.458            264
     07/11/1985       311      1985        187.700          187.700          0.001       6661.825       1878.452          0.282          0.630         88.716          2.463          4.627         50.607         14.002            267
     15/11/1986       319      1986        270.300          267.994          0.001      10684.742       3279.956          0.307          0.736        145.033          2.127          6.977         35.234         26.462            271
     09/11/1987       313      1987        172.800          172.800          0.001       5843.647       1536.648          0.263          0.639         71.120          2.660          4.088         61.069          6.509            268
     29/10/1988       303      1988        188.000          187.078          0.001       6757.382       1763.483          0.261          0.679         87.492          2.969          5.236         48.711          4.017            259
     15/11/1989       319      1989        167.400          167.400          0.001       5639.877       1147.832          0.204          0.594         62.769          3.319          3.810         57.042          0.000            274
     09/11/1990       313      1990        194.200          194.005          0.001       7649.656       1688.697          0.221          0.708         91.224          3.523          5.948         37.374          5.987            269
     31/10/1991       304      1991        190.300          189.813          0.001       7929.650       2060.114          0.260          0.719        100.709          3.009          6.199         38.323          0.354            260
     16/11/1992       321      1992        264.800          261.253          0.001      10610.618       3760.856          0.354          0.728        140.222          1.682          6.325         43.704         18.187            276
     03/11/1993       307      1993        235.800          235.800          0.001       7521.159       2866.483          0.381          0.799        111.554          2.306          6.611         50.807         26.155            260
     04/11/1994       308      1994        120.200          120.200          0.001       2992.549        550.259          0.184          0.452         35.547          4.157          2.287         84.541          7.574            261
     08/11/1995       312      1995        224.200          223.108          0.001       7041.833       2076.482          0.295          0.647        104.857          2.452          5.092         42.205         15.150            266
     06/11/1996       311      1996        210.800          210.800          0.001       8988.374       2871.976          0.320          0.755        113.459          2.245          6.448         41.287          1.664            265
     08/11/1997       312      1997        162.000          162.000          0.001       4442.113       1169.565          0.263          0.625         59.254          2.966          3.469         79.864         21.766            267
     05/11/1998       309      1998        148.600          148.600          0.001       3427.597       1255.524          0.366          0.551         48.155          2.799          3.514         77.305          6.041            264
     29/10/1999       302      1999        169.200          168.979          0.001       7023.720       1478.552          0.211          0.658         84.071          3.474          5.136         45.555          0.000            259
     10/11/2000       315      2000        176.500          176.500          0.001       4134.275        928.703          0.225          0.515         52.501          2.899          2.693         77.651         30.575            269
     06/11/2001       310      2001        183.000          182.943          0.001       5800.487       1736.357          0.299          0.687         75.825          2.473          4.294         67.578          0.835            263
     03/11/2002       307      2002         86.500           86.500          0.001       2047.923        339.482          0.166          0.424         25.668          5.247          1.781         95.224          0.000            261
