Summary_file=apswim.sum
Title =apswim sample simulation
    day   year          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)         sw(13)          br(1)          br(2)          br(3)          br(4)          br(5)          br(6)          br(7)          br(8)          br(9)         br(10)         br(11)         br(12)         br(13)
  (day) (year)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
      1   1995          0.204          0.204          0.205          0.208          0.212          0.217          0.222          0.228          0.235          0.254          0.294          0.354          0.370          0.567          2.069         10.072         31.548         30.233         16.142          6.567          2.105          0.592          0.097          0.010          0.001          0.000
      2   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          1.386          4.596         11.748         30.377         28.368         14.937          6.026          1.908          0.552          0.092          0.009          0.001          0.000
      3   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          2.311          7.422         12.817         29.172         26.599         13.814          5.524          1.729          0.515          0.087          0.009          0.001          0.000
      4   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          3.294         10.401         13.470         27.938         24.920         12.773          5.063          1.568          0.480          0.083          0.008          0.001          0.000
      5   1995          0.204          0.204          0.205          0.208          0.212          0.217          0.222          0.228          0.235          0.254          0.294          0.354          0.370          0.147          0.549          3.040         14.129         23.840         22.569         16.703         10.106          6.070          2.240          0.513          0.082          0.000
      6   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          0.425          1.431          4.272         14.879         23.548         21.750         15.849          9.390          5.727          2.145          0.493          0.078          0.000
      7   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          0.794          2.580          5.275         15.478         23.200         20.928         15.009          8.724          5.400          2.052          0.473          0.074          0.000
      8   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.234          0.254          0.294          0.354          0.370          1.228          3.917          6.103         15.942         22.794         20.110         14.198          8.112          5.094          1.963          0.455          0.071          0.000
      9   1995          0.204          0.204          0.205          0.208          0.212          0.217          0.222          0.228          0.235          0.254          0.294          0.354          0.370          0.333          1.169          4.518         13.064         20.272         20.406         16.597         11.061          7.870          3.525          0.962          0.185          0.000
     10   1995          0.204          0.204          0.205          0.208          0.212          0.216          0.222          0.228          0.235          0.254          0.294          0.354          0.370          0.702          2.303          5.218         13.564         20.185         19.841         15.858         10.358          7.452          3.380          0.926          0.176          0.000
