ApsimVersion = 6.1
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     15/10/1940         5226.1        350.000
     20/10/1941         3569.2        350.000
     14/10/1942         3601.0        350.000
     25/10/1943         4477.7        350.000
     19/10/1944         4230.2        350.000
     21/10/1945         2931.1        350.000
     22/10/1946         5099.0        350.000
     24/10/1947         2416.5        350.000
     24/10/1948         3050.8        350.000
     23/10/1949         3469.0        350.000
     16/10/1950         3474.0        350.000
     24/10/1951         4097.3        350.000
     23/10/1952         2761.6        350.000
     24/10/1953         3211.3        350.000
     15/10/1954         3315.7        350.000
     20/10/1955         3036.5        350.000
     29/10/1956         2754.4        350.000
     21/10/1957         3478.5        350.000
     23/10/1958         2793.4        350.000
     23/10/1959         3400.5        350.000
     25/10/1960         2982.2        350.000
     22/10/1961         2963.4        350.000
     21/10/1962         2469.8        350.000
     24/10/1963         3023.6        350.000
     23/10/1964         2257.3        350.000
     19/10/1965         3443.2        350.000
     28/10/1966         1847.2        350.000
     19/10/1967         2835.3        350.000
     25/10/1968         2437.5        350.000
     23/10/1969         2834.6        350.000
     24/10/1970         2029.5        350.000
     24/10/1971         1903.8        350.000
     18/10/1972         3537.1        350.000
     10/10/1973         2404.7        350.000
     25/10/1974         3554.1        350.000
     18/10/1975         1582.8        350.000
     26/10/1976         2383.9        350.000
     20/10/1977         2606.6        350.000
     30/10/1978         2146.7        350.000
     19/10/1979         1597.3        350.000
     13/10/1980         2715.0        350.000
     21/10/1981         1586.9        350.000
     23/10/1982         2162.5        350.000
     19/10/1983         1442.1        350.000
     26/10/1984         2143.2        350.000
     23/10/1985         1360.1        350.000
     22/10/1986         2490.6        350.000
     21/10/1987         1855.5        350.000
     15/10/1988         1941.8        350.000
     25/10/1989         2108.1        350.000
