Summary_file = canola.sum
Title = canola Sample Simulation
    day   year            lai        biomass  green_biomass            pai
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)
    130   1988          0.000          0.000          0.000          0.000
    131   1988          0.000          0.000          0.000          0.000
    132   1988          0.000          0.000          0.000          0.000
    133   1988          0.000          0.000          0.000          0.000
    134   1988          0.000          0.000          0.000          0.000
    135   1988          0.000          0.000          0.000          0.000
    136   1988          0.000          0.000          0.000          0.000
    137   1988          0.000          0.000          0.000          0.000
    138   1988          0.000          0.000          0.000          0.000
    139   1988          0.000          0.000          0.000          0.000
    140   1988          0.000          0.000          0.000          0.000
    141   1988          0.000          0.000          0.000          0.000
    142   1988          0.000          0.000          0.000          0.000
    143   1988          0.032         12.000         12.000          0.000
    144   1988          0.038         15.271         15.271          0.000
    145   1988          0.045         18.762         18.762          0.000
    146   1988          0.049         22.970         22.970          0.000
    147   1988          0.055         27.528         27.528          0.000
    148   1988          0.063         33.236         33.236          0.000
    149   1988          0.070         38.956         38.956          0.000
    150   1988          0.078         45.561         45.561          0.000
    151   1988          0.085         53.097         53.097          0.000
    152   1988          0.095         61.033         61.033          0.000
    153   1988          0.108         67.975         67.975          0.000
    154   1988          0.124         76.848         76.848          0.000
    155   1988          0.140         86.702         86.702          0.000
    156   1988          0.157         92.140         92.140          0.000
    157   1988          0.184        100.825        100.825          0.000
    158   1988          0.216        114.038        114.038          0.000
    159   1988          0.240        135.053        135.053          0.000
    160   1988          0.258        156.082        156.082          0.000
    161   1988          0.280        177.964        177.964          0.000
    162   1988          0.308        203.272        203.272          0.000
    163   1988          0.337        231.539        231.539          0.000
    164   1988          0.362        261.997        261.997          0.000
    165   1988          0.389        297.972        297.972          0.000
    166   1988          0.421        337.811        337.811          0.000
    167   1988          0.456        379.603        379.603          0.000
    168   1988          0.500        416.867        416.867          0.000
    169   1988          0.552        458.316        458.316          0.000
    170   1988          0.615        505.737        505.737          0.000
    171   1988          0.670        561.201        561.201          0.000
    172   1988          0.729        620.828        620.828          0.000
    173   1988          0.799        684.854        684.854          0.000
    174   1988          0.864        752.407        752.407          0.000
    175   1988          0.932        825.856        825.856          0.000
    176   1988          1.011        899.016        899.016          0.000
    177   1988          1.102        973.587        973.587          0.000
    178   1988          1.201       1050.458       1050.458          0.000
    179   1988          1.305       1145.230       1145.230          0.000
    180   1988          1.399       1246.547       1246.547          0.000
    181   1988          1.482       1349.075       1349.075          0.000
    182   1988          1.564       1460.636       1460.636          0.000
    183   1988          1.655       1570.166       1570.166          0.000
    184   1988          1.757       1652.355       1652.355          0.000
    185   1988          1.880       1702.409       1702.409          0.000
    186   1988          2.018       1758.652       1758.652          0.000
    187   1988          2.183       1826.225       1826.225          0.000
    188   1988          2.340       1945.797       1945.797          0.000
    189   1988          2.464       2065.869       2065.869          0.000
    190   1988          2.590       2194.468       2194.468          0.000
    191   1988          2.720       2335.643       2335.643          0.000
    192   1988          2.865       2445.656       2445.656          0.000
    193   1988          3.004       2516.237       2516.237          0.000
    194   1988          3.161       2603.948       2603.948          0.000
    195   1988          3.484       2736.010       2736.010          0.000
    196   1988          3.839       2880.823       2880.823          0.000
    197   1988          4.056       3036.115       3036.115          0.000
    198   1988          4.266       3186.865       3185.931          0.000
    199   1988          4.484       3349.288       3343.837          0.000
    200   1988          4.712       3524.331       3510.421          0.000
    201   1988          4.949       3712.686       3685.992          0.000
    202   1988          5.148       3881.647       3837.386          0.000
    203   1988          5.261       3996.654       3930.546          0.000
    204   1988          5.336       4088.130       3997.703          0.000
    205   1988          5.479       4230.942       4114.737          0.000
    206   1988          5.598       4362.126       4216.973          0.000
    207   1988          5.701       4487.158       4310.401          0.000
    208   1988          5.790       4607.249       4396.556          0.000
    209   1988          5.780       4708.972       4461.895          0.000
    210   1988          5.728       4813.805       4530.375          0.000
    211   1988          5.670       4897.424       4578.853          0.000
    212   1988          5.621       4984.170       4631.790          0.000
    213   1988          5.572       5081.862       4696.769          0.000
    214   1988          5.526       5172.583       4755.881          0.000
    215   1988          5.487       5253.369       4806.041          0.000
    216   1988          5.422       5345.772       4868.807          0.074
    217   1988          5.360       5451.393       4946.428          0.158
    218   1988          5.302       5578.500       5047.054          0.260
    219   1988          5.247       5710.213       5153.698          0.365
    220   1988          5.194       5875.613       5295.342          0.498
    221   1988          5.145       6030.813       5428.011          0.622
    222   1988          5.098       6188.012       5563.821          0.748
    223   1988          5.053       6378.667       5734.156          0.900
    224   1988          5.010       6579.768       5915.935          1.061
    225   1988          4.970       6770.191       6087.975          1.213
    226   1988          4.931       6963.235       6263.515          1.368
    227   1988          4.895       7153.612       6437.213          1.520
    228   1988          4.860       7337.579       6605.279          1.667
    229   1988          4.826       7532.674       6785.207          1.823
    230   1988          4.794       7727.145       6965.198          1.979
    231   1988          4.764       7902.157       7126.383          2.119
    232   1988          4.735       8038.833       7249.846          2.135
    233   1988          4.632       8159.276       7323.636          2.152
    234   1988          4.582       8285.055       7426.887          2.169
    235   1988          4.561       8358.354       7490.496          2.182
    236   1988          4.540       8452.306       7575.158          2.199
    237   1988          4.521       8555.497       7669.438          2.216
    238   1988          4.502       8695.720       7801.111          2.235
    239   1988          4.484       8825.708       7922.892          2.255
    240   1988          4.467       8902.228       7991.532          2.269
    241   1988          4.450       8996.318       8078.055          2.286
    242   1988          4.434       9147.735       8222.202          2.307
    243   1988          4.418       9290.018       8357.498          2.329
    244   1988          4.326       9343.055       8368.560          2.341
    245   1988          4.142       9386.373       8328.178          2.352
    246   1988          3.944       9476.173       8328.229          2.369
    247   1988          3.762       9587.519       8357.189          2.389
    248   1988          3.580       9667.162       8354.109          2.405
    249   1988          3.400       9701.091       8306.142          2.415
    250   1988          3.267       9754.232       8298.908          2.427
    251   1988          3.133       9791.345       8275.455          2.438
    252   1988          3.018       9874.873       8306.511          2.454
    253   1988          2.907       9937.937       8319.284          2.468
    254   1988          2.811       9990.146       8327.751          2.481
    255   1988          2.712      10047.093       8340.120          2.492
    256   1988          2.600      10094.489       8336.405          2.500
    257   1988          2.514      10164.827       8367.840          2.512
    258   1988          2.465      10189.396       8369.908          2.516
    259   1988          2.399      10245.888       8396.472          2.525
    260   1988          2.335      10301.334       8423.006          2.535
    261   1988          2.277      10368.149       8463.675          2.546
    262   1988          2.220      10429.817       8499.155          2.556
    263   1988          2.159      10482.376       8524.212          2.565
    264   1988          2.103      10528.390       8544.650          2.573
    265   1988          2.044      10573.963       8563.685          2.580
    266   1988          1.985      10615.395       8578.020          2.587
    267   1988          1.921      10651.764       8585.276          2.593
    268   1988          1.853      10684.349       8587.070          2.599
    269   1988          1.774      10715.361       8582.539          2.604
    270   1988          1.695      10742.559       8573.898          2.608
    271   1988          1.610      10761.392       8554.114          2.611
    272   1988          1.531      10782.951       8539.638          2.615
    273   1988          1.462      10806.942       8532.244          2.619
    274   1988          1.412      10829.082       8531.657          2.623
    275   1988          1.355      10845.739       8522.683          2.625
    276   1988          1.303      10863.978       8517.388          2.629
    277   1988          1.259      10881.016       8514.008          2.631
    278   1988          1.215      10895.811       8509.183          2.634
    279   1988          1.182      10909.453       8507.634          2.636
    280   1988          1.144      10922.256       8503.387          2.638
    281   1988          1.114      10933.291       8500.473          2.638
    282   1988          1.080      10945.004       8497.133          2.638
    283   1988          0.002      10945.004       8007.586          2.638
    284   1988          0.000          0.000          0.000          0.000
    285   1988          0.000          0.000          0.000          0.000
    286   1988          0.000          0.000          0.000          0.000
    287   1988          0.000          0.000          0.000          0.000
    288   1988          0.000          0.000          0.000          0.000
    289   1988          0.000          0.000          0.000          0.000
    290   1988          0.000          0.000          0.000          0.000
    291   1988          0.000          0.000          0.000          0.000
    292   1988          0.000          0.000          0.000          0.000
    293   1988          0.000          0.000          0.000          0.000
    294   1988          0.000          0.000          0.000          0.000
    295   1988          0.000          0.000          0.000          0.000
    296   1988          0.000          0.000          0.000          0.000
    297   1988          0.000          0.000          0.000          0.000
    298   1988          0.000          0.000          0.000          0.000
    299   1988          0.000          0.000          0.000          0.000
    300   1988          0.000          0.000          0.000          0.000
