Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       293      1957          0.000       3400.517        967.020        107.936
       290      1958          0.000       6075.916       2765.405        190.134
       295      1959          0.000       4335.912       1728.787        148.237
       299      1960          0.000       3095.344        748.536        105.563
       293      1961          0.000       4007.593       1376.394        135.584
       292      1962          0.000       3580.228       1151.168        119.848
       294      1963          0.000       3991.791       1316.185        131.080
       295      1964          0.000       5684.932       2346.031        181.291
       294      1965          0.000       5885.608       2394.860        193.469
       299      1966          0.000       5790.938       2532.227        176.079
       293      1967          0.000       5172.822       2006.479        178.106
       301      1968          0.000       3725.209       1195.454        111.346
       293      1969          0.000       5626.596       2629.028        168.140
       295      1970          0.000       3894.183       1420.516        124.740
       295      1971          0.000       5467.535       2172.127        181.527
       293      1972          0.000       2916.947        747.804         96.155
       283      1973          0.000       5894.715       2506.364        170.528
       299      1974          0.000       5905.048       2642.709        167.806
       293      1975          0.000       5228.237       2234.711        151.857
       299      1976          0.000       5481.731       2503.675        164.130
       294      1977          0.000       3617.155        834.724        116.640
       299      1978          0.000       6749.748       2940.014        185.360
       290      1979          0.000       4586.933       1720.037        142.001
       287      1980          0.000       3125.695        827.112        105.848
       293      1981          0.000       4630.279       1742.719        147.691
       298      1982          0.000       3535.201       1188.940        115.807
       288      1983          0.000       5117.433       1916.897        164.519
       298      1984          0.000       6275.060       2868.968        195.076
       297      1985          0.000       5268.764       2254.154        175.450
       290      1986          0.000       3216.490        865.949         99.266
       288      1987          0.000       4044.990       1371.761        123.196
       284      1988          0.000       5894.822       2348.761        184.256
       293      1989          0.000       3156.164        858.568         97.466
       292      1990          0.000       5124.322       2030.089        155.707
       282      1991          0.000       2747.194        586.701         88.993
       300      1992          0.000       3635.585       1017.254        124.218
       287      1993          0.000       3881.022       1575.779        129.616
       299      1994          0.000       2647.231        526.855         93.660
       291      1995          0.000       3346.685       1082.729        125.592
       293      1996          0.000       3954.881       1589.095        138.594
       290      1997          0.000       3670.770       1373.978        131.181
       287      1998          0.000       6245.602       2529.755        192.381
       287      1999          0.000       3598.510       1337.709        113.397
       292      2000          0.000       2556.216        505.425         89.912
       290      2001          0.000       2953.902        626.825         96.382
       290      2002          0.000       3694.023       1119.350        134.752
