Summary_file = roma800.sum
Title = Roma 800mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       288      1957          0.000       3107.566        758.571        114.265
       281      1958          0.000       3444.109       1335.462        117.861
       286      1959          0.000       3063.882        884.550        112.913
       292      1960          0.000       3115.254        829.073        112.627
       287      1961          0.000       4054.874       1283.423        144.969
       285      1962          0.000       3204.115       1067.697        117.877
       287      1963          0.000       3430.136       1014.793        120.276
       285      1964          0.000       4300.601       1556.309        154.038
       284      1965          0.000       4358.291       1503.148        147.606
       289      1966          0.000       5592.789       2339.820        176.244
       286      1967          0.000       3416.131       1033.915        118.299
       293      1968          0.000       3859.316       1370.825        126.328
       285      1969          0.000       3323.199       1073.518        108.384
       288      1970          0.000       3901.090       1438.525        136.085
       285      1971          0.000       4769.603       1881.275        178.062
       282      1972          0.000       2908.166        699.052        110.880
       278      1973          0.000       5578.005       2304.812        181.174
       294      1974          0.000       4651.795       1835.619        145.490
       283      1975          0.000       4639.414       1896.560        146.177
       293      1976          0.000       4266.545       1538.842        142.839
       292      1977          0.000       2662.855        550.252         99.810
       298      1978          0.000       5597.895       2405.426        171.549
       285      1979          0.000       3167.097        789.436        106.430
       284      1980          0.000       3369.456        969.799        122.301
       288      1981          0.000       3796.482       1248.089        126.805
       292      1982          0.000       2975.215        839.688        106.329
       286      1983          0.000       4002.359       1389.047        127.591
       292      1984          0.000       4528.136       1702.045        142.680
       288      1985          0.000       3817.935       1331.283        122.031
       283      1986          0.000       4518.435       1742.141        153.189
       284      1987          0.000       3718.286       1234.469        120.203
       285      1988          0.000       4101.999       1408.559        137.849
       292      1989          0.000       3008.626        767.721        109.374
       290      1990          0.000       3634.474       1060.202        115.579
       281      1991          0.000       3103.047        803.274        113.529
       292      1992          0.000       3434.090        878.259        115.252
       284      1993          0.000       4135.683       1663.746        133.700
       299      1994          0.000       2590.170        521.035         98.265
       289      1995          0.000       3033.222       1041.480        117.745
       289      1996          0.000       3499.798       1167.136        128.081
       290      1997          0.000       3048.976        870.487        120.234
       285      1998          0.000       6019.544       2439.456        195.127
       286      1999          0.000       3268.882        967.073        118.666
       291      2000          0.000       3044.101        770.050        122.562
       288      2001          0.000       3878.916       1134.419        129.800
       288      2002          0.000       3352.950        914.778        123.312
