Summary_file = Dalby1500.sum
Title = Dalby 1500mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       291      1957          0.000       6814.795       2133.875        159.419
       286      1958          0.000       8358.909       3395.006        185.160
       288      1959          0.000       6403.021       2378.668        156.767
       292      1960          0.000       6150.547       1691.776        154.741
       290      1961          0.000       7597.838       2542.846        189.488
       289      1962          0.000       7434.946       2532.329        177.454
       288      1963          0.000       6831.969       2783.127        158.790
       288      1964          0.000       8860.890       3810.489        195.727
       289      1965          0.000      11974.516       5250.586        252.912
       289      1966          0.000      11333.967       4981.579        228.245
       289      1967          0.000       7306.637       2405.679        152.428
       291      1968          0.000       9143.654       3384.089        186.111
       287      1969          0.000       9648.580       4390.368        194.347
       290      1970          0.000       5748.562       2296.704        144.478
       289      1971          0.000      11559.364       5087.330        237.518
       289      1972          0.000       4755.426       1526.834        125.483
       283      1973          0.000      14140.248       6634.613        255.707
       289      1974          0.000       9347.146       4025.526        179.774
       287      1975          0.000      11086.469       4895.051        215.262
       288      1976          0.000       9434.438       4266.886        191.586
       290      1977          0.000       4935.665       1349.647        118.594
       289      1978          0.000      14123.868       6189.632        242.084
       287      1979          0.000       6861.494       2466.613        152.525
       288      1980          0.000       6040.661       1685.312        143.492
       288      1981          0.000       8598.252       3002.328        174.787
       290      1982          0.000       6054.381       2055.255        143.241
       286      1983          0.000       8095.422       2967.496        147.856
       289      1984          0.000      11953.133       5617.598        223.781
       289      1985          0.000       9818.894       3987.795        207.714
       288      1986          0.000       6420.883       1944.459        144.199
       287      1987          0.000       7044.985       2242.551        162.091
       285      1988          0.000      11818.587       5634.827        228.782
       290      1989          0.000       6679.451       1956.069        139.119
       288      1990          0.000       7988.512       2772.347        170.718
       286      1991          0.000       4576.441       1280.909        118.633
       291      1992          0.000       6005.432       2120.867        155.489
       286      1993          0.000       7222.689       2966.095        167.812
       292      1994          0.000       4204.898       1143.372        121.910
       289      1995          0.000       5456.775       1878.493        135.495
       289      1996          0.000       7563.295       3316.702        168.965
       288      1997          0.000       5871.388       2467.560        150.725
       285      1998          0.000      14566.908       6829.043        270.737
       287      1999          0.000       8026.516       2809.994        180.068
       291      2000          0.000       4413.679       1145.444        119.887
       288      2001          0.000       4578.276       1347.794        122.890
       290      2002          0.000       5789.526       1876.856        164.212
