APSIM output file, version = 5.4
Title = Dalby 600mm wet soil
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
            291           1957          0.000       6012.652       1724.777        141.374
            286           1958          0.000       8328.150       3324.198        184.308
            288           1959          0.000       5476.476       1924.630        133.645
            292           1960          0.000       5360.917       1371.634        134.933
            290           1961          0.000       6722.547       2090.721        168.512
            289           1962          0.000       6537.886       2076.179        155.650
            288           1963          0.000       5900.328       2313.985        137.408
            288           1964          0.000       7800.522       3317.385        172.654
            289           1965          0.000      11421.422       4893.423        241.337
            289           1966          0.000      10443.147       4440.034        210.709
            289           1967          0.000       7334.519       2414.594        152.915
            291           1968          0.000       8171.774       2684.741        166.655
            287           1969          0.000       8703.943       3890.446        174.960
            290           1970          0.000       4627.909       1835.604        121.168
            289           1971          0.000      10879.557       4624.604        222.200
            289           1972          0.000       3926.713       1226.946        104.610
            283           1973          0.000      14070.323       6577.576        254.154
            289           1974          0.000       8159.765       3433.456        158.086
            287           1975          0.000      10106.401       4398.698        194.788
            288           1976          0.000       8386.485       3742.132        169.886
            290           1977          0.000       4325.766       1128.249        103.458
            289           1978          0.000      13558.996       5928.735        230.542
            287           1979          0.000       6153.112       2110.845        137.426
            288           1980          0.000       5332.430       1407.085        124.603
            288           1981          0.000       8016.709       2638.082        162.189
            291           1982          0.000       4939.950       1586.573        118.960
            286           1983          0.000       8135.897       2947.467        148.354
            289           1984          0.000      11886.271       5570.534        222.453
            289           1985          0.000       9079.505       3547.391        191.095
            288           1986          0.000       5543.183       1554.981        124.477
            287           1987          0.000       6210.456       1833.704        143.644
            285           1988          0.000      11052.910       5237.681        212.138
            290           1989          0.000       5829.063       1554.935        118.631
            288           1990          0.000       7102.193       2278.959        153.063
            286           1991          0.000       3801.373       1001.461         99.683
            291           1992          0.000       5155.621       1807.387        134.146
            286           1993          0.000       6167.665       2449.434        144.532
            292           1994          0.000       3366.662        875.994        101.329
            289           1995          0.000       4729.358       1556.568        118.012
            289           1996          0.000       6660.444       2887.073        147.173
            288           1997          0.000       4765.071       1944.143        124.421
            285           1998          0.000      14281.784       6681.673        263.329
            287           1999          0.000       7082.273       2235.896        158.895
            291           2000          0.000       3691.323        923.913        101.675
            288           2001          0.000       3718.681       1045.646        102.109
            290           2002          0.000       5054.627       1625.511        144.623
