ApsimVersion = 6.1
Title = Roma 800mm wet soil
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
            292           1957          0.000         5263.1         1466.3        142.484
            286           1958          0.000         5447.5         1778.8        145.006
            287           1959          0.000         4843.4         1438.1        129.104
            291           1960          0.000         5582.0         1531.1        143.409
            290           1961          0.000         6913.5         2182.3        183.674
            288           1962          0.000         5721.8         1637.4        152.576
            288           1963          0.000         5288.7         1588.8        133.762
            287           1964          0.000         6052.2         2435.9        160.990
            287           1965          0.000         7050.1         2603.4        168.237
            288           1966          0.000         9782.6         4307.1        204.026
            289           1967          0.000         6088.2         1910.4        145.356
            290           1968          0.000         8188.2         2799.5        185.079
            287           1969          0.000         5230.5         1613.4        126.174
            288           1970          0.000         4476.5         1668.2        125.513
            288           1971          0.000         7834.9         3137.0        206.398
            289           1972          0.000         3702.3         1085.2        114.803
            282           1973          0.000        13583.2         6333.1        277.672
            289           1974          0.000         6774.4         2635.5        156.202
            286           1975          0.000         8405.0         3524.2        188.560
            288           1976          0.000         6342.7         2565.0        152.262
            292           1977          0.000         3828.6         1013.8        110.069
            290           1978          0.000        12612.4         5717.2        248.546
            288           1979          0.000         3882.4         1118.8        108.827
            290           1980          0.000         5841.4         1671.3        147.605
            289           1981          0.000         6871.8         2444.5        157.844
            291           1982          0.000         3997.2         1137.8        109.284
            289           1983          0.000         7858.5         2767.7        163.246
            288           1984          0.000         9825.7         4147.5        207.438
            287           1985          0.000         7305.0         2356.7        172.351
            287           1986          0.000         8368.6         3428.4        196.409
            288           1987          0.000         5547.4         1681.2        136.516
            289           1988          0.000         7014.0         2509.3        172.727
            293           1989          0.000         5581.5         1528.7        131.102
            290           1990          0.000         5125.2         1647.2        122.715
            289           1991          0.000         4693.7         1305.5        135.522
            290           1992          0.000         4695.9         1460.0        120.296
            286           1993          0.000         6938.9         2729.2        159.000
            295           1994          0.000         3447.1          882.1        106.594
            291           1995          0.000         4596.2         1495.6        124.649
            290           1996          0.000         6238.4         2415.1        145.732
            291           1997          0.000         4088.8         1352.4        119.339
            286           1998          0.000        13493.3         6365.9        275.043
            290           1999          0.000         5966.8         1944.8        158.989
            293           2000          0.000         5095.9         1365.8        141.808
            287           2001          0.000         6027.3         1730.9        160.307
            292           2002          0.000         4586.9         1267.8        130.962
