Summary_file = fertiliz.sum
Title = Fertiliz Sample Simulation
    day   year     fertilizer          no3()          nh4()
  (day) (year)        (kg/ha)        (kg/ha)        (kg/ha)
      1   1988          0.000         83.298          7.359
      2   1988          0.000         84.921          6.186
      3   1988          0.000         86.349          5.277
      4   1988          0.000         87.633          4.635
      5   1988        100.000        111.278         81.648
      6   1988          0.000        131.299         62.263
      7   1988          0.000        147.409         46.747
      8   1988          0.000        159.999         34.735
      9   1988          0.000        170.188         25.142
     10   1988        100.000        277.962         18.011
     11   1988          0.000        283.707         12.932
     12   1988          0.000        287.916          9.400
     13   1988          0.000        291.006          6.979
     14   1988          0.000        293.302          5.329
     15   1988        100.000        395.044          4.202
     16   1988          0.000        396.368          3.453
     17   1988          0.000        397.483          2.935
     18   1988          0.000        398.442          2.625
     19   1988          0.000        399.303          2.434
     20   1988          0.000        397.841          2.397
     21   1988          0.000        397.412          2.331
     22   1988          0.000        397.399          2.262
     23   1988          0.000        397.815          2.210
     24   1988          0.000        398.517          2.191
     25   1988        100.000        499.236          2.178
     26   1988          0.000        499.936          2.142
     27   1988          0.000        500.617          2.096
     28   1988          0.000        501.279          2.049
     29   1988          0.000        501.915          1.988
     30   1988          0.000        502.525          1.940
