Summary_file = step8.sum
Title = Step 8. swim
           date  transpiration
             ()             ()
      5/08/1976          0.000
      6/08/1976          0.000
      7/08/1976          0.000
      8/08/1976          0.000
      9/08/1976          0.000
     10/08/1976          0.000
     11/08/1976          0.000
     12/08/1976          0.000
     13/08/1976          0.000
     14/08/1976          0.000
     15/08/1976          0.000
     16/08/1976          0.000
     17/08/1976          0.000
     18/08/1976          0.000
     19/08/1976          0.000
     20/08/1976          0.000
     21/08/1976          0.000
     22/08/1976          0.000
     23/08/1976          0.000
     24/08/1976          0.000
     25/08/1976          0.000
     26/08/1976          0.000
     27/08/1976          0.000
     28/08/1976          0.000
     29/08/1976          0.000
     30/08/1976          0.000
     31/08/1976          0.000
      1/09/1976          0.000
      2/09/1976          0.000
      3/09/1976          0.001
      4/09/1976          0.003
      5/09/1976          0.003
      6/09/1976          0.002
      7/09/1976          0.002
      8/09/1976          0.001
      9/09/1976          0.001
     10/09/1976          0.001
     11/09/1976          0.001
     12/09/1976          0.001
     13/09/1976          0.001
     14/09/1976          0.000
     15/09/1976          0.000
     16/09/1976          0.000
     17/09/1976          0.000
     18/09/1976          0.000
     19/09/1976          0.000
     20/09/1976          0.000
     21/09/1976          0.000
     22/09/1976          0.002
     23/09/1976          0.004
     24/09/1976          0.008
     25/09/1976          0.008
     26/09/1976          0.010
     27/09/1976          0.005
     28/09/1976          0.004
     29/09/1976          0.011
     30/09/1976          0.011
      1/10/1976          0.014
      2/10/1976          0.016
      3/10/1976          0.023
      4/10/1976          0.034
      5/10/1976          0.039
      6/10/1976          0.052
      7/10/1976          0.069
      8/10/1976          0.076
      9/10/1976          0.070
     10/10/1976          0.072
     11/10/1976          0.074
     12/10/1976          0.084
     13/10/1976          0.076
     14/10/1976          0.044
     15/10/1976          0.075
     16/10/1976          0.078
     17/10/1976          0.081
     18/10/1976          0.083
     19/10/1976          0.045
     20/10/1976          0.089
     21/10/1976          0.100
     22/10/1976          0.108
     23/10/1976          0.066
     24/10/1976          0.154
     25/10/1976          0.163
     26/10/1976          0.184
     27/10/1976          0.080
     28/10/1976          0.104
     29/10/1976          0.221
     30/10/1976          0.227
     31/10/1976          0.232
      1/11/1976          0.159
      2/11/1976          0.402
