Summary_file = maize.sum
Title = Maize Sample Simulation
       day      year            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan       das
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)             ()             ()    (days)
       300      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       301      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       302      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       303      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       304      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       305      1989          0.000          0.000          0.000          0.000          0.000          0.000         1
       306      1989          0.000          0.000          0.000          0.000          0.000          0.000         2
       307      1989          0.000          0.000          0.000          0.000          0.000          0.000         3
       308      1989          0.004          2.000          0.000          0.009          1.000          0.000         4
       309      1989          0.005          2.509          0.000          0.010          1.000          1.000         5
       310      1989          0.005          3.058          0.000          0.011          1.000          0.860         6
       311      1989          0.006          3.692          0.000          0.013          1.000          0.830         7
       312      1989          0.007          4.627          0.000          0.015          1.000          0.852         8
       313      1989          0.008          5.749          0.000          0.018          1.000          0.829         9
       314      1989          0.009          6.772          0.000          0.021          1.000          0.819        10
       315      1989          0.011          7.832          0.000          0.024          1.000          0.842        11
       316      1989          0.013          9.438          0.000          0.028          1.000          0.860        12
       317      1989          0.015         10.973          0.000          0.033          1.000          0.848        13
       318      1989          0.018         13.164          0.000          0.038          1.000          0.864        14
       319      1989          0.022         15.894          0.000          0.046          1.000          0.855        15
       320      1989          0.026         18.951          0.000          0.054          1.000          0.877        16
       321      1989          0.031         22.660          0.000          0.063          1.000          0.891        17
       322      1989          0.037         26.076          0.000          0.072          1.000          0.897        18
       323      1989          0.045         29.782          0.000          0.081          1.000          0.910        19
       324      1989          0.052         35.234          0.000          0.092          1.000          0.935        20
       325      1989          0.060         42.729          0.000          0.108          1.000          0.916        21
       326      1989          0.068         51.374          0.000          0.128          1.000          0.898        22
       327      1989          0.077         60.339          0.000          0.148          1.000          0.895        23
       328      1989          0.089         71.020          0.000          0.172          1.000          0.905        24
       329      1989          0.103         84.022          0.000          0.198          1.000          0.919        25
       330      1989          0.116         98.387          0.000          0.231          1.000          0.894        26
       331      1989          0.133        115.092          0.000          0.269          1.000          0.892        27
       332      1989          0.149        134.127          0.000          0.314          1.000          0.887        28
       333      1989          0.169        156.747          0.000          0.367          1.000          0.885        29
       334      1989          0.190        183.280          0.000          0.430          1.000          0.884        30
       335      1989          0.214        212.878          0.000          0.501          1.000          0.884        31
       336      1989          0.244        245.544          0.000          0.581          1.000          0.888        32
       337      1989          0.284        280.178          0.000          0.666          1.000          0.894        33
       338      1989          0.332        314.862          0.000          0.754          1.000          0.902        34
       339      1989          0.374        340.395          0.000          0.824          1.000          0.912        35
       340      1989          0.426        391.615          0.000          0.932          1.000          0.931        36
       341      1989          0.486        452.695          0.000          1.067          1.000          0.917        37
       342      1989          0.544        521.683          0.000          1.222          1.000          0.909        38
       343      1989          0.605        591.673          0.000          1.393          1.000          0.904        39
       344      1989          0.675        679.178          0.000          1.594          1.000          0.909        40
       345      1989          0.834        779.849          0.000          1.830          1.000          0.906        41
       346      1989          1.033        896.776          0.000          2.100          1.000          0.908        42
       347      1989          1.254       1031.235          0.000          2.407          1.000          0.909        43
       348      1989          1.407       1135.945          0.000          2.678          1.000          0.910        44
       349      1989          1.570       1256.562          0.000          2.967          1.000          0.925        45
       350      1989          1.763       1409.280          0.000          3.305          1.000          0.930        46
       351      1989          1.980       1593.612          0.000          3.712          1.000          0.926        47
       352      1989          2.222       1816.616          0.000          4.207          1.000          0.921        48
       353      1989          2.472       2066.790          0.000          4.776          1.000          0.917        49
       354      1989          2.721       2341.189          0.000          5.415          1.000          0.916        50
       355      1989          2.964       2637.479          0.000          6.108          1.000          0.919        51
       356      1989          3.163       2910.123          0.000          6.695          1.000          0.924        52
       357      1989          3.324       3158.881          0.000          7.212          1.000          0.923        53
       358      1989          3.487       3436.116          0.000          7.631          1.000          0.922        54
       359      1989          3.619       3682.582          0.000          7.981          1.000          0.907        55
       360      1989          3.767       3983.153          0.000          8.281          1.000          0.894        56
       361      1989          3.915       4311.865          0.000          8.537          1.000          0.871        57
       362      1989          4.044       4626.190          0.000          8.757          1.000          0.844        58
       363      1989          4.161       4932.439          0.000          8.954          1.000          0.820        59
       364      1989          4.267       5224.792          0.000          9.135          1.000          0.799        60
       365      1989          4.365       5510.885          0.000          9.305          1.000          0.781        61
         1      1990          4.449       5790.257          0.000          9.467          1.000          0.766        62
         2      1990          4.529       6071.485          0.000          9.621          1.000          0.755        63
         3      1990          4.594       6342.834          0.000          9.766          1.000          0.745        64
         4      1990          4.572       6605.121          0.000          9.904          1.000          0.737        65
         5      1990          4.551       6818.411          0.000         10.031          1.000          0.751        66
         6      1990          4.531       7038.060          0.000         10.149          1.000          0.764        67
         7      1990          4.512       7262.639          0.000         10.256          1.000          0.777        68
         8      1990          4.494       7487.322          0.000         10.353          1.000          0.789        69
         9      1990          4.466       7694.447          0.000         10.442          1.000          0.800        70
        10      1990          4.438       7886.232          0.000         10.523          1.000          0.813        71
        11      1990          4.412       8032.689          0.000         10.598          1.000          0.825        72
        12      1990          4.386       8207.504          0.000         10.670          1.000          0.838        73
        13      1990          4.357       8385.519          0.000         10.740          1.000          0.850        74
        14      1990          4.326       8560.203          0.000         10.806          1.000          0.863        75
        15      1990          4.293       8752.863          0.000         10.865          1.000          0.877        76
        16      1990          4.265       8903.837          0.000         10.946          1.000          0.892        77
        17      1990          4.229       9060.938          0.000         11.019          1.000          0.904        78
        18      1990          4.190       9233.856          0.000         11.086          1.000          0.919        79
        19      1990          4.153       9408.745          0.000         11.148          1.000          0.935        80
        20      1990          4.112       9567.387        118.556         11.207          1.000          0.950        81
        21      1990          4.069       9714.335        239.471         11.262          1.000          0.944        82
        22      1990          4.027       9856.448        362.399         11.314          1.000          0.938        83
        23      1990          3.989      10002.481        485.151         11.364          1.000          0.931        84
        24      1990          3.957      10147.172        598.723         11.414          1.000          0.923        85
        25      1990          3.912      10296.396        716.276         11.462          1.000          0.914        86
        26      1990          3.865      10442.022        833.486         11.510          1.000          0.908        87
        27      1990          3.815      10595.395        945.123         11.556          1.000          0.903        88
        28      1990          3.766      10741.592       1054.403         11.601          1.000          0.899        89
        29      1990          3.708      10837.801       1178.214         11.643          1.000          0.896        90
        30      1990          3.658      10951.162       1303.523         11.684          1.000          0.899        91
        31      1990          3.616      11076.961       1418.794         11.725          1.000          0.896        92
        32      1990          3.572      11150.829       1539.694         11.764          1.000          0.889        93
        33      1990          3.522      11228.412       1665.002         11.811          1.000          0.891        94
        34      1990          3.479      11297.954       1787.001         11.870          1.000          0.895        95
        35      1990          3.430      11430.069       1904.035         11.924          1.000          0.898        96
        36      1990          3.375      11565.198       2019.754         11.973          1.000          0.894        97
        37      1990          3.319      11692.162       2137.086         12.019          1.000          0.891        98
        38      1990          3.260      11817.000       2255.750         12.063          1.000          0.890        99
        39      1990          3.211      11901.527       2378.176         12.115          1.000          0.889       100
        40      1990          3.154      12017.321       2498.443         12.164          1.000          0.891       101
        41      1990          3.087      12122.233       2619.262         12.213          1.000          0.890       102
        42      1990          3.018      12235.216       2736.848         12.261          1.000          0.895       103
        43      1990          2.944      12344.589       2855.050         12.308          1.000          0.897       104
        44      1990          2.871      12412.646       2979.224         12.353          1.000          0.903       105
        45      1990          2.798      12493.921       3100.201         12.402          1.000          0.918       106
        46      1990          2.718      12572.459       3223.975         12.448          1.000          0.931       107
        47      1990          2.650      12639.902       3347.603         12.493          1.000          0.948       108
        48      1990          2.570      12742.768       3469.205         12.537          1.000          0.964       109
        49      1990          2.489      12843.421       3589.507         12.579          1.000          0.977       110
        50      1990          2.412      12935.843       3712.727         12.621          1.000          0.991       111
        51      1990          2.342      13024.008       3837.038         12.661          1.000          1.000       112
        52      1990          2.274      13116.043       3958.355         12.702          1.000          1.000       113
        53      1990          2.205      13208.072       4080.986         12.742          1.000          1.000       114
        54      1990          2.137      13296.238       4200.623         12.782          1.000          1.000       115
        55      1990          2.066      13365.600       4325.924         12.821          1.000          1.000       116
        56      1990          2.003      13424.299       4450.766         12.860          1.000          1.000       117
        57      1990          1.939      13499.662       4570.447         12.900          1.000          1.000       118
        58      1990          1.884      13587.474       4689.401         12.939          1.000          1.000       119
        59      1990          1.839      13671.674       4807.690         12.978          1.000          1.000       120
        60      1990          1.789      13756.213       4927.898         13.016          1.000          1.000       121
        61      1990          1.743      13828.003       5049.079         13.054          1.000          1.000       122
        62      1990          1.697      13876.599       5171.781         13.091          1.000          1.000       123
        63      1990          1.653      13923.840       5294.397         13.128          1.000          1.000       124
        64      1990          1.606      13990.888       5414.730         13.165          1.000          1.000       125
        65      1990          1.558      14073.015       5532.260         13.202          1.000          1.000       126
        66      1990          1.506      14155.075       5653.965         13.239          1.000          1.000       127
        67      1990          1.469      14228.908       5653.965         13.275          1.000          1.000       128
        68      1990          1.435      14307.765       5653.965         13.311          1.000          1.000       129
        69      1990          0.013      14307.764       5653.965         13.311          1.000          0.000       130
        70      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        71      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        72      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        73      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        74      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        75      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        76      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        77      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        78      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        79      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        80      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        81      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        82      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        83      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        84      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        85      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        86      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        87      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        88      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        89      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        90      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        91      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        92      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        93      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        94      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        95      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        96      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        97      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        98      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        99      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       100      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       101      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       102      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       103      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       104      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       105      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       106      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       107      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       108      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       109      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       110      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       111      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       112      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       113      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       114      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       115      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       116      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       117      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       118      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       119      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       120      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
