Summary_file = navybean.sum
Title = navybean Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       320      1988          0.000          0.000          0.000
       321      1988          0.000          0.000          0.000
       322      1988          0.000          0.000          0.000
       323      1988          0.000          0.000          0.000
       324      1988          0.000          0.000          0.000
       325      1988          0.000          0.000          0.000
       326      1988          0.000          0.000          0.000
       327      1988          0.000          0.000          0.000
       328      1988          0.000          0.000          0.000
       329      1988          0.000          0.000          0.000
       330      1988          0.000          0.000          0.000
       331      1988          0.000          0.000          0.000
       332      1988          0.000          0.000          0.000
       333      1988          0.000          0.000          0.000
       334      1988          0.000          0.000          0.000
       335      1988          0.010         25.000         25.000
       336      1988          0.013         26.461         26.461
       337      1988          0.016         27.949         27.949
       338      1988          0.020         29.632         29.632
       339      1988          0.025         32.282         32.282
       340      1988          0.032         35.504         35.504
       341      1988          0.040         39.397         39.397
       342      1988          0.047         42.440         42.440
       343      1988          0.054         45.723         45.723
       344      1988          0.062         49.763         49.763
       345      1988          0.075         55.847         55.847
       346      1988          0.090         63.298         63.298
       347      1988          0.111         72.893         72.893
       348      1988          0.140         87.102         87.102
       349      1988          0.179        105.685        105.685
       350      1988          0.226        127.726        127.726
       351      1988          0.263        145.670        145.670
       352      1988          0.293        159.762        159.762
       353      1988          0.329        176.713        176.713
       354      1988          0.388        204.993        204.993
       355      1988          0.454        236.558        236.558
       356      1988          0.516        269.452        269.452
       357      1988          0.595        307.293        307.293
       358      1988          0.688        353.695        353.695
       359      1988          0.780        401.774        401.774
       360      1988          0.889        462.032        462.032
       361      1988          1.005        526.447        526.447
       362      1988          1.130        595.672        595.672
       363      1988          1.307        694.091        694.091
       364      1988          1.483        792.000        792.000
       365      1988          1.679        900.560        900.560
       366      1988          1.899       1022.963       1022.963
         1      1989          2.155       1164.971       1164.971
         2      1989          2.358       1277.896       1277.896
         3      1989          2.604       1414.719       1414.719
         4      1989          2.849       1550.565       1550.565
         5      1989          3.070       1673.421       1673.421
         6      1989          3.291       1796.292       1796.292
         7      1989          3.423       1944.011       1943.568
         8      1989          3.579       2118.888       2117.979
         9      1989          3.790       2283.277       2281.906
        10      1989          3.953       2418.230       2416.461
        11      1989          4.129       2565.767       2563.521
        12      1989          4.380       2769.615       2765.952
        13      1989          4.590       2955.634       2947.556
        14      1989          4.792       3164.844       3140.657
        15      1989          4.978       3382.937       3335.173
        16      1989          5.155       3604.145       3530.599
        17      1989          5.293       3826.365       3715.982
        18      1989          5.384       4013.857       3868.665
        19      1989          5.435       4175.192       3995.293
        20      1989          5.453       4326.872       4107.403
        21      1989          5.464       4472.869       4215.405
        22      1989          5.431       4608.562       4304.438
        23      1989          5.367       4736.297       4379.739
        24      1989          5.315       4888.883       4474.673
        25      1989          5.372       5114.787       4650.584
        26      1989          5.344       5266.342       4756.537
        27      1989          5.329       5437.772       4879.996
        28      1989          5.291       5601.863       4992.996
        29      1989          5.214       5731.688       5074.156
        30      1989          5.069       5813.675       5104.698
        31      1989          4.901       5872.688       5108.003
        32      1989          4.798       5955.715       5154.548
        33      1989          4.677       6089.827       5227.911
        34      1989          4.514       6209.479       5279.691
        35      1989          4.334       6261.365       5271.831
        36      1989          4.188       6300.730       5262.783
        37      1989          4.035       6400.466       5307.908
        38      1989          3.858       6513.202       5354.388
        39      1989          3.699       6643.769       5419.457
        40      1989          3.522       6730.271       5447.319
        41      1989          3.367       6795.597       5461.014
        42      1989          3.168       6890.370       5489.999
        43      1989          2.945       6976.309       5501.809
        44      1989          2.742       7051.050       5509.113
        45      1989          2.549       7112.590       5506.499
        46      1989          2.356       7168.361       5498.114
        47      1989          2.163       7218.783       5484.381
        48      1989          1.954       7274.938       5471.152
        49      1989          1.749       7324.843       5453.082
        50      1989          1.548       7365.865       5427.311
        51      1989          1.354       7394.385       5391.182
        52      1989          1.145       7414.527       5342.098
        53      1989          0.910       7436.125       5285.566
        54      1989          0.000       7436.125       4983.322
        55      1989          0.000          0.000          0.000
        56      1989          0.000          0.000          0.000
        57      1989          0.000          0.000          0.000
        58      1989          0.000          0.000          0.000
        59      1989          0.000          0.000          0.000
        60      1989          0.000          0.000          0.000
