Summary_file = soilt.sum
Title = sample simulation
           Date      soil_temp           maxt           mint
             ()           (oC)           (oC)           (oC)
      7/01/1988         42.861         28.400         17.800
     14/01/1988         47.919         30.600         16.000
     21/01/1988         50.846         35.000         21.200
     28/01/1988         45.506         29.400         16.000
      4/02/1988         46.512         29.000         16.200
     11/02/1988         48.421         31.500         16.800
     18/02/1988         40.755         27.800         14.800
     25/02/1988         36.453         27.700         19.600
      4/03/1988         44.077         30.800         19.000
     11/03/1988         52.544         34.600         16.200
     18/03/1988         43.723         27.500         13.200
     25/03/1988         35.032         26.400         15.400
      1/04/1988         31.559         27.000         17.000
      8/04/1988         30.693         27.200         20.000
     22/04/1988         36.160         27.000         13.500
     29/04/1988         23.131         21.000         14.500
      6/05/1988         37.251         25.800         11.000
     13/05/1988         33.011         22.200          7.800
     20/05/1988         24.109         19.400          7.000
     27/05/1988         32.051         22.800         10.400
      3/06/1988         28.544         22.200         10.400
     10/06/1988         29.516         21.200          8.800
     17/06/1988         28.133         20.200          6.500
     24/06/1988         28.796         19.900          4.900
      1/07/1988         29.752         20.100          2.400
      8/07/1988         25.274         18.900          6.800
     15/07/1988         28.246         20.200          7.400
     22/07/1988         20.026         17.400         12.600
     30/07/1988         29.799         20.000          9.600
      6/08/1988         26.715         18.100         13.300
     13/08/1988         32.505         20.100          4.700
     20/08/1988         41.755         27.800          8.000
     27/08/1988         27.077         20.700         11.600
      3/09/1988         39.398         26.100         12.400
     10/09/1988         36.366         24.100         11.600
     17/09/1988         45.165         28.700          9.400
     24/09/1988         42.845         26.800         13.000
      1/10/1988         42.332         27.200         19.400
      8/10/1988         45.881         29.400         15.000
     15/10/1988         54.459         34.700         19.500
     22/10/1988         59.310         38.600         21.700
     29/10/1988         58.165         36.900         16.800
      5/11/1988         56.434         35.100         18.300
     12/11/1988         50.417         29.800         16.300
     19/11/1988         56.554         33.800         13.700
     26/11/1988         54.158         32.400         14.900
      3/12/1988         46.625         32.600         18.200
     10/12/1988         43.875         31.500         20.000
     17/12/1988         27.032         23.200         18.400
     24/12/1988         51.354         33.200         22.400
     31/12/1988         47.264         29.600         19.200
      7/01/1989         44.864         31.400         18.600
     14/01/1989         46.191         28.600         17.400
     21/01/1989         55.950         35.500         20.100
     28/01/1989         47.397         27.600         14.600
      4/02/1989         24.995         22.200         19.000
     11/02/1989         42.904         32.000         19.800
     18/02/1989         49.581         30.600         15.400
     25/02/1989         45.265         28.400         16.800
      4/03/1989         41.867         28.600         19.000
     11/03/1989         50.286         32.400         16.400
     18/03/1989         30.317         25.200         19.000
     25/03/1989         35.089         30.000         22.200
      1/04/1989         32.070         25.400         19.400
      8/04/1989         39.584         27.400         17.400
     15/04/1989         42.617         27.700         10.400
     22/04/1989         40.149         30.200         15.800
     29/04/1989         35.876         25.600         12.000
      6/05/1989         32.617         25.600         13.600
     13/05/1989         34.276         26.400         15.000
     20/05/1989         30.397         23.400         14.800
     27/05/1989         19.340         19.400         15.000
      3/06/1989         29.628         21.900          9.800
     10/06/1989         17.586         14.000          3.800
     17/06/1989         25.195         20.000         12.300
     24/06/1989         21.740         14.600          5.000
      1/07/1989         25.300         21.400         11.000
      8/07/1989         29.882         20.000          2.100
     15/07/1989         22.576         13.400         -3.000
     22/07/1989         25.186         15.500         -1.000
     30/07/1989         31.432         21.900          8.400
      6/08/1989         24.051         15.600          1.400
     13/08/1989         33.159         19.400          0.000
     20/08/1989         30.700         20.600          6.800
     27/08/1989         33.674         19.600          5.200
      3/09/1989         37.936         22.100          3.600
     10/09/1989         41.063         26.200         10.800
     17/09/1989         43.354         26.300          4.600
     24/09/1989         44.912         27.400          9.700
      1/10/1989         46.942         28.600          9.800
      8/10/1989         46.835         29.000         16.800
     15/10/1989         53.362         33.700         13.300
     22/10/1989         46.800         28.400         12.200
     29/10/1989         44.558         25.000          8.800
      5/11/1989         43.466         27.600         16.400
     12/11/1989         45.608         29.000         15.400
     19/11/1989         34.469         27.400         19.800
     26/11/1989         44.166         26.600         14.400
      3/12/1989         49.969         31.600         19.200
     10/12/1989         50.482         30.400         15.700
     17/12/1989         42.985         25.600         14.600
     24/12/1989         47.746         31.200         20.400
     31/12/1989         53.857         32.300         15.500
      7/01/1990         55.441         35.000         21.400
     14/01/1990         53.149         36.600         21.000
     21/01/1990         52.040         33.600         20.600
     28/01/1990         60.974         40.200         21.800
      4/02/1990         47.991         32.400         16.800
     11/02/1990         48.590         30.400         16.400
     18/02/1990         50.355         33.200         19.400
     25/02/1990         36.733         26.200         21.300
      4/03/1990         34.496         26.700         19.800
     11/03/1990         54.349         35.300         15.800
     18/03/1990         48.831         31.300         14.800
     25/03/1990         24.440         22.600         17.800
      1/04/1990         36.130         26.200         16.800
      8/04/1990         36.216         28.600         19.600
     15/04/1990         35.060         26.800         18.800
     22/04/1990         32.982         24.700         13.400
     29/04/1990         37.204         23.800          5.600
