Summary_file=referenc.sum
Title =sugar reference run
   year    day           date         no3(1)         no3(2)         no3(3)      sw_dep(1)      sw_dep(2)      sw_dep(3)       tt_tot()            lai        biomass    swdef_photo    nfact_photo     root_depth water_log    crop_status      dm_dead()     residue_wt      residue_n        fom_c()        fom_n()
     ()     ()             ()        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (oC)      (m^2/m^2)        (g/m^2)             ()             ()           (mm)    (????)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
   1984     92      1/04/1984          2.824          5.738          5.578         33.022         79.970         80.006         16.500          0.000          0.000          0.000          0.000        600.000      ????          alive          0.000          0.000          0.000        367.347          8.163
   1984     99      8/04/1984          3.337          8.166          7.531         27.676         79.804         80.007        110.764          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        277.671          6.170
   1984    113     22/04/1984          3.543          9.876          7.673         22.436         79.410         80.006        233.833          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        203.533          4.523
   1984    120     29/04/1984          4.021         10.798          7.636         28.949         79.563         80.007        329.841          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        161.611          3.591
   1984    127      6/05/1984          4.605         11.639          7.614         25.673         79.379         80.006        406.998          0.010          3.577          1.000          0.429        610.000      ????          alive          0.000          0.000          0.000        139.740          3.095
   1984    134     13/05/1984          5.035         12.471          7.600         23.246         79.098         80.003        513.448          0.015          4.258          1.000          1.000        680.000      ????          alive          0.000          0.000          0.000        130.611          2.821
   1984    141     20/05/1984          5.566         13.447          7.593         31.285         79.307         79.998        620.248          0.026          5.700          1.000          1.000        750.000      ????          alive          0.000          0.000          0.000        114.860          2.416
   1984    148     27/05/1984          6.353         14.245          7.586         27.086         78.997         79.989        719.648          0.040          7.670          1.000          1.000        820.000      ????          alive          0.000          0.000          0.000        102.514          2.092
   1984    155      3/06/1984          6.913         14.860          7.514         24.321         78.624         79.956        816.398          0.061         10.512          1.000          1.000        890.000      ????          alive          0.000          0.000          0.000         96.552          1.909
   1984    162     10/06/1984          7.223         15.543          7.428         33.726         79.068         79.886        911.148          0.092         14.815          1.000          1.000        960.000      ????          alive          0.000          0.000          0.000         89.695          1.716
   1984    169     17/06/1984          7.935         16.047          7.331         28.333         78.774         79.845       1009.948          0.113         17.787          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         81.922          1.512
   1984    176     24/06/1984          8.476         16.229          7.133         25.176         77.928         79.579       1091.698          0.174         26.240          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         78.048          1.387
   1984    183      1/07/1984          8.561         16.473          6.877         31.659         78.366         79.313       1173.648          0.253         37.045          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         73.421          1.255
